slug	parent_term	status	selection_reason
ACys_Amyloidosis	MONDO:0007098	ELIGIBLE	KB_CATEGORY_MENDELIAN
ADCA-DN	MONDO:0011397	ELIGIBLE	KB_CATEGORY_MENDELIAN
ADGRG1_Bilateral_Frontoparietal_Polymicrogyria	MONDO:0011738	ELIGIBLE	KB_CATEGORY_MENDELIAN
ADNP-Related_Syndrome	MONDO:0014379	ELIGIBLE	KB_CATEGORY_MENDELIAN
ADPRS-Related_Stress-Induced_Neurodegeneration	MONDO:0100095	ELIGIBLE	KB_CATEGORY_MENDELIAN
ADan_amyloidosis	MONDO:0007297	ELIGIBLE	KB_CATEGORY_MENDELIAN
AFG2A-Related_Encephalopathy	MONDO:0014698	ELIGIBLE	KB_CATEGORY_MENDELIAN
AGAT_Deficiency	MONDO:0012996	ELIGIBLE	KB_CATEGORY_MENDELIAN
AHCY_Deficiency	MONDO:0013404	ELIGIBLE	KB_CATEGORY_MENDELIAN
AIP-related_pituitary_adenoma_predisposition	MONDO:1060231	ELIGIBLE	KB_CATEGORY_MENDELIAN
AIPL1-Related_Retinopathy	MONDO:0100438	ELIGIBLE	KB_CATEGORY_MENDELIAN
ALDH18A1_Cutis_Laxa	MONDO:0014706	ELIGIBLE	KB_CATEGORY_MENDELIAN
ALDH18A1_De_Barsy_Spectrum	MONDO:0100126	ELIGIBLE	KB_CATEGORY_MENDELIAN
ALG1-Congenital_Disorder_of_Glycosylation	MONDO:0012052	ELIGIBLE	KB_CATEGORY_MENDELIAN
ALG11-Congenital_Disorder_of_Glycosylation	MONDO:0013349	ELIGIBLE	KB_CATEGORY_MENDELIAN
ALG12_Congenital_Disorder_of_Glycosylation	MONDO:0011783	ELIGIBLE	KB_CATEGORY_MENDELIAN
ALG3-Congenital_Disorder_of_Glycosylation	MONDO:0010998	ELIGIBLE	KB_CATEGORY_MENDELIAN
ALG6-Congenital_Disorder_of_Glycosylation	MONDO:0011291	ELIGIBLE	KB_CATEGORY_MENDELIAN
ALG9-congenital_disorder_of_glycosylation	MONDO:0012117	ELIGIBLE	KB_CATEGORY_MENDELIAN
ARPC1B_Deficiency	MONDO:0060583	ELIGIBLE	KB_CATEGORY_MENDELIAN
ARX-Related_Lissencephaly_and_Interneuronopathy	MONDO:0010268	ELIGIBLE	KB_CATEGORY_MENDELIAN
AR_Cerebellar_Ataxia-Saccadic_Intrusion_Syndrome	MONDO:0011811	ELIGIBLE	KB_CATEGORY_MENDELIAN
ATRX_Syndrome	MONDO:0016980	ELIGIBLE	KB_CATEGORY_MENDELIAN
ATTR_Amyloidosis	MONDO:0007100	ELIGIBLE	KB_CATEGORY_MENDELIAN
Abetalipoproteinemia	MONDO:0008692	ELIGIBLE	KB_CATEGORY_MENDELIAN
Acatalasia	MONDO:0013571	ELIGIBLE	KB_CATEGORY_MENDELIAN
Achondrogenesis_Type_II	MONDO:0008702	ELIGIBLE	KB_CATEGORY_MENDELIAN
Achondroplasia	MONDO:0007037	ELIGIBLE	KB_CATEGORY_MENDELIAN
Achromatopsia	MONDO:0018852	ELIGIBLE	KB_CATEGORY_MENDELIAN
Acrocallosal_Syndrome	MONDO:0008708	ELIGIBLE	KB_CATEGORY_MENDELIAN
Acrodysostosis	MONDO:0019797	ELIGIBLE	KB_CATEGORY_MENDELIAN
Acrofacial_Dysostosis_Cincinnati_Type	MONDO:0014651	ELIGIBLE	KB_CATEGORY_MENDELIAN
Acromesomelic_Dysplasia_Demirhan_Type	MONDO:0012274	ELIGIBLE	KB_CATEGORY_MENDELIAN
Acromesomelic_Dysplasia_Grebe_Type	MONDO:0008703	ELIGIBLE	KB_CATEGORY_MENDELIAN
Acromesomelic_Dysplasia_Maroteaux_Type	MONDO:0011275	ELIGIBLE	KB_CATEGORY_MENDELIAN
Acromesomelic_Dysplasia_PRKG2_Type	MONDO:0030553	ELIGIBLE	KB_CATEGORY_MENDELIAN
Activated_PI3K-delta_Syndrome	MONDO:0018338	ELIGIBLE	KB_CATEGORY_MENDELIAN
Acute_Intermittent_Porphyria	MONDO:0008294	ELIGIBLE	KB_CATEGORY_MENDELIAN
Adenine_Phosphoribosyltransferase_Deficiency	MONDO:0013869	ELIGIBLE	KB_CATEGORY_MENDELIAN
Adenosine_Kinase_Deficiency	MONDO:0100255	ELIGIBLE	KB_CATEGORY_MENDELIAN
Adenylosuccinate_Lyase_Deficiency	MONDO:0007068	ELIGIBLE	KB_CATEGORY_MENDELIAN
Adult-Onset_Ataxia_and_Polyneuropathy	MONDO:0010781	ELIGIBLE	KB_CATEGORY_MENDELIAN
Adult-Onset_Proximal_Spinal_Muscular_Atrophy_Autosomal_Dominant	MONDO:0008453	ELIGIBLE	KB_CATEGORY_MENDELIAN
Adult_Neuronal_Ceroid_Lipofuscinosis	MONDO:0019260	ELIGIBLE	KB_CATEGORY_MENDELIAN
Adult_Polyglucosan_Body_Disease	MONDO:0009897	ELIGIBLE	KB_CATEGORY_MENDELIAN
Advanced_Sleep_Phase_Syndrome	MONDO:0015609	ELIGIBLE	KB_CATEGORY_MENDELIAN
Agenesis_of_the_Corpus_Callosum_with_Peripheral_Neuropathy	MONDO:0000902	ELIGIBLE	KB_CATEGORY_MENDELIAN
Agnathia-Otocephaly_Complex	MONDO:0008740	ELIGIBLE	KB_CATEGORY_MENDELIAN
Aicardi_Goutieres_Syndrome	MONDO:0018866	ELIGIBLE	KB_CATEGORY_MENDELIAN
Aicardi_Syndrome	MONDO:0010568	ELIGIBLE	KB_CATEGORY_MENDELIAN
Alagille_syndrome	MONDO:0007318	ELIGIBLE	KB_CATEGORY_MENDELIAN
Aland_Island_Eye_Disease	MONDO:0010371	ELIGIBLE	KB_CATEGORY_MENDELIAN
Alexander_Disease	MONDO:0008752	ELIGIBLE	KB_CATEGORY_MENDELIAN
Alkaptonuria	MONDO:0008753	ELIGIBLE	KB_CATEGORY_MENDELIAN
Allan-Herndon-Dudley_Syndrome	MONDO:0010354	ELIGIBLE	KB_CATEGORY_MENDELIAN
Alopecia-Intellectual_Disability_Syndrome_1	MONDO:0021035	ELIGIBLE	KB_CATEGORY_MENDELIAN
Alopecia-Intellectual_Disability_Syndrome_4	MONDO:0030009	ELIGIBLE	KB_CATEGORY_MENDELIAN
Alpha_1_Antitrypsin_Deficiency	MONDO:0013282	ELIGIBLE	KB_CATEGORY_MENDELIAN
Alpha_Mannosidosis	MONDO:0009561	ELIGIBLE	KB_CATEGORY_MENDELIAN
Alpha_Thalassemia	MONDO:0011399	ELIGIBLE	KB_CATEGORY_MENDELIAN
Alsahan-Harris_Syndrome	MONDO:0979871	ELIGIBLE	KB_CATEGORY_MENDELIAN
Alternating_Hemiplegia_of_Childhood	MONDO:0016241	ELIGIBLE	KB_CATEGORY_MENDELIAN
Alveolar_Capillary_Dysplasia_with_Misalignment_of_Pulmonary_Veins	MONDO:0009934	ELIGIBLE	KB_CATEGORY_MENDELIAN
Amelogenesis_Imperfecta	MONDO:0019507	ELIGIBLE	KB_CATEGORY_MENDELIAN
Aminoacylase_1_Deficiency	MONDO:0012368	ELIGIBLE	KB_CATEGORY_MENDELIAN
Aminoglycoside-Induced_Hearing_Loss	MONDO:0010799	ELIGIBLE	KB_CATEGORY_MENDELIAN
Amyotrophic_Lateral_Sclerosis_27_Juvenile	MONDO:0859529	ELIGIBLE	KB_CATEGORY_MENDELIAN
Anauxetic_Dysplasia	MONDO:0011773	ELIGIBLE	KB_CATEGORY_MENDELIAN
Androgen_Insensitivity_Syndrome	MONDO:0019154	ELIGIBLE	KB_CATEGORY_MENDELIAN
Aneurysm-Osteoarthritis_Syndrome	MONDO:0013426	ELIGIBLE	KB_CATEGORY_MENDELIAN
Angelman_Syndrome	MONDO:0007113	ELIGIBLE	KB_CATEGORY_MENDELIAN
Aniridia	MONDO:0019172	ELIGIBLE	KB_CATEGORY_MENDELIAN
Antley-Bixler_Syndrome_FGFR2-Related	MONDO:0020667	ELIGIBLE	KB_CATEGORY_MENDELIAN
Aortic_Valve_Disease_2	MONDO:0013902	ELIGIBLE	KB_CATEGORY_MENDELIAN
Apert_Syndrome	MONDO:0007041	ELIGIBLE	KB_CATEGORY_MENDELIAN
Apparent_Mineralocorticoid_Excess	MONDO:0009025	ELIGIBLE	KB_CATEGORY_MENDELIAN
Arboleda-Tham_Syndrome	MONDO:0014558	ELIGIBLE	KB_CATEGORY_MENDELIAN
Arginase_Deficiency	MONDO:0008814	ELIGIBLE	KB_CATEGORY_MENDELIAN
Argininosuccinic_Aciduria	MONDO:0008815	ELIGIBLE	KB_CATEGORY_MENDELIAN
Aromatase_Deficiency	MONDO:0013301	ELIGIBLE	KB_CATEGORY_MENDELIAN
Aromatase_Excess_Syndrome	MONDO:0007690	ELIGIBLE	KB_CATEGORY_MENDELIAN
Arrhythmogenic_Right_Ventricular_Cardiomyopathy	MONDO:0016587	ELIGIBLE	KB_CATEGORY_MENDELIAN
Arterial_Calcification_of_Infancy	MONDO:0018870	ELIGIBLE	KB_CATEGORY_MENDELIAN
Arterial_Dissection_Lentiginosis_Syndrome	MONDO:0010889	ELIGIBLE	KB_CATEGORY_MENDELIAN
Arterial_Tortuosity_Syndrome	MONDO:0008818	ELIGIBLE	KB_CATEGORY_MENDELIAN
Arthrogryposis-Renal_Dysfunction-Cholestasis_Syndrome	MONDO:0017123	ELIGIBLE	KB_CATEGORY_MENDELIAN
Arts_syndrome	MONDO:0010533	ELIGIBLE	KB_CATEGORY_MENDELIAN
Asparagine_Synthetase_Deficiency	MONDO:0014258	ELIGIBLE	KB_CATEGORY_MENDELIAN
Aspartylglucosaminuria	MONDO:0008830	ELIGIBLE	KB_CATEGORY_MENDELIAN
Ataxia_Telangiectasia	MONDO:0008840	ELIGIBLE	KB_CATEGORY_MENDELIAN
Ataxia_With_Oculomotor_Apraxia_Type_1	MONDO:0008842	ELIGIBLE	KB_CATEGORY_MENDELIAN
Atelosteogenesis_Type_I	MONDO:0007167	ELIGIBLE	KB_CATEGORY_MENDELIAN
Atelosteogenesis_Type_II	MONDO:0009727	ELIGIBLE	KB_CATEGORY_MENDELIAN
Atelosteogenesis_Type_III	MONDO:0007168	ELIGIBLE	KB_CATEGORY_MENDELIAN
Atransferrinemia	MONDO:0008846	ELIGIBLE	KB_CATEGORY_MENDELIAN
Attenuated_Mucopolysaccharidosis_Type_I		NO_MONDO_GROUNDING	KB_CATEGORY_MENDELIAN
Atypical_Hemolytic_Uremic_Syndrome	MONDO:0016244	ELIGIBLE	KB_CATEGORY_MENDELIAN
Auriculocondylar_Syndrome	MONDO:0000107	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autism_Spectrum_Disorder-Epilepsy-Arthrogryposis_Syndrome	MONDO:0014248	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autoimmune_Lymphoproliferative_Syndrome	MONDO:0017979	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autoimmune_Polyendocrine_Syndrome_Type_1	MONDO:0009411	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autoinflammation_Immune_Dysregulation_and_Eosinophilia	MONDO:0033558	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Agammaglobulinemia	MONDO:0011096	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Aplasia_And_Myelodysplasia	MONDO:0013851	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Cerebellar_Ataxia	MONDO:0020380	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Cerebellar_Ataxia_Type_I	MONDO:0019792	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Cerebellar_Ataxia_Type_III	MONDO:0019793	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Charcot-Marie-Tooth_Disease_Type_2W	MONDO:0014711	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Epilepsy_with_Auditory_Features	MONDO:0010898	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Hyper-IgE_Syndrome	MONDO:0007818	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Hypercholesterolemia_3	MONDO:0011369	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Hypocalcemia_1	MONDO:0011013	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Nonsyndromic_Hearing_Loss_11	MONDO:0011032	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Nonsyndromic_Hearing_Loss_12	MONDO:0011102	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Nonsyndromic_Hearing_Loss_2B	MONDO:0012976	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Nonsyndromic_Hearing_Loss_37	MONDO:0032802	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Nonsyndromic_Hearing_Loss_3A	MONDO:0011103	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Nonsyndromic_Hearing_Loss_41	MONDO:0011994	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Nonsyndromic_Hearing_Loss_50	MONDO:0013114	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Nonsyndromic_Hearing_Loss_7	MONDO:0011074	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Optic_Atrophy_Plus	MONDO:0014720	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Osteopetrosis_Type_I	MONDO:0011877	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Osteopetrosis_Type_II	MONDO:0008156	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Polycystic_Kidney_Disease	MONDO:0004691	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Polycystic_Liver_Disease	MONDO:0000447	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Progressive_External_Ophthalmoplegia	MONDO:0008003	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Robinow_Syndrome_1	MONDO:0024455	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Robinow_Syndrome_2	MONDO:0014591	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Robinow_Syndrome_3	MONDO:0014819	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Sensory_Ataxia_1	MONDO:0012166	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Dominant_Striatal_Neurodegeneration	MONDO:0000211	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Ataxia_Beauce_Type	MONDO:0012549	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Ataxia_Due_to_Ubiquinone_Deficiency	MONDO:0012784	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Cerebellar_Ataxia_With_Late_Onset_Spasticity	MONDO:0018129	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Congenital_Ichthyosis	MONDO:0017265	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Cutis_Laxa_Type_2A	MONDO:0018163	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Hypercholesterolemia	MONDO:0011374	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Limb-Girdle_Muscular_Dystrophy	MONDO:0015152	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Multiple_Pterygium_Syndrome	MONDO:0009926	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Nonsyndromic_Hearing_Loss_103	MONDO:0014469	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Nonsyndromic_Hearing_Loss_104	MONDO:0014675	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Nonsyndromic_Hearing_Loss_26	MONDO:0011553	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Nonsyndromic_Hearing_Loss_30	MONDO:0011774	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Nonsyndromic_Hearing_Loss_48	MONDO:0012273	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Nonsyndromic_Hearing_Loss_77	MONDO:0013119	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Nonsyndromic_Hearing_Loss_93	MONDO:0013963	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Nonsyndromic_Hearing_Loss_97	MONDO:0014739	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Nonsyndromic_Hearing_Loss_98	MONDO:0013929	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Osteopetrosis	MONDO:0009816	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Primary_Microcephaly	MONDO:0016660	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Progressive_External_Ophthalmoplegia_1	MONDO:0009783	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Robinow_Syndrome	MONDO:0009999	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Spastic_Ataxia_9	MONDO:0032753	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Spinocerebellar_Ataxia_15	MONDO:0014311	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Spinocerebellar_Ataxia_20	MONDO:0014601	ELIGIBLE	KB_CATEGORY_MENDELIAN
Autosomal_Recessive_Spondylometaphyseal_Dysplasia_Megarbane_Type	MONDO:0013223	ELIGIBLE	KB_CATEGORY_MENDELIAN
Avascular_Necrosis_Of_Femoral_Head_Primary_2	MONDO:0054551	ELIGIBLE	KB_CATEGORY_MENDELIAN
Ayme-Gripp_Syndrome	MONDO:0010992	ELIGIBLE	KB_CATEGORY_MENDELIAN
BBSome-Related_Retinitis_Pigmentosa	MONDO:0019200	ELIGIBLE	KB_CATEGORY_MENDELIAN
BCKDK_Deficiency	MONDO:0013970	ELIGIBLE	KB_CATEGORY_MENDELIAN
BEST1-Related_Dominant_Retinopathy	MONDO:0700238	ELIGIBLE	KB_CATEGORY_MENDELIAN
BLOC1S1-related_Complex_Neurodevelopmental_Disorder_with_Leukodystrophy	MONDO:0100038	ELIGIBLE	KB_CATEGORY_MENDELIAN
BMP2-Related_Short_Stature-Facial_Dysmorphism-Skeletal_Anomalies_Syndrome	MONDO:0100297	ELIGIBLE	KB_CATEGORY_MENDELIAN
BPTF-Related_Neurodevelopmental_Disorder	MONDO:0060596	ELIGIBLE	KB_CATEGORY_MENDELIAN
BRPF1-Related_Intellectual_Disability	MONDO:0015022	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bachmann-Bupp_Syndrome	MONDO:0033642	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bailey-Bloch_Congenital_Myopathy	MONDO:0009722	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bainbridge-Ropers_Syndrome	MONDO:0014205	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bannayan-Riley-Ruvalcaba_Syndrome	MONDO:0007924	ELIGIBLE	KB_CATEGORY_MENDELIAN
Baraitser-Winter_Cerebrofrontofacial_Syndrome	MONDO:0017579	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bardet-Biedl_Syndrome	MONDO:0015229	ELIGIBLE	KB_CATEGORY_MENDELIAN
Barth_Syndrome	MONDO:0010543	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bartter_Syndrome	MONDO:0015231	ELIGIBLE	KB_CATEGORY_MENDELIAN
Basel-Vanagaite-Smirin-Yosef_Syndrome	MONDO:0014643	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bazex_Dupre_Christol_Syndrome	MONDO:0010535	ELIGIBLE	KB_CATEGORY_MENDELIAN
Beare-Stevenson_Cutis_Gyrata_Syndrome	MONDO:0007412	ELIGIBLE	KB_CATEGORY_MENDELIAN
Becker_Muscular_Dystrophy	MONDO:0010311	ELIGIBLE	KB_CATEGORY_MENDELIAN
Beckwith-Wiedemann_Syndrome	MONDO:0007534	ELIGIBLE	KB_CATEGORY_MENDELIAN
Behr_Syndrome	MONDO:0008858	ELIGIBLE	KB_CATEGORY_MENDELIAN
Benign_Familial_Infantile_Epilepsy	MONDO:0017615	ELIGIBLE	KB_CATEGORY_MENDELIAN
Benign_Neonatal_Seizures	MONDO:0016027	ELIGIBLE	KB_CATEGORY_MENDELIAN
Berardinelli_Seip_Congenital_Lipodystrophy	MONDO:0018883	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bernard-Soulier_Syndrome	MONDO:0009276	ELIGIBLE	KB_CATEGORY_MENDELIAN
Beta-Ketothiolase_Deficiency	MONDO:0008760	ELIGIBLE	KB_CATEGORY_MENDELIAN
Beta_Mannosidosis	MONDO:0009562	ELIGIBLE	KB_CATEGORY_MENDELIAN
Beta_Thalassemia	MONDO:0019402	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bethlem_Myopathy	MONDO:0008029	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bietti_Crystalline_Dystrophy	MONDO:0008865	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bilateral_Microtia-Deafness-Cleft_Palate_Syndrome	MONDO:0012854	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bilateral_Striopallidodentate_Calcinosis	MONDO:0008947	ELIGIBLE	KB_CATEGORY_MENDELIAN
Biotin_Thiamine_Responsive_Basal_Ganglia_Disease	MONDO:0011841	ELIGIBLE	KB_CATEGORY_MENDELIAN
Biotinidase_Deficiency	MONDO:0009665	ELIGIBLE	KB_CATEGORY_MENDELIAN
Birt-Hogg-Dube_Syndrome	MONDO:0800444	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bjornstad_Syndrome	MONDO:0009872	ELIGIBLE	KB_CATEGORY_MENDELIAN
Blau_Syndrome	MONDO:0008523	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bleeding_Disorder_Platelet-type_21	MONDO:0054577	ELIGIBLE	KB_CATEGORY_MENDELIAN
Blepharophimosis-Impaired_Intellectual_Development_Syndrome	MONDO:0859139	ELIGIBLE	KB_CATEGORY_MENDELIAN
Blepharophimosis_Intellectual_Disability_Syndrome_MKB_Type	MONDO:0010477	ELIGIBLE	KB_CATEGORY_MENDELIAN
Blepharophimosis_Ptosis_and_Epicanthus_Inversus_Syndrome	MONDO:0007201	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bloom_Syndrome	MONDO:0008876	ELIGIBLE	KB_CATEGORY_MENDELIAN
Blue_Cone_Monochromacy	MONDO:0010563	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bohring-Opitz_syndrome	MONDO:0011510	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bone_Marrow_Failure_Syndrome_6	MONDO:0030015	ELIGIBLE	KB_CATEGORY_MENDELIAN
Borjeson-Forssman-Lehmann_syndrome	MONDO:0010537	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bosch-Boonstra-Schaaf_Optic_Atrophy_Syndrome	MONDO:0014320	ELIGIBLE	KB_CATEGORY_MENDELIAN
Bosma_Arhinia_Microphthalmia_Syndrome	MONDO:0011323	ELIGIBLE	KB_CATEGORY_MENDELIAN
Boucher-Neuhauser_Syndrome	MONDO:0008980	ELIGIBLE	KB_CATEGORY_MENDELIAN
Brachydactyly_Type_A1	MONDO:0007215	ELIGIBLE	KB_CATEGORY_MENDELIAN
Brachydactyly_Type_A2	MONDO:0007216	ELIGIBLE	KB_CATEGORY_MENDELIAN
Brachydactyly_Type_B1	MONDO:0007220	ELIGIBLE	KB_CATEGORY_MENDELIAN
Brachydactyly_Type_B2	MONDO:0012658	ELIGIBLE	KB_CATEGORY_MENDELIAN
Brachydactyly_Type_C	MONDO:0007221	ELIGIBLE	KB_CATEGORY_MENDELIAN
Brachydactyly_Type_D	MONDO:0007222	ELIGIBLE	KB_CATEGORY_MENDELIAN
Brachydactyly_Type_E1	MONDO:0007223	ELIGIBLE	KB_CATEGORY_MENDELIAN
Brachyolmia-Amelogenesis_Imperfecta_Syndrome	MONDO:0011018	ELIGIBLE	KB_CATEGORY_MENDELIAN
Brachyolmia	MONDO:0015262	ELIGIBLE	KB_CATEGORY_MENDELIAN
Brachyphalangy_Polydactyly_Tibial_Aplasia_Syndrome	MONDO:0700354	ELIGIBLE	KB_CATEGORY_MENDELIAN
Brain_Abnormalities_Neurodegeneration_and_Dysosteosclerosis	MONDO:0032772	ELIGIBLE	KB_CATEGORY_MENDELIAN
Brain_Small_Vessel_Disease_1_With_Or_Without_Ocular_Anomalies	MONDO:0008289	ELIGIBLE	KB_CATEGORY_MENDELIAN
Brittle_Cornea_Syndrome	MONDO:0009242	ELIGIBLE	KB_CATEGORY_MENDELIAN
