mondo_id	label	omimps	descendants	mendelian	susceptibility	somatic	infectious	acquired	unmapped_locus	unspecified	predisposers	series_kind	heterogeneity_axes	dismech_entry_on_class	dismech_grouping	inherited_superclasses	dismech_covered	dismech_member_entries	existing_grouping_overlap	mondo_recipient_candidate	recommendation	member_entry_names
MONDO:0019037	progressive supranuclear palsy	OMIMPS:601104	8	2	0	0	0	0	2	4	0	MENDELIAN_SERIES	MENDELIAN+RISK_LOCUS	Progressive Supranuclear Palsy		hereditary disease; hereditary neurological disease; inherited neurodegenerative disorder	0	0			NO_DISMECH_BASIS	
MONDO:0016820	Moyamoya disease	OMIMPS:252350	8	4	0	0	0	0	4	0	0	MENDELIAN_SERIES	MENDELIAN+RISK_LOCUS	Moyamoya Disease		hereditary disease; hereditary neurological disease	0	0			NO_DISMECH_BASIS	
MONDO:0005081	preeclampsia	OMIMPS:189800	8	2	0	0	0	0	3	3	0	LOCUS_SERIES	MENDELIAN+RISK_LOCUS	Preeclampsia		hereditary disease	0	0			SINGLE_DISEASE	
MONDO:0006248	hydatidiform mole	OMIMPS:231090	7	4	0	0	0	0	0	3	0	MENDELIAN_SERIES	MENDELIAN	Hydatidiform Mole		hereditary disease	0	0			NO_DISMECH_BASIS	
MONDO:0005083	psoriasis	OMIMPS:177900	6	2	0	0	0	0	0	4	12	SUSCEPTIBILITY_SERIES	MENDELIAN+RISK_LOCUS	Psoriasis		hereditary disease; hereditary skin disorder	1	1			SINGLE_DISEASE	Psoriasis 14, Pustular
MONDO:0005388	primary biliary cholangitis	OMIMPS:109720	5	0	0	0	0	0	5	0	0	LOCUS_SERIES	RISK_LOCUS	Primary Biliary Cholangitis		cirrhosis, familial; hereditary disease	0	0			SINGLE_DISEASE	
MONDO:0005382	bone Paget disease	OMIMPS:167250	5	3	0	0	0	0	2	0	0	MENDELIAN_SERIES	MENDELIAN+RISK_LOCUS			hereditary disease	0	0			NO_DISMECH_BASIS	
MONDO:0004822	bronchiectasis	OMIMPS:211400	4	2	0	0	0	0	1	1	0	MENDELIAN_SERIES	MENDELIAN+RISK_LOCUS	Bronchiectasis		hereditary disease	0	0			NO_DISMECH_BASIS	
MONDO:0019415	fetal and neonatal alloimmune thrombocytopenia	OMIMPS:621264	3	3	0	0	0	0	0	0	0	MENDELIAN_SERIES	MENDELIAN			hereditary disease	0	0			NO_DISMECH_BASIS	
MONDO:0016215	spastic quadriplegic cerebral palsy	OMIMPS:612900	3	3	0	0	0	0	0	0	0	MENDELIAN_SERIES	MENDELIAN			hereditary disease; hereditary neurological disease	0	0			NO_DISMECH_BASIS	
MONDO:0009813	chronic recurrent multifocal osteomyelitis	OMIMPS:609628	3	2	0	0	0	0	1	0	0	MENDELIAN_SERIES	MENDELIAN+RISK_LOCUS			hereditary disease; hereditary disorder of connective tissue	0	0			NO_DISMECH_BASIS	
MONDO:0000334	multinodular goiter	OMIMPS:138800	3	0	0	0	0	0	3	0	0	LOCUS_SERIES	RISK_LOCUS			hereditary disease	0	0			SINGLE_DISEASE	
MONDO:0100280	Waldenstrom macroglobulinemia	OMIMPS:153600	2	0	2	0	0	0	0	0	0	SUSCEPTIBILITY_SERIES	RISK_LOCUS	Waldenstrom Macroglobulinemia		hereditary disease; inborn errors of metabolism	0	0			SINGLE_DISEASE	
MONDO:0007275	carpal tunnel syndrome	OMIMPS:115430	2	2	0	0	0	0	0	0	0	MENDELIAN_SERIES	MENDELIAN			hereditary disease; hereditary neurological disease; hereditary neuromuscular disease; hereditary peripheral neuropathy	0	0			NO_DISMECH_BASIS	
MONDO:0005130	celiac disease	OMIMPS:212750	1	0	0	0	0	0	0	1	13	SUSCEPTIBILITY_SERIES	RISK_LOCUS	Celiac Disease		hereditary disease	1	0			SINGLE_DISEASE	
MONDO:0019201	thyrotoxic periodic paralysis	OMIMPS:188580	0	0	0	0	0	0	0	0	3	SUSCEPTIBILITY_SERIES	RISK_LOCUS			familial periodic paralysis; hereditary disease; hereditary neurological disease; inborn errors of metabolism	0	0			SINGLE_DISEASE	
MONDO:0005445	visceral leishmaniasis	OMIMPS:608207	0	0	0	0	0	0	0	0	3	SUSCEPTIBILITY_SERIES	RISK_LOCUS	Leishmaniasis		hereditary disease	0	0			SINGLE_DISEASE	
MONDO:0005342	IgA glomerulonephritis		0	0	0	0	0	0	0	0	1	SPARSE	RISK_LOCUS	IgA Nephropathy		hereditary disease; hereditary nephritis; inherited kidney disorder	0	0			NO_DISMECH_BASIS	
