evidence_id	assertion_id	disorder_id	disorder_name	source_file	section	section_index	path	evidence_index	reference	supports	evidence_source	snippet	explanation	raw_json
1183	930	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	3	evidence	1	PMID:33583696	SUPPORT		Listeria monocytogenes is a foodborne pathogen responsible for listeriosis, an infection that can manifest in humans as bacteremia, meningoencephalitis in immunocompromised patients and the elderly, and fetal-placental infection in pregnant women.	This reference supports the statement by indicating that Listeria monocytogenes can cause meningoencephalitis in immunocompromised patients and fetal-placental infection in pregnant women.	"{""explanation"": ""This reference supports the statement by indicating that Listeria monocytogenes can cause meningoencephalitis in immunocompromised patients and fetal-placental infection in pregnant women."", ""reference"": ""PMID:33583696"", ""snippet"": ""Listeria monocytogenes is a foodborne pathogen responsible for listeriosis, an infection that can manifest in humans as bacteremia, meningoencephalitis in immunocompromised patients and the elderly, and fetal-placental infection in pregnant women."", ""supports"": ""SUPPORT""}"
1184	930	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	3	evidence	2	PMID:28536811	SUPPORT		Listeria has a predilection to affect immunocompromised patients, elderly people, pregnant women and neonates.	This reference supports the statement by indicating that Listeria monocytogenes affects immunocompromised patients, pregnant women, and neonates.	"{""explanation"": ""This reference supports the statement by indicating that Listeria monocytogenes affects immunocompromised patients, pregnant women, and neonates."", ""reference"": ""PMID:28536811"", ""snippet"": ""Listeria has a predilection to affect immunocompromised patients, elderly people, pregnant women and neonates."", ""supports"": ""SUPPORT""}"
1185	930	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	3	evidence	3	PMID:27055168	SUPPORT		Listeria monocytogenes may cause meningitis, meningoencephalitis, brain abscess, pyogenic arthritis, osteomyelitis, and liver abscess in children.	This reference supports the statement by indicating that Listeria monocytogenes can cause meningitis in children, which includes newborns.	"{""explanation"": ""This reference supports the statement by indicating that Listeria monocytogenes can cause meningitis in children, which includes newborns."", ""reference"": ""PMID:27055168"", ""snippet"": ""Listeria monocytogenes may cause meningitis, meningoencephalitis, brain abscess, pyogenic arthritis, osteomyelitis, and liver abscess in children."", ""supports"": ""SUPPORT""}"
1186	930	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	3	evidence	4	PMID:6349348	SUPPORT		Predominant pathogens are Escherichia coli, group B streptococci, Listeria monocytogenes, Haemophilus influenzae, Neisseria meningitidis, and Streptococcus pneumoniae.	This reference supports the statement by listing Listeria monocytogenes as a predominant pathogen in bacterial meningitis.	"{""explanation"": ""This reference supports the statement by listing Listeria monocytogenes as a predominant pathogen in bacterial meningitis."", ""reference"": ""PMID:6349348"", ""snippet"": ""Predominant pathogens are Escherichia coli, group B streptococci, Listeria monocytogenes, Haemophilus influenzae, Neisseria meningitidis, and Streptococcus pneumoniae."", ""supports"": ""SUPPORT""}"
1187	930	39	Bacterial meningitis	Bacterial_meningitis.yaml	infectious_agent	3	evidence	5	PMID:10470563	SUPPORT		Bacterial pathogens primarily are associated with the maternal genitourinary tract.	This reference supports the statement by associating bacterial meningitis in neonates with maternal genitourinary tract pathogens, which includes Listeria monocytogenes.	"{""explanation"": ""This reference supports the statement by associating bacterial meningitis in neonates with maternal genitourinary tract pathogens, which includes Listeria monocytogenes."", ""reference"": ""PMID:10470563"", ""snippet"": ""Bacterial pathogens primarily are associated with the maternal genitourinary tract."", ""supports"": ""SUPPORT""}"
1377	1041	43	Bejel	Bejel.yaml	infectious_agent	0	evidence	0	PMID:35687593	SUPPORT		Bejel (endemic syphilis) is a neglected non-venereal disease caused by Treponema pallidum subsp. endemicum (TEN).	The abstract identifies the causative treponeme for bejel.	"{""explanation"": ""The abstract identifies the causative treponeme for bejel."", ""reference"": ""PMID:35687593"", ""snippet"": ""Bejel (endemic syphilis) is a neglected non-venereal disease caused by Treponema pallidum subsp. endemicum (TEN)."", ""supports"": ""SUPPORT""}"
1491	1225	51	Burkitt Lymphoma	Burkitt_Lymphoma.yaml	infectious_agent	0	evidence	0	PMID:7797201	SUPPORT		There is a strong association (approximately 95%) of endemic Burkitt's lymphoma with Epstein-Barr virus (EBV)	Abstract reports high EBV association in endemic Burkitt lymphoma.	"{""explanation"": ""Abstract reports high EBV association in endemic Burkitt lymphoma."", ""reference"": ""PMID:7797201"", ""snippet"": ""There is a strong association (approximately 95%) of endemic Burkitt's lymphoma with Epstein-Barr virus (EBV)"", ""supports"": ""SUPPORT""}"
1494	1240	52	Buruli ulcer	Buruli_Ulcer.yaml	infectious_agent	0	evidence	0	PMID:21240839	SUPPORT		Buruli ulcer (BU), caused by Mycobacterium ulcerans	The abstract identifies M. ulcerans as the cause of Buruli ulcer.	"{""explanation"": ""The abstract identifies M. ulcerans as the cause of Buruli ulcer."", ""reference"": ""PMID:21240839"", ""snippet"": ""Buruli ulcer (BU), caused by Mycobacterium ulcerans"", ""supports"": ""SUPPORT""}"
1568	1370	58	Cervical Cancer	Cervical_Cancer.yaml	infectious_agent	0	evidence	0	PMID:41503346	SUPPORT		Persistent infection with high-risk human papillomavirus (HR HPV) is the necessary cause of cervical cancer.	Supports HPV as the necessary causal agent for cervical cancer.	"{""explanation"": ""Supports HPV as the necessary causal agent for cervical cancer."", ""reference"": ""PMID:41503346"", ""snippet"": ""Persistent infection with high-risk human papillomavirus (HR HPV) is the necessary cause of cervical cancer."", ""supports"": ""SUPPORT""}"
1569	1384	59	Chagas disease	Chagas_Disease.yaml	infectious_agent	0	evidence	0	PMID:34207491	SUPPORT		Chagas disease is caused by the kinetoplastid parasite Trypanosoma cruzi	The review identifies Trypanosoma cruzi as the causative agent.	"{""explanation"": ""The review identifies Trypanosoma cruzi as the causative agent."", ""reference"": ""PMID:34207491"", ""snippet"": ""Chagas disease is caused by the kinetoplastid parasite Trypanosoma cruzi"", ""supports"": ""SUPPORT""}"
1575	1390	60	Chikungunya	Chikungunya.yaml	infectious_agent	0	evidence	0	PMID:29533749	SUPPORT		Chikungunya virus (CHIKV) is an arthropod-borne alphavirus	The abstract identifies CHIKV as an alphavirus.	"{""explanation"": ""The abstract identifies CHIKV as an alphavirus."", ""reference"": ""PMID:29533749"", ""snippet"": ""Chikungunya virus (CHIKV) is an arthropod-borne alphavirus"", ""supports"": ""SUPPORT""}"
1634	1414	61	Cholera	Cholera.yaml	infectious_agent	0	evidence	0	PMID:30512613	SUPPORT		Cholera is caused by Vibrio cholerae, a Gram-negative bacteria. Some strains can synthesize an enterotoxin - the cholera toxin - which is responsible for the disease.	This reference supports that Cholera is caused by a bacterium, Vibrio cholerae, which produces a toxin leading to severe diarrhea.	"{""explanation"": ""This reference supports that Cholera is caused by a bacterium, Vibrio cholerae, which produces a toxin leading to severe diarrhea."", ""reference"": ""PMID:30512613"", ""snippet"": ""Cholera is caused by Vibrio cholerae, a Gram-negative bacteria. Some strains can synthesize an enterotoxin - the cholera toxin - which is responsible for the disease."", ""supports"": ""SUPPORT""}"
1635	1414	61	Cholera	Cholera.yaml	infectious_agent	0	evidence	1	PMID:21880975	SUPPORT		Vibrio cholerae serogroup O1, the causative agent of the diarrheal disease cholera, is divided into two biotypes: classical and El Tor. Both biotypes produce the major virulence factors toxin-coregulated pilus (TCP) and cholera toxin (CT).	This reference supports the existence of Classical and El Tor biotypes under the O1 serogroup of Vibrio cholerae.	"{""explanation"": ""This reference supports the existence of Classical and El Tor biotypes under the O1 serogroup of Vibrio cholerae."", ""reference"": ""PMID:21880975"", ""snippet"": ""Vibrio cholerae serogroup O1, the causative agent of the diarrheal disease cholera, is divided into two biotypes: classical and El Tor. Both biotypes produce the major virulence factors toxin-coregulated pilus (TCP) and cholera toxin (CT)."", ""supports"": ""SUPPORT""}"
1636	1414	61	Cholera	Cholera.yaml	infectious_agent	0	evidence	2	PMID:17716938	SUPPORT		The bacterial protein toxin of Vibrio cholerae, cholera toxin, is a major agent involved in severe diarrhoeal disease.	This reference confirms that the cholera toxin produced by Vibrio cholerae is responsible for severe diarrhea.	"{""explanation"": ""This reference confirms that the cholera toxin produced by Vibrio cholerae is responsible for severe diarrhea."", ""reference"": ""PMID:17716938"", ""snippet"": ""The bacterial protein toxin of Vibrio cholerae, cholera toxin, is a major agent involved in severe diarrhoeal disease."", ""supports"": ""SUPPORT""}"
1637	1414	61	Cholera	Cholera.yaml	infectious_agent	0	evidence	3	PMID:27222028	SUPPORT		Cholera is caused by infection with Vibrio cholerae.	This reference supports the statement that Vibrio cholerae causes cholera.	"{""explanation"": ""This reference supports the statement that Vibrio cholerae causes cholera."", ""reference"": ""PMID:27222028"", ""snippet"": ""Cholera is caused by infection with Vibrio cholerae."", ""supports"": ""SUPPORT""}"
1638	1414	61	Cholera	Cholera.yaml	infectious_agent	0	evidence	4	PMID:34586051	SUPPORT		Vibrio cholerae O1 is the aetiological agent of the severe diarrhoeal disease cholera.	This reference supports that Vibrio cholerae O1 is a subtype that causes cholera.	"{""explanation"": ""This reference supports that Vibrio cholerae O1 is a subtype that causes cholera."", ""reference"": ""PMID:34586051"", ""snippet"": ""Vibrio cholerae O1 is the aetiological agent of the severe diarrhoeal disease cholera."", ""supports"": ""SUPPORT""}"
1773	1465	62	Chromoblastomycosis	Chromoblastomycosis.yaml	infectious_agent	0	evidence	0	PMID:20711281	SUPPORT		The most common etiologic agents are Fonsecaea pedrosoi and Cladophialophora carrionii, both of which can be isolated from plant debris.	The abstract identifies F. pedrosoi as a common etiologic agent.	"{""explanation"": ""The abstract identifies F. pedrosoi as a common etiologic agent."", ""reference"": ""PMID:20711281"", ""snippet"": ""The most common etiologic agents are Fonsecaea pedrosoi and Cladophialophora carrionii, both of which can be isolated from plant debris."", ""supports"": ""SUPPORT""}"
1774	1466	62	Chromoblastomycosis	Chromoblastomycosis.yaml	infectious_agent	1	evidence	0	PMID:20711281	SUPPORT		The most common etiologic agents are Fonsecaea pedrosoi and Cladophialophora carrionii, both of which can be isolated from plant debris.	The abstract identifies C. carrionii as a common etiologic agent.	"{""explanation"": ""The abstract identifies C. carrionii as a common etiologic agent."", ""reference"": ""PMID:20711281"", ""snippet"": ""The most common etiologic agents are Fonsecaea pedrosoi and Cladophialophora carrionii, both of which can be isolated from plant debris."", ""supports"": ""SUPPORT""}"
2201	1918	82	Cystic echinococcosis	Cystic_Echinococcosis.yaml	infectious_agent	0	evidence	0	PMID:27047771	SUPPORT		Cystic echinococcosis (CE) is a widely endemic helminthic disease caused by infection with metacestodes (larval stage) of the Echinococcus granulosus tapeworm.	The abstract identifies E. granulosus metacestodes as the cause of CE.	"{""explanation"": ""The abstract identifies E. granulosus metacestodes as the cause of CE."", ""reference"": ""PMID:27047771"", ""snippet"": ""Cystic echinococcosis (CE) is a widely endemic helminthic disease caused by infection with metacestodes (larval stage) of the Echinococcus granulosus tapeworm."", ""supports"": ""SUPPORT""}"
2255	1978	86	Dengue	Dengue.yaml	infectious_agent	0	evidence	0	PMID:34171205	SUPPORT		Dengue is a vector-borne viral disease caused by the flavivirus dengue virus (DENV).	The review identifies dengue virus as the causative flavivirus.	"{""explanation"": ""The review identifies dengue virus as the causative flavivirus."", ""reference"": ""PMID:34171205"", ""snippet"": ""Dengue is a vector-borne viral disease caused by the flavivirus dengue virus (DENV)."", ""supports"": ""SUPPORT""}"
2306	2110	94	Dracunculiasis	Dracunculiasis.yaml	infectious_agent	0	evidence	0	PMID:27162746	SUPPORT		Dracunculiasis, otherwise known as guinea worm disease (GWD), is caused by infection with the nematode Dracunculus medinensis.	The abstract identifies D. medinensis as the causative nematode.	"{""explanation"": ""The abstract identifies D. medinensis as the causative nematode."", ""reference"": ""PMID:27162746"", ""snippet"": ""Dracunculiasis, otherwise known as guinea worm disease (GWD), is caused by infection with the nematode Dracunculus medinensis."", ""supports"": ""SUPPORT""}"
2328	2172	97	EBV-Associated Gastric Cancer	EBV_Associated_Gastric_Cancer.yaml	infectious_agent	0	evidence	0	PMID:41280003	SUPPORT		Epstein-Barr virus associated gastric cancer (EBVaGC) accounts for ~9-10% of gastric cancers worldwide and is defined by a distinctive molecular profile, including extreme hypermethylation of the DNA.	This abstract defines EBV-associated gastric cancer as a distinct molecular subtype and provides its global frequency.	"{""explanation"": ""This abstract defines EBV-associated gastric cancer as a distinct molecular subtype and provides its global frequency."", ""reference"": ""PMID:41280003"", ""snippet"": ""Epstein-Barr virus associated gastric cancer (EBVaGC) accounts for ~9-10% of gastric cancers worldwide and is defined by a distinctive molecular profile, including extreme hypermethylation of the DNA."", ""supports"": ""SUPPORT""}"
2367	2241	100	Ebola Virus Disease (EVD)	Ebola_Virus_Disease_EVD.yaml	infectious_agent	0	evidence	0	PMID:32080199	SUPPORT		Ebola virus disease (EVD) is a severe and frequently lethal disease caused by Ebola virus (EBOV).	The literature clearly states that EVD is caused by the Ebola virus.	"{""explanation"": ""The literature clearly states that EVD is caused by the Ebola virus."", ""reference"": ""PMID:32080199"", ""snippet"": ""Ebola virus disease (EVD) is a severe and frequently lethal disease caused by Ebola virus (EBOV)."", ""supports"": ""SUPPORT""}"
2368	2241	100	Ebola Virus Disease (EVD)	Ebola_Virus_Disease_EVD.yaml	infectious_agent	0	evidence	1	PMID:28643203	SUPPORT		Ebola virus disease (EVD) in humans is associated with four ebolaviruses: Ebola virus (EBOV), Sudan virus (SUDV), Bundibugyo virus (BDBV), and Taï Forest virus	This reference confirms that Ebola virus (EBOV) is indeed an infectious agent of EVD.	"{""explanation"": ""This reference confirms that Ebola virus (EBOV) is indeed an infectious agent of EVD."", ""reference"": ""PMID:28643203"", ""snippet"": ""Ebola virus disease (EVD) in humans is associated with four ebolaviruses: Ebola virus (EBOV), Sudan virus (SUDV), Bundibugyo virus (BDBV), and Taï Forest virus"", ""supports"": ""SUPPORT""}"
2369	2241	100	Ebola Virus Disease (EVD)	Ebola_Virus_Disease_EVD.yaml	infectious_agent	0	evidence	2	PMID:24040779	SUPPORT		Since Ebola virus was discovered in 1970s, the virus has persisted in Africa and sporadic fatal outbreaks in humans and non-human primates have been reported.	This reference states that Ebola virus is responsible for outbreaks in humans, indicating it as the infectious agent for Ebola virus disease.	"{""explanation"": ""This reference states that Ebola virus is responsible for outbreaks in humans, indicating it as the infectious agent for Ebola virus disease."", ""reference"": ""PMID:24040779"", ""snippet"": ""Since Ebola virus was discovered in 1970s, the virus has persisted in Africa and sporadic fatal outbreaks in humans and non-human primates have been reported."", ""supports"": ""SUPPORT""}"
2370	2241	100	Ebola Virus Disease (EVD)	Ebola_Virus_Disease_EVD.yaml	infectious_agent	0	evidence	3	PMID:33734027	SUPPORT		Ebola virus (EBOV), belonging to the species Zaire ebolavirus in the genus Ebolavirus, causes a severe febrile illness in humans with case fatality rates (CFRs) up to 90%.	This literature directly links Ebola virus (EBOV) to the severe illness known as Ebola Virus Disease (EVD).	"{""explanation"": ""This literature directly links Ebola virus (EBOV) to the severe illness known as Ebola Virus Disease (EVD)."", ""reference"": ""PMID:33734027"", ""snippet"": ""Ebola virus (EBOV), belonging to the species Zaire ebolavirus in the genus Ebolavirus, causes a severe febrile illness in humans with case fatality rates (CFRs) up to 90%."", ""supports"": ""SUPPORT""}"
3042	2882	119	Foodborne trematodiases	Foodborne_Trematodiases.yaml	infectious_agent	0	evidence	0	PMID:19597009	SUPPORT		An estimated 750 million people are at risk of infections with food-borne trematodes, which comprise liver flukes (Clonorchis sinensis, Fasciola gigantica, Fasciola hepatica, Opisthorchis felineus, and Opisthorchis viverrini), lung flukes (Paragonimus spp.), and intestinal flukes (e.g., Echinostoma spp., Fasciolopsis buski, and the heterophyids).	The abstract lists C. sinensis among the major liver flukes.	"{""explanation"": ""The abstract lists C. sinensis among the major liver flukes."", ""reference"": ""PMID:19597009"", ""snippet"": ""An estimated 750 million people are at risk of infections with food-borne trematodes, which comprise liver flukes (Clonorchis sinensis, Fasciola gigantica, Fasciola hepatica, Opisthorchis felineus, and Opisthorchis viverrini), lung flukes (Paragonimus spp.), and intestinal flukes (e.g., Echinostoma spp., Fasciolopsis buski, and the heterophyids)."", ""supports"": ""SUPPORT""}"
3043	2883	119	Foodborne trematodiases	Foodborne_Trematodiases.yaml	infectious_agent	1	evidence	0	PMID:19597009	SUPPORT		An estimated 750 million people are at risk of infections with food-borne trematodes, which comprise liver flukes (Clonorchis sinensis, Fasciola gigantica, Fasciola hepatica, Opisthorchis felineus, and Opisthorchis viverrini), lung flukes (Paragonimus spp.), and intestinal flukes (e.g., Echinostoma spp., Fasciolopsis buski, and the heterophyids).	The abstract lists F. gigantica among the major liver flukes.	"{""explanation"": ""The abstract lists F. gigantica among the major liver flukes."", ""reference"": ""PMID:19597009"", ""snippet"": ""An estimated 750 million people are at risk of infections with food-borne trematodes, which comprise liver flukes (Clonorchis sinensis, Fasciola gigantica, Fasciola hepatica, Opisthorchis felineus, and Opisthorchis viverrini), lung flukes (Paragonimus spp.), and intestinal flukes (e.g., Echinostoma spp., Fasciolopsis buski, and the heterophyids)."", ""supports"": ""SUPPORT""}"
3044	2884	119	Foodborne trematodiases	Foodborne_Trematodiases.yaml	infectious_agent	2	evidence	0	PMID:19597009	SUPPORT		An estimated 750 million people are at risk of infections with food-borne trematodes, which comprise liver flukes (Clonorchis sinensis, Fasciola gigantica, Fasciola hepatica, Opisthorchis felineus, and Opisthorchis viverrini), lung flukes (Paragonimus spp.), and intestinal flukes (e.g., Echinostoma spp., Fasciolopsis buski, and the heterophyids).	The abstract lists F. hepatica among the major liver flukes.	"{""explanation"": ""The abstract lists F. hepatica among the major liver flukes."", ""reference"": ""PMID:19597009"", ""snippet"": ""An estimated 750 million people are at risk of infections with food-borne trematodes, which comprise liver flukes (Clonorchis sinensis, Fasciola gigantica, Fasciola hepatica, Opisthorchis felineus, and Opisthorchis viverrini), lung flukes (Paragonimus spp.), and intestinal flukes (e.g., Echinostoma spp., Fasciolopsis buski, and the heterophyids)."", ""supports"": ""SUPPORT""}"
3045	2885	119	Foodborne trematodiases	Foodborne_Trematodiases.yaml	infectious_agent	3	evidence	0	PMID:19597009	SUPPORT		An estimated 750 million people are at risk of infections with food-borne trematodes, which comprise liver flukes (Clonorchis sinensis, Fasciola gigantica, Fasciola hepatica, Opisthorchis felineus, and Opisthorchis viverrini), lung flukes (Paragonimus spp.), and intestinal flukes (e.g., Echinostoma spp., Fasciolopsis buski, and the heterophyids).	The abstract lists O. felineus among the major liver flukes.	"{""explanation"": ""The abstract lists O. felineus among the major liver flukes."", ""reference"": ""PMID:19597009"", ""snippet"": ""An estimated 750 million people are at risk of infections with food-borne trematodes, which comprise liver flukes (Clonorchis sinensis, Fasciola gigantica, Fasciola hepatica, Opisthorchis felineus, and Opisthorchis viverrini), lung flukes (Paragonimus spp.), and intestinal flukes (e.g., Echinostoma spp., Fasciolopsis buski, and the heterophyids)."", ""supports"": ""SUPPORT""}"
