section_name	count	maxo_label	status	ncit_id	ncit_label	queries_tried	decision_notes
Lifestyle Modifications	6	dietary intervention	NEAR_MATCH	NCIT:C15900	Lifestyle Therapy	search:Lifestyle Modifications;search:Lifestyle Modification;search:Lifestyle Intervention;info:l~Lifestyle	No exact plural concept found; Lifestyle Therapy is closest intervention concept.
Surgical Excision	6	surgical procedure	NEAR_MATCH	NCIT:C15232	Excision	search:Surgical Excision;search:Excision;info:l~Excision	No exact surgical-excision label; mapped to generic Excision.
Vaccination	6	vaccination	MATCH	NCIT:C15346	Vaccination	search:Vaccination;info:l~Vaccination	Exact label match.
Orthopedic Management	5	surgical procedure	NEAR_MATCH	NCIT:C16186	Orthopedic Surgical Procedure	search:Orthopedic Management;search:Orthopedic;info:l~Orthopedic	No exact management concept; closest treatment action is orthopedic surgical procedure.
Bisphosphonate Therapy	5	bisphosphonate agent therapy	MATCH	NCIT:C198585	Bisphosphonate Therapy	search:Bisphosphonate Therapy;info:l~Bisphosphonate Therapy	Exact label match.
Bronchodilators	4	pharmacotherapy	MATCH	NCIT:C319	Bronchodilator	search:Bronchodilators;search:Bronchodilator;info:l~Bronchodilator	Plural normalized to singular bronchodilator class.
Multi-Agent Chemotherapy	4	chemotherapy	MATCH	NCIT:C191	Combination Chemotherapy	search:Multi-Agent Chemotherapy;search:Combination Chemotherapy;info:l~Combination Chemotherapy	Mapped synonym multi-agent -> combination chemotherapy.
Speech Therapy	4	speech therapy	NO_MATCH			search:Speech Therapy;search:Speech-Language Therapy;info:l~Speech Therapy;search:Speech	No NCIT treatment concept found; only generic Speech (NCIT:C38025) appears.
Thyroidectomy	4	surgical procedure	MATCH	NCIT:C51648	Thyroidectomy	search:Thyroidectomy	Exact label match.
Antibiotic Therapy	4	pharmacotherapy	MATCH	NCIT:C15620	Antibiotic Therapy	search:Antibiotic Therapy	Exact label match.
Rituximab	4	pharmacotherapy	MATCH	NCIT:C1702	Rituximab	search:Rituximab	Exact label match.
Cranial Vault Surgery	4	surgical procedure	NEAR_MATCH	NCIT:C15214	Craniotomy	search:Cranial Vault Surgery;info:l~Cranial Vault Surgery;search:Cranial Vault;search:Craniofacial Surgery;search:Craniotomy	No exact cranial-vault surgery concept; craniotomy is closest procedural concept.
Symptomatic Management	4	supportive care	MATCH	NCIT:C170740	Symptomatic Therapy	search:Symptomatic Management;search:Symptomatic Treatment;search:Symptom Management;search:Supportive Care	Mapped management/treatment wording to Symptomatic Therapy.
Growth Hormone Therapy	4	hormone modifying therapy	NEAR_MATCH	NCIT:C837	Somatropin	search:Growth Hormone Therapy;search:Growth Hormone;info:l~Somatropin	No explicit therapy concept found; mapped to growth hormone drug concept (somatropin).
Beta Blockers	4	beta adrenergic agent therapy	MATCH	NCIT:C29576	Beta-Adrenergic Antagonist	search:Beta Blockers;search:Beta Blocker;info:l~Beta Adrenergic	Plural normalized to class concept.
Crizotinib	3	pharmacotherapy	MATCH	NCIT:C74061	Crizotinib	search:Crizotinib	Exact label match.
Liver Transplant	3	organ transplantation	MATCH	NCIT:C15271	Liver Transplantation	search:Liver Transplant	Synonym maps to Liver Transplantation.
Cholinesterase Inhibitors	3	pharmacotherapy	MATCH	NCIT:C47792	Acetylcholinesterase Inhibitor	search:Cholinesterase Inhibitors;search:Cholinesterase Inhibitor;search:Acetylcholinesterase Inhibitor	Mapped broad class to closest NCIT inhibitor class.
Midface Advancement	3	surgical procedure	NO_MATCH			search:Midface Advancement;search:Le Fort;search:Maxillary Advancement;search:Midface;search:Orthognathic Surgery	No suitable NCIT procedure concept identified.
Surgical Management	3	surgical procedure	MATCH	NCIT:C16080	Surgical Management	search:Surgical Management	Exact label match.
Topical Therapy	3	pharmacotherapy	NEAR_MATCH	NCIT:C38304	Topical Route of Administration	search:Topical Therapy;search:Topical Treatment;search:Topical	No therapy concept found; closest NCIT representation is route/formulation.
Surgical Interventions	3	surgical procedure	MATCH	NCIT:C15329	Surgical Procedure	search:Surgical Interventions	Plural intervention wording maps to surgical procedure concept.
Surgery	3	surgical procedure	MATCH	NCIT:C17173	Surgery	search:Surgery	Exact Surgery concept selected over related procedural metadata terms.
Educational Support	3	behavioral counseling	NEAR_MATCH	NCIT:C16959	Patient Education	search:Educational Support;search:Patient Education;search:Health Education	No exact support concept; patient education is closest intervention concept.
MEK Inhibitor Therapy	3	pharmacotherapy	MATCH	NCIT:C69145	Mitogen-Activated Protein Kinase Kinase Inhibitor	search:MEK Inhibitor Therapy;search:MEK Inhibitor;info:l~Mitogen-Activated Protein Kinase Kinase Inhibitor	Mapped therapy wording to NCIT MEK inhibitor class.
Pembrolizumab	3	pharmacotherapy	MATCH	NCIT:C106432	Pembrolizumab	search:Pembrolizumab	Exact label match.
Imatinib	3	pharmacotherapy	MATCH	NCIT:C62035	Imatinib	search:Imatinib	Exact label match.
Belzutifan	3	pharmacotherapy	MATCH	NCIT:C135627	Belzutifan	search:Belzutifan	Exact label match.
CAR-T Cell Therapy	3	immunotherapy procedure	MATCH	NCIT:C126102	Chimeric Antigen Receptor T-Cell Therapy	search:CAR-T Cell Therapy;search:CAR T-Cell Therapy;search:Chimeric Antigen Receptor T-Cell Therapy;search:CAR-T	Mapped abbreviation to explicit CAR T-cell therapy concept.
Hydroxyurea	3	pharmacotherapy	MATCH	NCIT:C560	Hydroxyurea	search:Hydroxyurea	Exact label match.
Intensive Chemotherapy (7+3)	3	chemotherapy	NEAR_MATCH	NCIT:C190867	Intensive Chemotherapy	search:Intensive Chemotherapy (7+3);search:7+3;search:Intensive Chemotherapy;search:Induction Chemotherapy	7+3 regimen-specific wording not found; mapped to Intensive Chemotherapy.
Maximal Safe Resection	3	surgical procedure	NEAR_MATCH	NCIT:C131672	Gross Total Resection	search:Maximal Safe Resection;search:Gross Total Resection;search:Tumor Resection	No exact phrase; gross total resection is closest surgical intent.
Temozolomide Chemotherapy	3	chemotherapy	NEAR_MATCH	NCIT:C1244	Temozolomide	search:Temozolomide Chemotherapy;search:Temozolomide	Mapped regimen wording to core drug concept.
Trastuzumab Deruxtecan (T-DXd)	3	pharmacotherapy	MATCH	NCIT:C128799	Trastuzumab Deruxtecan	search:Trastuzumab Deruxtecan (T-DXd);search:Trastuzumab Deruxtecan;search:T-DXd;search:fam-trastuzumab deruxtecan;info:NCIT:C128799,NCIT:C152716	Selected active concept C128799; C152716 is retired.
Intravenous Immunoglobulin (IVIG)	3	pharmacotherapy	MATCH	NCIT:C121331	Intravenous Immunoglobulin Therapy	search:Intravenous Immunoglobulin (IVIG);search:Intravenous Immunoglobulin;search:IVIG;search:Immunoglobulin Therapy	Direct IVIG therapy concept found.
Selpercatinib	3	pharmacotherapy	MATCH	NCIT:C134987	Selpercatinib	search:Selpercatinib	Exact label match.
Pralsetinib	3	pharmacotherapy	MATCH	NCIT:C132295	Pralsetinib	search:Pralsetinib	Exact label match.
Targeted Therapy	3	pharmacotherapy	MATCH	NCIT:C93352	Targeted Therapy	search:Targeted Therapy	Exact label match.
Surveillance Protocol	3	cancer screening	NEAR_MATCH	NCIT:C15719	Surveillance	search:Surveillance Protocol;search:Active Surveillance;search:Surveillance	No protocol-specific concept; mapped to surveillance action.
Eculizumab	3	pharmacotherapy	MATCH	NCIT:C48386	Eculizumab	search:Eculizumab	Exact label match.
Cardiac surgery	2	surgical procedure	MATCH	NCIT:C157806	Cardiac Surgery	search:Cardiac surgery	Case-normalized exact match.
Lorlatinib	2	pharmacotherapy	MATCH	NCIT:C113655	Lorlatinib	search:Lorlatinib	Exact label match.
Antiretroviral Therapy	2	antiretroviral therapy	MATCH	NCIT:C94631	Antiretroviral Therapy	search:Antiretroviral Therapy	Exact label match.
Systemic Therapy	2	pharmacotherapy	MATCH	NCIT:C15698	Systemic Therapy	search:Systemic Therapy	Exact label match.
NMDA Receptor Antagonist	2	pharmacotherapy	NO_MATCH			search:NMDA Receptor Antagonist;search:N-Methyl-D-Aspartate Receptor Antagonist;search:NMDA antagonist;search:N-methyl-D-aspartate;info:l~N-methyl-D-aspartate	Only receptor target term found (NCIT:C118457), not antagonist therapy/class term.
Lung Transplantation	2	transplantation procedure	MATCH	NCIT:C15274	Lung Transplantation	search:Lung Transplantation	Exact label match.
Multidisciplinary Care	2	supportive care	NEAR_MATCH	NCIT:C94845	Multidisciplinary	search:Multidisciplinary Care;search:Multidisciplinary Approach;search:Multidisciplinary	No explicit care concept; mapped to multidisciplinary concept as nearest available.
Cranial Vault Remodeling	2	surgical procedure	NO_MATCH			search:Cranial Vault Remodeling;search:Cranial Remodeling;search:Cranioplasty;info:l~Cranial Vault Remodeling	No NCIT concept identified for cranial-vault remodeling procedure.
Anticoagulation	2	pharmacotherapy	MATCH	NCIT:C63341	Anticoagulation Therapy	search:Anticoagulation;search:Anticoagulation Therapy;search:Anticoagulant Therapy;search:Anticoagulant	Direct therapy concept found; preferred over coagulation-process terms.
Radioiodine Therapy	2	radiation therapy	MATCH	NCIT:C157968	Radioactive Iodine Therapy	search:Radioiodine Therapy;search:Iodine I-131 Therapy;search:Radioactive Iodine Therapy	Mapped to equivalent radioactive iodine therapy concept.
Lenvatinib or Sorafenib	2	pharmacotherapy	NO_MATCH			search:Lenvatinib or Sorafenib;search:Lenvatinib;search:Sorafenib;search:Lenvatinib Sorafenib	Disjunctive treatment phrase; NCIT has component drugs (C95124/C61948) but no single combined concept.
Dabrafenib plus Trametinib	2	pharmacotherapy	NO_MATCH			search:Dabrafenib plus Trametinib;search:Dabrafenib;search:Trametinib;search:Dabrafenib Trametinib	Combination phrase lacks single NCIT concept; component drugs exist (C82386/C77908).
Encorafenib plus Binimetinib	2	pharmacotherapy	NO_MATCH			search:Encorafenib plus Binimetinib;search:Encorafenib;search:Binimetinib;search:Encorafenib Binimetinib	Combination phrase lacks single NCIT concept; component drugs exist (C98283/C84865).
Platinum Chemotherapy	2	chemotherapy	NEAR_MATCH	NCIT:C25620	Platinum-Based	search:Platinum Chemotherapy;search:Platinum-based Chemotherapy;search:Platinum-based;search:Platinum;search:Platinum Agent;info:l~Platinum-based	No explicit platinum-chemotherapy action concept; closest is platinum-based qualifier.
Supportive Therapy	2	physical therapy	MATCH	NCIT:C21109	Supportive Therapy	search:Supportive Therapy	Exact label match; distinct from Supportive Care concept.
Gene Therapy	2	gene therapy	MATCH	NCIT:C15238	Gene Therapy	search:Gene Therapy	Exact label match.
Vismodegib	2	pharmacotherapy	MATCH	NCIT:C74038	Vismodegib	search:Vismodegib	Exact label match.
Sonidegib	2	pharmacotherapy	MATCH	NCIT:C82385	Sonidegib	search:Sonidegib	Exact label match.
Airway Clearance Techniques	2	physical therapy	NO_MATCH			search:Airway Clearance Techniques;search:Airway Clearance;search:Airway Clearance Therapy;search:Chest Physiotherapy	No direct NCIT concept identified for airway-clearance techniques.
Inhaled Corticosteroids	2	respiratory tract agent therapy	NEAR_MATCH	NCIT:C2322	Corticosteroid	search:Inhaled Corticosteroids;search:Inhaled Corticosteroid;search:Corticosteroid	No inhaled-specific class concept found; mapped to broader corticosteroid class.
Surgical management	2	surgical procedure	MATCH	NCIT:C16080	Surgical Management	search:Surgical management;info:l~Surgical management	Case-variant exact match.
Cardiac Surgery	2	surgical procedure	MATCH	NCIT:C157806	Cardiac Surgery	search:Cardiac Surgery	Exact label match.
Hearing Aids	2	supportive care	MATCH	NCIT:C183182	Hearing Aid	search:Hearing Aids;info:l~Hearing Aids;search:Hearing Aid;search:Hearing Device	Plural normalized to singular hearing-aid device concept.
Orthotic Interventions	2	occupational therapy	NEAR_MATCH	NCIT:C86054	Brace	search:Orthotic Interventions;search:Orthotic;search:Orthosis;search:Orthopedic Device	No direct orthotic-intervention concept; brace is closest device proxy.
Nutritional Support	2	dietary intervention	MATCH	NCIT:C15433	Nutritional Support	search:Nutritional Support	Exact label match.
HPV Vaccination	2	vaccination	NEAR_MATCH	NCIT:C1951	Human Papilloma Virus Vaccine	search:HPV Vaccination;search:Human Papillomavirus Vaccination;search:HPV Vaccine	Action phrase maps to vaccine product concept.
Ibrutinib	2	pharmacotherapy	MATCH	NCIT:C81934	Ibrutinib	search:Ibrutinib	Exact label match.
Acalabrutinib	2	pharmacotherapy	MATCH	NCIT:C113442	Acalabrutinib	search:Acalabrutinib	Exact label match.
Dasatinib	2	pharmacotherapy	MATCH	NCIT:C38713	Dasatinib	search:Dasatinib	Exact label match.
Nilotinib	2	pharmacotherapy	MATCH	NCIT:C48375	Nilotinib	search:Nilotinib	Exact label match.
Ponatinib	2	pharmacotherapy	MATCH	NCIT:C95777	Ponatinib	search:Ponatinib	Exact label match.
Oxygen Therapy	2	artificial respiration	MATCH	NCIT:C94624	Oxygen Therapy	search:Oxygen Therapy	Selected direct oxygen-therapy concept over unrelated Warburg Therapy hit.
MRD-Guided Therapy	2	genetic testing	NO_MATCH			search:MRD-Guided Therapy;search:MRD-guided therapy;search:minimal residual disease guided;search:minimal residual disease	No NCIT treatment concept found for MRD-guided strategy wording.
Biologics	2	pharmacotherapy	MATCH	NCIT:C307	Biological Agent	search:Biologics	Plural treatment category mapped to biological-agent class.
Alpelisib	2	pharmacotherapy	MATCH	NCIT:C94214	Alpelisib	search:Alpelisib	Exact label match.
Low-Dose Aspirin	2	pharmacotherapy	MATCH	NCIT:C94758	Low-Dose Aspirin	search:Low-Dose Aspirin	Exact label match.
Anagrelide	2	pharmacotherapy	MATCH	NCIT:C28825	Anagrelide	search:Anagrelide	Exact label match.
Interferon-alpha	2	pharmacotherapy	NEAR_MATCH	NCIT:C225	Recombinant Interferon Alfa	search:Interferon-alpha;info:l~Interferon-alpha;search:Interferon alpha;search:Interferon Alfa;search:Interferon	No exact punctuation variant; mapped to interferon alfa therapeutic concept.
Neoadjuvant Chemotherapy	2	chemotherapy	MATCH	NCIT:C213450	Neoadjuvant Chemotherapy	search:Neoadjuvant Chemotherapy	Exact label match.
Gemcitabine plus Cisplatin	2	chemotherapy	NO_MATCH			search:Gemcitabine plus Cisplatin;search:Gemcitabine Cisplatin;search:Gemcitabine;search:Cisplatin	No single combination concept found; component drugs exist (C66876/C376).
Gemcitabine plus Cisplatin plus Durvalumab	2	pharmacotherapy	NO_MATCH			search:Gemcitabine plus Cisplatin plus Durvalumab;search:Gemcitabine Cisplatin Durvalumab;search:Durvalumab;search:Gemcitabine;search:Cisplatin	No single triple-combination concept found; only component drugs present.
Platinum-Based Chemotherapy	2	chemotherapy	NEAR_MATCH	NCIT:C25620	Platinum-Based	search:Platinum-Based Chemotherapy;info:l~Platinum-based;search:Platinum-based;search:Platinum	No direct chemotherapy action concept; mapped to platinum-based qualifier.
Chemoprevention	2	pharmacotherapy	MATCH	NCIT:C15604	Chemoprevention	search:Chemoprevention	Exact label match.
Speech and Language Therapy	2	supportive care	NO_MATCH			search:Speech and Language Therapy;search:Speech Therapy;search:Speech Language;info:l~Speech and Language Therapy	No NCIT therapy concept found for speech-language therapy.
Trastuzumab	2	pharmacotherapy	MATCH	NCIT:C1647	Trastuzumab	search:Trastuzumab	Exact label match.
Immune Checkpoint Inhibition	2	pharmacotherapy	NEAR_MATCH	NCIT:C143250	Immune Checkpoint Inhibitor	search:Immune Checkpoint Inhibition;search:Immune Checkpoint Inhibitor;search:Checkpoint Blockade;info:l~Immune Checkpoint Inhibition	Mapped process wording to inhibitor treatment class.
Sunitinib	2	pharmacotherapy	MATCH	NCIT:C71622	Sunitinib	search:Sunitinib	Exact label match.
Definitive Chemoradiation	2	radiation therapy	NEAR_MATCH	NCIT:C94626	Chemoradiotherapy	search:Definitive Chemoradiation;search:Chemoradiation;search:Chemoradiotherapy	No definitive qualifier concept; mapped to core chemoradiotherapy action.
Risk-Reducing Mastectomy	2	surgical procedure	MATCH	NCIT:C94445	Prophylactic Mastectomy	search:Risk-Reducing Mastectomy;search:Prophylactic Mastectomy;search:Mastectomy	Mapped synonymous risk-reducing phrasing to prophylactic mastectomy.
PARP Inhibitors	2	pharmacotherapy	MATCH	NCIT:C62554	Poly (ADP-Ribose) Polymerase Inhibitor	search:PARP Inhibitors;search:PARP Inhibitor;search:Poly(ADP-ribose) Polymerase Inhibitor	Plural normalized to PARP inhibitor class.
Orthopedic management	2	physical therapy	NEAR_MATCH	NCIT:C16186	Orthopedic Surgical Procedure	search:Orthopedic management;search:Orthopedic Management;search:Orthopedic Surgical Procedure;info:l~Orthopedic management	No exact management concept; closest procedural concept selected.
Antipsychotic Medications	2	pharmacotherapy	MATCH	NCIT:C29710	Antipsychotic Agent	search:Antipsychotic Medications;search:Antipsychotic;search:Antipsychotic Agent	Plural medication phrase mapped to antipsychotic agent class.
Occupational Therapy	2	physical therapy	MATCH	NCIT:C121351	Occupational Therapy	search:Occupational Therapy	Exact label match.
Antihypertensive Therapy	2	cardiovascular agent therapy	MATCH	NCIT:C172184	Antihypertensive Therapy	search:Antihypertensive Therapy	Exact label match.
Growth hormone therapy	2	pharmacotherapy	NEAR_MATCH	NCIT:C837	Somatropin	search:Growth hormone therapy;search:Growth Hormone Therapy;search:Growth Hormone;search:Somatropin	No explicit therapy concept; mapped to growth-hormone drug concept.
Ivosidenib	2	pharmacotherapy	MATCH	NCIT:C114383	Ivosidenib	search:Ivosidenib	Exact label match.
Venetoclax plus Azacitidine	2	pharmacotherapy	NO_MATCH			search:Venetoclax plus Azacitidine;search:Venetoclax;search:Azacitidine;search:Venetoclax Azacitidine	No single combination concept found; component drug concepts exist (C103147/C288).
Aspirin	2	cardiovascular agent therapy	MATCH	NCIT:C287	Aspirin	search:Aspirin	Exact label match.
Cleft Palate Repair	2	surgical procedure	NEAR_MATCH	NCIT:C168380	Palatorrhaphy	search:Cleft Palate Repair	Mapped to specific cleft-palate repair procedure (palatorrhaphy).
Dietary modification	2	dietary intervention	MATCH	NCIT:C15447	Dietary Intervention	search:Dietary modification;search:Dietary Modification;search:Dietary Intervention;search:Diet Modification	Equivalent intervention concept found.
Dostarlimab	2	pharmacotherapy	MATCH	NCIT:C126799	Dostarlimab	search:Dostarlimab	Exact label match.
Medical Formula	2	dietary intervention	NO_MATCH			search:Medical Formula;search:Medical Food;search:Formula;info:l~Medical Formula	No suitable NCIT treatment concept; only generic formula term returned.
Metformin	2	pharmacotherapy	MATCH	NCIT:C61612	Metformin	search:Metformin	Exact label match.
Craniospinal Irradiation	2	radiation therapy	MATCH	NCIT:C116437	Craniospinal Irradiation	search:Craniospinal Irradiation	Exact label match.
Azathioprine	2	immune suppressant agent therapy	MATCH	NCIT:C290	Azathioprine	search:Azathioprine	Exact label match.
MEK Inhibitors	2	pharmacotherapy	MATCH	NCIT:C69145	Mitogen-Activated Protein Kinase Kinase Inhibitor	search:MEK Inhibitors;search:MEK Inhibitor;info:l~Mitogen-Activated Protein Kinase Kinase Inhibitor	Plural normalized to MEK inhibitor class concept.
Entrectinib	2	pharmacotherapy	MATCH	NCIT:C114984	Entrectinib	search:Entrectinib	Exact label match.
Repotrectinib	2	pharmacotherapy	MATCH	NCIT:C133821	Repotrectinib	search:Repotrectinib	Exact label match.
Inebilizumab	2	pharmacotherapy	MATCH	NCIT:C88283	Inebilizumab	search:Inebilizumab	Exact label match.
Satralizumab	2	pharmacotherapy	MATCH	NCIT:C152307	Satralizumab	search:Satralizumab	Exact label match.
Lifestyle Modification	2	dietary intervention	NEAR_MATCH	NCIT:C15900	Lifestyle Therapy	search:Lifestyle Modification;search:Lifestyle Therapy;info:l~Lifestyle Modification	Mapped modification phrasing to closest intervention concept.
GLP-1 Receptor Agonists	2	pharmacotherapy	NEAR_MATCH	NCIT:C98085	GLP-1 Mimetics	search:GLP-1 Receptor Agonists;search:GLP-1 Receptor Agonist;search:Glucagon-Like Peptide 1 Receptor Agonist	Mapped class wording to GLP-1 mimetics concept.
GLP-1/GIP Dual Agonists	2	pharmacotherapy	NO_MATCH			search:GLP-1/GIP Dual Agonists;search:GLP-1 GIP dual agonist;search:Glucagon-like peptide-1 receptor and gastric inhibitory polypeptide receptor agonist;search:tirzepatide	No single NCIT class concept identified for dual GLP-1/GIP agonists in this release.
Ruxolitinib	2	pharmacotherapy	MATCH	NCIT:C77888	Ruxolitinib	search:Ruxolitinib	Exact label match.
Immunosuppressive Therapy	2	pharmacotherapy	MATCH	NCIT:C15261	Immunosuppressive Therapy	search:Immunosuppressive Therapy	Exact label match.
Enucleation	2	surgical procedure	MATCH	NCIT:C48601	Enucleation	search:Enucleation	Exact label match.
Corticosteroid Therapy	2	corticosteroid agent therapy	NEAR_MATCH	NCIT:C122080	Systemic Corticosteroid Therapy	search:Corticosteroid Therapy;info:l~Corticosteroid Therapy;search:Systemic Corticosteroid Therapy	No generic corticosteroid-therapy class returned; mapped to systemic corticosteroid therapy.
Antibiotic therapy	2	pharmacotherapy	MATCH	NCIT:C15620	Antibiotic Therapy	propagated_case_variant_from:Antibiotic Therapy	Case/format variant of an already manually curated label.
Oral rehydration therapy	2	supportive care	NO_MATCH			search:Oral rehydration therapy;search:Oral Rehydration Therapy;search:Oral Rehydration Solution;info:l~Oral rehydration therapy	No NCIT treatment concept found for oral rehydration therapy wording.
Benzodiazepines	2	pharmacotherapy	MATCH	NCIT:C1012	Benzodiazepine	search:Benzodiazepines;search:Benzodiazepine;info:l~Benzodiazepines	Plural normalized to singular class concept.
Insulin Therapy	2	pharmacotherapy	NEAR_MATCH	NCIT:C581	Therapeutic Insulin	search:Insulin Therapy;search:Insulin;info:l~Insulin Therapy	Mapped therapy wording to therapeutic-insulin class.
Calcium and vitamin D supplementation	1	dietary intervention	NEAR_MATCH	NCIT:C210732	Vitamin Supplement	search:Calcium and vitamin D supplementation;search:Calcium supplementation;search:Vitamin Supplement;search:Calcium and vitamin D;info:l~Calcium and vitamin D supplementation	No combined calcium+vitamin D supplementation concept; mapped to vitamin supplement class.
Thymus transplantation	1	organ transplantation	NO_MATCH			search:Thymus transplantation;search:Thymus Transplantation;search:Thymus transplant;search:Thymic transplantation;info:l~Thymus transplantation	No NCIT transplantation concept identified for thymus transplantation.
Speech therapy	1	speech therapy	NO_MATCH			propagated_case_variant_from:Speech Therapy	Case/format variant of an already manually curated label.
Alectinib	1	pharmacotherapy	MATCH	NCIT:C101790	Alectinib	search:Alectinib	Exact label match.
Brigatinib	1	pharmacotherapy	MATCH	NCIT:C98831	Brigatinib	search:Brigatinib	Exact label match.
All-Trans Retinoic Acid (ATRA)	1	pharmacotherapy	MATCH	NCIT:C900	Tretinoin	search:All-Trans Retinoic Acid (ATRA);search:All-Trans Retinoic Acid;search:ATRA;search:Tretinoin;info:l~All-Trans Retinoic Acid (ATRA)	ATRA maps to tretinoin concept.
Arsenic Trioxide (ATO)	1	pharmacotherapy	MATCH	NCIT:C1005	Arsenic Trioxide	search:Arsenic Trioxide (ATO);search:Arsenic Trioxide;search:ATO;info:l~Arsenic Trioxide (ATO)	Exact compound concept found.
ATRA plus Arsenic Trioxide Combination	1	pharmacotherapy	NO_MATCH			search:ATRA plus Arsenic Trioxide Combination;search:ATRA arsenic trioxide;search:tretinoin arsenic trioxide;info:l~ATRA plus Arsenic Trioxide Combination	No single combination concept found; component drugs map (C900/C1005).
Chemotherapy-Based Regimens	1	chemotherapy	NEAR_MATCH	NCIT:C15632	Chemotherapy	search:Chemotherapy-Based Regimens;search:Chemotherapy regimen;search:Chemotherapy;info:l~Chemotherapy-Based Regimens	Mapped generic regimen wording to core chemotherapy concept.
Supportive Care for Coagulopathy	1	supportive care	NEAR_MATCH	NCIT:C15747	Supportive Care	search:Supportive Care for Coagulopathy;info:l~Supportive Care for Coagulopathy;search:Supportive Care;search:Coagulopathy	Condition-qualified phrase mapped to supportive care action concept.
Tafamidis	1	pharmacotherapy	MATCH	NCIT:C84193	Tafamidis	search:Tafamidis	Exact label match.
Patisiran	1	pharmacotherapy	MATCH	NCIT:C116792	Patisiran	search:Patisiran	Exact label match.
Inotersen	1	pharmacotherapy	MATCH	NCIT:C121667	Inotersen	search:Inotersen	Exact label match.
Heart Transplant	1	organ transplantation	MATCH	NCIT:C15246	Heart Transplantation	search:Heart Transplant	Synonym maps to heart transplantation.
Vosoritide (Voxzogo)	1	pharmacotherapy	MATCH	NCIT:C152918	Vosoritide	search:Vosoritide (Voxzogo);search:Vosoritide;search:Voxzogo;info:l~Vosoritide (Voxzogo)	Brand/generic pair resolved to vosoritide concept.
Surgical limb lengthening	1	surgical procedure	NO_MATCH			search:Surgical limb lengthening;search:Limb Lengthening;search:Limb Lengthening Procedure;search:Surgical Lengthening;info:l~Surgical limb lengthening	No NCIT concept identified for limb-lengthening surgery phrasing.
Foramen magnum decompression	1	surgical procedure	NEAR_MATCH	NCIT:C21061	Laminectomy	search:Foramen magnum decompression;search:Foramen Magnum Decompression;search:Posterior Fossa Decompression;search:Decompression Surgery;info:l~Foramen magnum decompression	No exact concept found; closest decompressive surgical concept returned was laminectomy.
Management of spinal stenosis	1	surgical procedure	NEAR_MATCH	NCIT:C21061	Laminectomy	search:Management of spinal stenosis;search:Spinal Stenosis Management;search:Spinal Decompression;search:Spinal Stenosis;info:l~Management of spinal stenosis	Management phrase mapped to common decompressive procedure concept.
Sunglasses	1	supportive care	MATCH	NCIT:C211881	Sunglasses	search:Sunglasses	Exact label match.
Topical retinoids	1	retinoid agent therapy	NEAR_MATCH	NCIT:C68299	Retinoid	search:Topical retinoids;search:Topical Retinoid;search:Retinoid;search:Topical Tretinoin;info:l~Topical retinoids	Topical qualifier not directly represented; mapped to retinoid class.
Trifarotene	1	retinoid agent therapy	MATCH	NCIT:C118577	Trifarotene	search:Trifarotene	Exact label match.
Benzoyl peroxide	1	antimicrobial agent therapy	MATCH	NCIT:C47411	Benzoyl Peroxide	search:Benzoyl peroxide;info:l~Benzoyl peroxide;search:Benzoyl Peroxide	Exact compound concept found.
