disorder_slug	search_name	pmid	title	journal	pub_year	pubdate	doi	publication_types	guideline_count_for_disorder
Takayasu_Arteritis	Takayasu Arteritis	38326041	[Chinese guideline for the diagnosis and treatment of Takayasu's arteritis(2023)]	Zhonghua Nei Ke Za Zhi	2024	2024 Feb 1	10.3760/cma.j.cn112138-20231108-00304	English Abstract; Journal Article; Practice Guideline	7
Takayasu_Arteritis	Takayasu Arteritis	37550004	EULAR recommendations for the use of imaging in large vessel vasculitis in clinical practice: 2023 update	Ann Rheum Dis	2024	2024 May 15	10.1136/ard-2023-224543	Journal Article; Practice Guideline; Systematic Review	7
Takayasu_Arteritis	Takayasu Arteritis	34235884	2021 American College of Rheumatology/Vasculitis Foundation Guideline for the Management of Giant Cell Arteritis and Takayasu Arteritis	Arthritis Rheumatol	2021	2021 Aug	10.1002/art.41774	Journal Article; Practice Guideline; Research Support, Non-U.S. Gov't; Systematic Review	7
Takayasu_Arteritis	Takayasu Arteritis	34235871	2021 American College of Rheumatology/Vasculitis Foundation Guideline for the Management of Giant Cell Arteritis and Takayasu Arteritis	Arthritis Care Res (Hoboken)	2021	2021 Aug	10.1002/acr.24632	Journal Article; Practice Guideline; Research Support, Non-U.S. Gov't; Systematic Review	7
Takayasu_Arteritis	Takayasu Arteritis	31270110	2018 Update of the EULAR recommendations for the management of large vessel vasculitis	Ann Rheum Dis	2020	2020 Jan	10.1136/annrheumdis-2019-215672	Consensus Statement; Journal Article; Practice Guideline	7
Peutz_Jeghers_Syndrome	Peutz-Jeghers syndrome	39689429	Genetic/Familial High-Risk Assessment: Colorectal, Endometrial, and Gastric, Version 3.2024, NCCN Clinical Practice Guidelines In Oncology	J Natl Compr Canc Netw	2024	2024 Dec	10.6004/jnccn.2024.0061	Journal Article; Practice Guideline	5
Peutz_Jeghers_Syndrome	Peutz-Jeghers syndrome	39545885	AGA Clinical Practice Update on Nonampullary Duodenal Lesions: Expert Review	Gastroenterology	2025	2025 Jan	10.1053/j.gastro.2024.10.008	Journal Article; Practice Guideline; Review	5
Peutz_Jeghers_Syndrome	Peutz-Jeghers syndrome	35487765	Diagnosis and management of cancer risk in the gastrointestinal hamartomatous polyposis syndromes: recommendations from the U.S. Multi-Society Task Force on Colorectal Cancer	Gastrointest Endosc	2022	2022 Jun	10.1016/j.gie.2022.02.044	Practice Guideline; Journal Article	5
Peutz_Jeghers_Syndrome	Peutz-Jeghers syndrome	31780574	Guidelines for the management of hereditary colorectal cancer from the British Society of Gastroenterology (BSG)/Association of Coloproctology of Great Britain and Ireland (ACPGBI)/United Kingdom Cancer Genetics Group (UKCGG)	Gut	2020	2020 Mar	10.1136/gutjnl-2019-319915	Journal Article; Practice Guideline; Research Support, Non-U.S. Gov't	5
Peutz_Jeghers_Syndrome	Peutz-Jeghers syndrome	31764758	Hereditary Cancer Syndromes and Risk Assessment: ACOG COMMITTEE OPINION, Number 793	Obstet Gynecol	2019	2019 Dec	10.1097/AOG.0000000000003562	Consensus Statement; Journal Article; Practice Guideline	5
Gaucher_Disease	Gaucher Disease	39499245	Biomarker testing for lysosomal diseases: A technical standard of the American College of Medical Genetics and Genomics (ACMG)	Genet Med	2025	2025 Jan	10.1016/j.gim.2024.101242	Journal Article; Practice Guideline	4
Gaucher_Disease	Gaucher Disease	36544230	Patient centered guidelines for the laboratory diagnosis of Gaucher disease type 1	Orphanet J Rare Dis	2022	2022 Dec 21	10.1186/s13023-022-02573-6	Journal Article; Practice Guideline	4
Gaucher_Disease	Gaucher Disease	36436966	ACR Appropriateness Criteria® Osteonecrosis: 2022 Update	J Am Coll Radiol	2022	2022 Nov	10.1016/j.jacr.2022.09.009	Practice Guideline; Journal Article	4
Gaucher_Disease	Gaucher Disease	30414226	Presenting signs and patient co-variables in Gaucher disease: outcome of the Gaucher Earlier Diagnosis Consensus (GED-C) Delphi initiative	Intern Med J	2019	2019 May	10.1111/imj.14156	Journal Article; Practice Guideline; Review	4
Hemophilia_B	Hemophilia B	41087175	[Chinese guidelines on the treatment of hemophilia (2025)]	Zhonghua Xue Ye Xue Za Zhi	2025	2025 Aug 14	10.3760/cma.j.cn121090-20250729-00354	English Abstract; Journal Article; Practice Guideline	4
Hemophilia_B	Hemophilia B	39043543	International Society on Thrombosis and Haemostasis clinical practice guideline for treatment of congenital hemophilia A and B based on the Grading of Recommendations Assessment, Development, and Evaluation methodology	J Thromb Haemost	2024	2024 Sep	10.1016/j.jtha.2024.05.026	Practice Guideline; Review; Journal Article	4
Hemophilia_B	Hemophilia B	38908829	ISTH clinical practice guideline for treatment of congenital hemophilia A and B based on the Grading of Recommendations Assessment, Development, and Evaluation methodology: considerations for practice management and implementation	J Thromb Haemost	2024	2024 Sep	10.1016/j.jtha.2024.06.002	Journal Article; Practice Guideline	4
Hemophilia_B	Hemophilia B	29119666	Estimating and interpreting the pharmacokinetic profiles of individual patients with hemophilia A or B using a population pharmacokinetic approach: communication from the SSC of the ISTH	J Thromb Haemost	2017	2017 Dec	10.1111/jth.13867	Journal Article; Practice Guideline	4
Pompe_Disease	Pompe Disease	41453611	Recommendations for the diagnosis, treatment, and follow-up of late-onset Pompe disease	Neurologia (Engl Ed)	2026	2026 Mar	10.1016/j.nrleng.2025.501933	Journal Article; Review; Practice Guideline	4
Pompe_Disease	Pompe Disease	39499245	Biomarker testing for lysosomal diseases: A technical standard of the American College of Medical Genetics and Genomics (ACMG)	Genet Med	2025	2025 Jan	10.1016/j.gim.2024.101242	Journal Article; Practice Guideline	4
Pompe_Disease	Pompe Disease	38873957	Start, switch and stop (triple-S) criteria for enzyme replacement therapy of late-onset Pompe disease: European Pompe Consortium recommendation update 2024	Eur J Neurol	2024	2024 Sep	10.1111/ene.16383	Journal Article; Practice Guideline	4
Pompe_Disease	Pompe Disease	27600742	[Clinical guidelines for infantile-onset Pompe disease]	Rev Neurol	2016	2016 Sep 16		Journal Article; Practice Guideline	4
Friedreich_Ataxia	Friedreich ataxia	35500790	2022 HRS expert consensus statement on evaluation and management of arrhythmic risk in neuromuscular disorders	Heart Rhythm	2022	2022 Oct	10.1016/j.hrthm.2022.04.022	Practice Guideline; Journal Article; Consensus Statement	3
Friedreich_Ataxia	Friedreich ataxia	29440566	Comprehensive systematic review summary: Treatment of cerebellar motor dysfunction and ataxia [RETIRED]: Report of the Guideline Development, Dissemination, and Implementation Subcommittee of the American Academy of Neurology	Neurology	2018	2018 Mar 6	10.1212/WNL.0000000000005055	Journal Article; Practice Guideline; Research Support, Non-U.S. Gov't; Systematic Review	3
Friedreich_Ataxia	Friedreich ataxia	28838934	Management of Cardiac Involvement Associated With Neuromuscular Diseases: A Scientific Statement From the American Heart Association	Circulation	2017	2017 Sep 26	10.1161/CIR.0000000000000526	Journal Article; Practice Guideline	3
Phenylketonuria	phenylketonuria	40378670	European guidelines on diagnosis and treatment of phenylketonuria: First revision	Mol Genet Metab	2025	2025 Jun	10.1016/j.ymgme.2025.109125	Journal Article; Practice Guideline; Review	3
Phenylketonuria	phenylketonuria	37470789	Phenylalanine hydroxylase deficiency treatment and management: A systematic evidence review of the American College of Medical Genetics and Genomics (ACMG)	Genet Med	2023	2023 Sep	10.1016/j.gim.2022.12.005	Systematic Review; Practice Guideline; Journal Article	3
Phenylketonuria	phenylketonuria	37349772	Nutrition management of PKU with pegvaliase therapy: update of the web-based PKU nutrition management guideline recommendations	Orphanet J Rare Dis	2023	2023 Jun 22	10.1186/s13023-023-02751-0	Journal Article; Practice Guideline; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.	3
