mondo_id	disease_name	linking_pages_count	linking_pages
MONDO:0032714	facial dysmorphism, hypertrichosis, epilepsy, intellectual/developmental delay, and gingival overgrowth syndrome	2	Temple-Baraitser Syndrome; Zimmermann-Laband Syndrome
MONDO:0024573	familial hypertrophic cardiomyopathy	2	Hypertrophic Cardiomyopathy 21; KLHL24-Related Hypertrophic Cardiomyopathy
MONDO:0015696	Good syndrome	2	Autosomal Agammaglobulinemia; Thymoma
MONDO:0008585	HELLP syndrome	2	Acquired Thrombotic Thrombocytopenic Purpura; Antiphospholipid Syndrome
MONDO:0001521	intermittent explosive disorder	2	Conduct Disorder; Oppositional Defiant Disorder
MONDO:0004351	intraocular lymphoma	2	Choroiditis; Pars Planitis
MONDO:0016971	limb-girdle muscular dystrophy	2	Glycogen Storage Disease XV; Myofibrillar Myopathy
MONDO:0020326	lymphomatoid papulosis	2	Acute Lichenoid Pityriasis; Rosacea
MONDO:0017771	Mayer-Rokitansky-Kuster-Hauser syndrome	2	46,XX Gonadal Dysgenesis; 46,XY complete gonadal dysgenesis
MONDO:0100000	MED12-related intellectual disability syndrome	2	MED13 Syndrome; MED13L Syndrome
MONDO:0011240	megalencephaly-capillary malformation-polymicrogyria syndrome	2	Houge-Janssens Syndrome; Microcephaly-Capillary Malformation Syndrome
MONDO:0024553	MLASA1 (PUS1-related)	2	PUS3-Related Neurodevelopmental Disorder; PUS7-Related Neurodevelopmental Disorder
MONDO:0018979	multifocal motor neuropathy	2	Amyotrophic Lateral Sclerosis; Progressive Muscular Atrophy
MONDO:0005140	ovarian carcinoma	2	Lynch Syndrome; Malignant Germ Cell Tumor of Ovary
MONDO:0008907	PMM2-congenital disorder of glycosylation	2	DK1-congenital disorder of glycosylation; MPI-congenital disorder of glycosylation
MONDO:0006946	renal osteodystrophy	2	CKD-Mineral Bone Disorder; Parathyroid Hyperplasia
MONDO:0009669	spinal muscular atrophy, type 1	2	Spinal Muscular Atrophy with Respiratory Distress Type 1; SPTBN4-Related Neurodevelopmental Disorder
MONDO:0019354	Stickler syndrome	2	Ayme-Gripp syndrome; Stickler Syndrome Type 1
MONDO:0002494	substance-related disorder	2	Attention Deficit-Hyperactivity Disorder; Post-Traumatic Stress Disorder
MONDO:0013189	trichotillomania	2	Body Dysmorphic Disorder; Obsessive-Compulsive Disorder
MONDO:0018071	trisomy 18	2	Chromosome 18q Deletion Syndrome; Meckel Syndrome
MONDO:0008039	tropical spastic paraparesis	2	Konzo; Lathyrism
MONDO:0018882	vasculitis	2	Malignant Atrophic Papulosis; Thromboangiitis obliterans
MONDO:0100471	vitamin D deficiency	2	Cadmium Poisoning; Hashimoto's Thyroiditis
MONDO:0024526	Zimmermann-Laband syndrome 1	2	KCNH1 Associated Disorder; Zimmermann-Laband Syndrome
MONDO:0016835	14q11.2 microduplication syndrome	1	CHD8-Related Neurodevelopmental Disorder with Overgrowth
MONDO:0012774	15q13.3 microdeletion syndrome (the OTUD7A-containing interval)	1	OTUD6B-Related Neurodevelopmental Disorder
MONDO:0013875	3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome	1	Sengers syndrome
MONDO:0014520	46,XX ovarian dysgenesis-short stature syndrome	1	MCM9-related gametogenic failure
MONDO:0016281	46,XX ovotesticular disorder of sex development	1	46,XX testicular disorder of sex development
MONDO:0030049	46,xx sex reversal 5	1	46,XX testicular disorder of sex development
MONDO:0013410	46,XY sex reversal 6	1	PPP2R3C-Related Gonadal Dysgenesis Syndrome
MONDO:0800406	ABCA4-related retinopathy	1	Stargardt Disease
MONDO:0008306	ABri amyloidosis	1	ADan amyloidosis
MONDO:0002473	acquired cystic kidney disease	1	Polycystic Kidney Disease
MONDO:0060779	acquired Fanconi syndrome	1	Cadmium Poisoning
MONDO:0019933	acromegaly	1	Diabetes mellitus
MONDO:0008703	acromesomelic dysplasia 2A	1	Acromesomelic Dysplasia Maroteaux Type
MONDO:0009231	acromesomelic dysplasia 2B	1	Acromesomelic Dysplasia Maroteaux Type
MONDO:0008717	acromesomelic dysplasia 2C, Hunter-Thompson type	1	Acromesomelic Dysplasia Maroteaux Type
MONDO:0005173	actinic keratosis	1	Porokeratosis
MONDO:0005229	acute bacterial sepsis	1	Leptospirosis
MONDO:0020322	acute biphenotypic leukemia	1	Mixed Phenotype Acute Leukemia
MONDO:0020347	acute inflammatory demyelinating polyradiculoneuropathy	1	Acute Motor and Sensory Axonal Neuropathy
MONDO:0010643	acute leukemia	1	Lane Hamilton Syndrome
MONDO:0019460	acute leukemia of ambiguous lineage	1	Mixed Phenotype Acute Leukemia
MONDO:0020349	acute motor axonal neuropathy	1	Acute Motor and Sensory Axonal Neuropathy
MONDO:0001051	acute otitis externa	1	Otomycosis
MONDO:0019455	acute panmyelosis with myelofibrosis	1	Acute Megakaryoblastic Leukemia
MONDO:0850107	acute post-infectious cerebellar ataxia	1	CAPOS Syndrome
MONDO:0003763	acute stress disorder	1	Post-Traumatic Stress Disorder
MONDO:0015342	acute transverse myelitis	1	Acute Flaccid Myelitis
MONDO:0020321	acute undifferentiated leukemia	1	Mixed Phenotype Acute Leukemia
MONDO:0017298	acute zonal occult outer retinopathy	1	Acute Annular Outer Retinopathy
MONDO:0014119	ADAT3-related intellectual disability-strabismus syndrome	1	PUS7-Related Neurodevelopmental Disorder
MONDO:0003265	adjustment disorder	1	Post-Traumatic Stress Disorder
MONDO:0006639	adrenal cortex carcinoma	1	Adrenal Cortex Adenoma
MONDO:0019801	Adrenal Crisis	1	Chronic Primary Adrenal Insufficiency
MONDO:0006075	adrenal gland myelolipoma	1	Adrenal Cortex Adenoma
MONDO:0000004	adrenocortical insufficiency	1	Hyperinsulinemic Hypoglycemia
MONDO:0859206	AFG2B-related neurodevelopmental disorder	1	AFG2A-Related Encephalopathy
MONDO:0800146	agammaglobulinemia, autosomal recessive, due to BOB1 deficiency	1	Autosomal Agammaglobulinemia
MONDO:0016861	Alagille syndrome due to 20p12 microdeletion	1	Alagille syndrome
MONDO:0016862	Alagille syndrome due to a JAG1 point mutation	1	Alagille syndrome
MONDO:0012439	Alagille syndrome due to a NOTCH2 point mutation	1	Alagille syndrome
MONDO:0006643	alcoholic cardiomyopathy	1	Dilated Cardiomyopathy 1AA
MONDO:0100160	alcoholic ketoacidosis	1	Refeeding Syndrome
MONDO:0015243	Allergic Bronchopulmonary Aspergillosis	1	Cystic Fibrosis
MONDO:0030009	Alopecia with intellectual disability syndrome 4	1	Bachmann-Bupp Syndrome
MONDO:0010519	alpha thalassemia-X-linked intellectual disability syndrome	1	PPM-X Syndrome
MONDO:0017282	alveolar echinococcosis	1	Polycystic echinococcosis
MONDO:0005644	amebiasis	1	Giardiasis
MONDO:0019028	Amoebiasis due to Entamoeba histolytica	1	Dientamoebiasis
MONDO:0002322	angiodysplasia	1	Dieulafoy Lesion
MONDO:0006646	angioleiomyoma	1	Glomus Tumor
MONDO:0008803	Antley-Bixler syndrome	1	Larsen-like Syndrome B3GAT3 Type
MONDO:0024559	aortic aneurysm, familial thoracic 1	1	Familial Thoracic Aortic Aneurysm and Aortic Dissection
MONDO:0014950	aortic aneurysm, familial thoracic 10	1	Familial Thoracic Aortic Aneurysm and Aortic Dissection
MONDO:0030731	aortic aneurysm, familial thoracic 12	1	Familial Thoracic Aortic Aneurysm and Aortic Dissection
MONDO:0011770	aortic aneurysm, familial thoracic 2	1	Familial Thoracic Aortic Aneurysm and Aortic Dissection
MONDO:0007568	aortic aneurysm, familial thoracic 4	1	Familial Thoracic Aortic Aneurysm and Aortic Dissection
MONDO:0012730	aortic aneurysm, familial thoracic 6	1	Familial Thoracic Aortic Aneurysm and Aortic Dissection
MONDO:0013418	aortic aneurysm, familial thoracic 7	1	Familial Thoracic Aortic Aneurysm and Aortic Dissection
MONDO:0014187	aortic aneurysm, familial thoracic 8	1	Familial Thoracic Aortic Aneurysm and Aortic Dissection
MONDO:0014514	aortic aneurysm, familial thoracic 9	1	Familial Thoracic Aortic Aneurysm and Aortic Dissection
MONDO:0032823	AP2M1-related intellectual developmental disorder with seizures	1	Cardiofacioneurodevelopmental Syndrome
MONDO:0968978	aplasia cutis-enamel dysplasia syndrome	1	Adams-Oliver Syndrome
MONDO:0005649	appendicitis	1	Clostridioides difficile Infection
MONDO:1040065	ARL6-related ciliopathy	1	BBSome-related retinitis pigmentosa
MONDO:0007152	arrhythmogenic right ventricular dysplasia 1	1	Rienhoff Syndrome
MONDO:0012434	arrhythmogenic right ventricular dysplasia 10	1	arrhythmogenic right ventricular cardiomyopathy
MONDO:0012506	arrhythmogenic right ventricular dysplasia 11	1	arrhythmogenic right ventricular cardiomyopathy
MONDO:0011459	arrhythmogenic right ventricular dysplasia 5	1	arrhythmogenic right ventricular cardiomyopathy
MONDO:0008822	arthrogryposis, renal dysfunction, and cholestasis 1	1	Arthrogryposis-Renal Dysfunction-Cholestasis Syndrome
MONDO:0013255	arthrogryposis, renal dysfunction, and cholestasis 2	1	Arthrogryposis-Renal Dysfunction-Cholestasis Syndrome
MONDO:0014557	ataxia - oculomotor apraxia type 4	1	ADPRS-Related Stress-Induced Neurodegeneration
MONDO:0005310	atrial flutter	1	Atrial Fibrillation
MONDO:0005659	Atrophic rhinitis	1	Empty Nose Syndrome
MONDO:0016362	attenuated familial adenomatous polyposis	1	Classic Familial Adenomatous Polyposis
MONDO:0002684	atypical choroid plexus papilloma	1	Choroid Plexus Neoplasm
MONDO:0006096	atypical endometrial hyperplasia	1	Endometrial Carcinoma
MONDO:0007420	autosomal dominant deafness - onychodystrophy syndrome	1	Zimmermann-Laband Syndrome
MONDO:0007524	autosomal dominant Ehlers-Danlos syndrome, vascular type	1	Vascular Ehlers-Danlos Syndrome
MONDO:0008660	autosomal dominant hypophosphatemic rickets	1	X-Linked Hypophosphatemia
MONDO:0012733	autosomal recessive bestrophinopathy	1	BEST1-Related Dominant Retinopathy
MONDO:0019333	autosomal recessive hyperinsulinism due to SUR1 deficiency	1	ABCC9-Related Intellectual Disability and Myopathy Syndrome
MONDO:0017324	autosomal recessive hypophosphatemic rickets	1	X-Linked Hypophosphatemia
MONDO:0014710	autosomal recessive Mendelian susceptibility to mycobacterial diseases due to complete RORgamma receptor deficiency	1	Chronic Mucocutaneous Candidiasis
MONDO:0012243	B-cell immunodeficiency, distal limb anomalies, and urogenital malformations	1	Autosomal Agammaglobulinemia
MONDO:0019461	B-cell prolymphocytic leukemia	1	Mantle Cell Lymphoma
MONDO:0044308	bardet-biedl syndrome 21	1	CFAP418-related retinal ciliopathy
MONDO:0013662	Barrett esophagus	1	Esophageal Adenocarcinoma
MONDO:1040043	BBS1-related ciliopathy	1	BBSome-related retinitis pigmentosa
MONDO:1040048	BBS2-related ciliopathy	1	BBSome-related retinitis pigmentosa
MONDO:0700236	BBS9-related ciliopathy	1	BBSome-related retinitis pigmentosa
MONDO:8000018	benign paroxysmal positional vertigo	1	Semicircular Canal Dehiscence Syndrome
MONDO:0019008	benign recurrent intrahepatic cholestasis	1	Progressive Familial Intrahepatic Cholestasis
MONDO:0003448	benign spiradenoma	1	Glomus Tumor
MONDO:0007931	Best vitelliform macular dystrophy	1	Hypotrichosis with Juvenile Macular Dystrophy
MONDO:0009863	BH4-deficient hyperphenylalaninemia A	1	Phenylketonuria
MONDO:0020340	bilateral perisylvian polymicrogyria	1	Severe Neonatal-Onset Encephalopathy With Microcephaly
MONDO:0011599	birdshot chorioretinopathy	1	Pars Planitis
MONDO:0019467	blastic plasmacytoid dendritic cell neoplasm	1	Mixed Phenotype Acute Leukemia
MONDO:0005671	Blastocystis infectious disease	1	Dientamoebiasis
MONDO:0005382	bone Paget disease	1	Morgagni-Stewart-Morel Syndrome
MONDO:0020761	Bowen disease of the skin	1	Porokeratosis
MONDO:0060596	BPTF-related neurodevelopmental disorder (NEDDFL)	1	OTUD6B-Related Neurodevelopmental Disorder
MONDO:0021211	brain neoplasm	1	pseudotumor cerebri
MONDO:0006686	brain stem infarction	1	Progressive Bulbar Palsy
MONDO:0024537	Brown-Vialetto-van Laere syndrome 1	1	Madras Motor Neuron Disease
MONDO:0030606	Bryant-Li-Bhoj neurodevelopmental syndrome 1	1	Bryant-Li-Bhoj Neurodevelopmental Syndrome 2
MONDO:0010306	Cabezas syndrome	1	Chung-Jansen Syndrome
MONDO:0009406	Cantu syndrome	1	ABCC9-Related Intellectual Disability and Myopathy Syndrome
MONDO:0001707	cardiac sarcoidosis	1	arrhythmogenic right ventricular cardiomyopathy
MONDO:0015285	Carney complex	1	Familial Nonmedullary Thyroid Carcinoma
MONDO:0009595	cartilage-hair hypoplasia	1	Anauxetic dysplasia
MONDO:0017993	cerebral sinovenous thrombosis	1	pseudotumor cerebri
MONDO:0100627	CFTR-related metabolic syndrome	1	Cystic Fibrosis
MONDO:0012231	Charcot-Marie-Tooth disease type 2A2	1	MSTO1-Related Mitochondrial Myopathy
MONDO:0010549	Charcot-Marie-Tooth disease X-linked dominant 1	1	CLCN2-Related Leukoencephalopathy
MONDO:0010699	Charcot-Marie-Tooth disease X-linked recessive 5	1	Arts syndrome
MONDO:0010621	CHILD syndrome	1	MSMO1 Deficiency
MONDO:0010557	choroideremia	1	Choroideremia-Deafness-Obesity Syndrome
MONDO:0012830	chromosome 10q23 deletion syndrome	1	WAPL-Related Developmental Disorder
MONDO:0011929	chromosome 1p36 deletion syndrome	1	MED13L Syndrome
MONDO:0015687	chronic eosinophilic leukemia	1	Hypereosinophilic syndrome
MONDO:0003864	chronic lymphocytic leukemia/small lymphocytic lymphoma	1	Heavy Chain Disease
MONDO:0006031	Chronic rhinosinusitis	1	Empty Nose Syndrome
MONDO:0009528	chylomicron retention disease	1	Abetalipoproteinemia
MONDO:0024379	circadian rhythm sleep disorder, irregular sleep wake type	1	Advanced Sleep Phase Syndrome
MONDO:0024382	circadian rhythm sleep disorder, shift work type	1	Advanced Sleep Phase Syndrome
MONDO:0010441	CK syndrome	1	MSMO1 Deficiency
MONDO:0018625	classic stiff person syndrome	1	Satoyoshi Syndrome
MONDO:0012400	CNTNAP2-related cortical dysplasia-focal epilepsy syndrome	1	SNIP1-Related Neurodevelopmental Disorder
MONDO:0014290	COASY protein-associated neurodegeneration	1	pantothenate kinase-associated neurodegeneration
MONDO:0032791	Coffin-Siris syndrome 10	1	SOX11-Related Neurodevelopmental Disorder
MONDO:0013811	Combined oxidative phosphorylation defect type 9	1	MRPL44 Deficiency
MONDO:0016785	complete hydatidiform mole	1	Choriocarcinoma
MONDO:0019369	complex regional pain syndrome	1	erythromelalgia
MONDO:0013786	cone-rod dystrophy 16	1	CFAP418-related retinal ciliopathy
MONDO:0007363	congenital contractural arachnodactyly	1	Rienhoff Syndrome
MONDO:0022825	congenital cystic eye	1	Isolated Anophthalmia-Microphthalmia Syndrome
MONDO:0020337	congenital dyserythropoietic anemia type 1	1	VPS4A-Related Neurodevelopmental Syndrome
MONDO:0009134	congenital dyserythropoietic anemia type 2	1	VPS4A-Related Neurodevelopmental Syndrome
MONDO:0009711	congenital fiber-type disproportion myopathy	1	SPTBN4-Related Neurodevelopmental Disorder
MONDO:0007878	congenital laryngomalacia	1	Laryngotracheoesophageal Cleft
MONDO:0007536	congenital lobar emphysema	1	Congenital Diaphragmatic Hernia
MONDO:0017705	congenital pulmonary venous return anomaly	1	Scimitar Syndrome
MONDO:0017361	congenital rubella syndrome	1	Isolated Anophthalmia-Microphthalmia Syndrome
MONDO:0006172	conjunctival nevus	1	Ocular Melanoma
MONDO:0020937	contractures, pterygia, and variable skeletal fusions syndrome	1	Autosomal Recessive Multiple Pterygium Syndrome
MONDO:0002104	conversion disorder	1	Paroxysmal Dyskinesia
MONDO:0022308	corticobasal degeneration disorder	1	Amyotrophic Lateral Sclerosis-Parkinsonism-Dementia Complex
MONDO:0018969	craniorachischisis	1	Anencephaly
MONDO:0001957	critical illness polyneuropathy	1	Acute Motor and Sensory Axonal Neuropathy
MONDO:0009049	Cushing syndrome due to macronodular adrenal hyperplasia	1	Adrenal Cortex Adenoma
MONDO:0019509	cutaneous leukocytoclastic angiitis	1	Sweet Syndrome
MONDO:0009072	Dandy-Walker syndrome	1	Joubert syndrome
MONDO:0010578	deafness-dystonia-optic neuronopathy syndrome	1	Woodhouse-Sakati Syndrome
MONDO:0022948	Deal Barratt Dillon syndrome	1	Arthrogryposis-Renal Dysfunction-Cholestasis Syndrome
MONDO:0004359	delusional disorder	1	Body Dysmorphic Disorder
MONDO:0019207	DEND syndrome	1	ABCC9-Related Intellectual Disability and Myopathy Syndrome
MONDO:0008682	Denys-Drash syndrome	1	Meacham syndrome
MONDO:0859293	Deoxyhypusine hydroxylase disorder	1	Bachmann-Bupp Syndrome
MONDO:0032775	Deoxyhypusine synthase deficiency	1	Bachmann-Bupp Syndrome
MONDO:0015426	Desbuquois dysplasia	1	CHST3-Related Skeletal Dysplasia
MONDO:0011217	Desmosterolosis	1	MSMO1 Deficiency
MONDO:0030727	developmental and epileptic encephalopathy 101	1	GRIN1-Related Neurodevelopmental Disorder
MONDO:0968946	developmental and epileptic encephalopathy 115	1	SNF8-Related Neurodevelopmental Disorder
MONDO:0014647	developmental and epileptic encephalopathy 50 (CAD-related)	1	DTYMK-Related Neurodegeneration
MONDO:0013277	developmental and epileptic encephalopathy, 5	1	SPTBN4-Related Neurodevelopmental Disorder
MONDO:0030059	Developmental and epileptic encephalopathy, 87	1	MED13 Syndrome
MONDO:0859178	developmental delay, impaired speech, and behavioral abnormalities	1	SPTBN4-Related Neurodevelopmental Disorder
MONDO:0004782	diabetes insipidus	1	Diabetes mellitus
MONDO:0006726	diaphragmatic eventration	1	Congenital Diaphragmatic Hernia
MONDO:0100216	DICER1-related tumor predisposition	1	Familial Nonmedullary Thyroid Carcinoma
MONDO:0015447	differentiated thyroid carcinoma	1	Familial Nonmedullary Thyroid Carcinoma
MONDO:0015408	diffuse lymphatic malformation	1	Gorham-Stout disease
MONDO:0008564	DiGeorge syndrome	1	22q11.2 Deletion Syndrome
MONDO:0009862	dihydropteridine reductase deficiency	1	Phenylketonuria
MONDO:0013339	dilated cardiomyopathy 1GG	1	SDHA-Related Neurodegeneration With Ataxia and Optic Atrophy
MONDO:0013848	dilated cardiomyopathy 2B	1	Hypertrophic Cardiomyopathy 21
MONDO:0017986	disorder of plasmalogens biosynthesis	1	Rhizomelic Chondrodysplasia Punctata, Plasmalogen-Synthesis Defect
MONDO:0001243	disseminated intravascular coagulation	1	Acquired Thrombotic Thrombocytopenic Purpura
MONDO:0018949	distal myopathy	1	Myofibrillar Myopathy
MONDO:0009517	Donohue syndrome	1	Ogden syndrome
MONDO:0012123	DPM1-congenital disorder of glycosylation	1	MPDU1-congenital disorder of glycosylation
MONDO:0013049	DPM3-congenital disorder of glycosylation	1	MPDU1-congenital disorder of glycosylation
MONDO:0850094	drug-induced hearing loss	1	Noise Induced Hearing Loss
MONDO:0023124	Dursun syndrome	1	G6PC3 Deficiency
MONDO:0003441	dystonic disorder	1	Paroxysmal Dyskinesia
MONDO:0100291	early T-cell precursor acute lymphoblastic leukemia	1	Mixed Phenotype Acute Leukemia
MONDO:0005451	eating disorder	1	Body Dysmorphic Disorder
MONDO:0009155	EEM syndrome	1	Hypotrichosis with Juvenile Macular Dystrophy
MONDO:0007527	Ehlers-Danlos syndrome, periodontitis type	1	Acatalasia
MONDO:0004941	eosinophilia-myalgia syndrome	1	Eosinophilic Fasciitis
MONDO:0016129	eosinophilic gastroenteritis	1	Cronkhite-Canada syndrome
MONDO:0015006	epidermolysis bullosa simplex 6, generalized, with scarring and hair loss	1	KLHL24-Related Hypertrophic Cardiomyopathy
MONDO:0008047	episodic ataxia type 1	1	Paroxysmal Dyskinesia
MONDO:0021169	epithelioid hemangioma	1	Epithelioid Hemangioendothelioma
MONDO:0016787	epithelioid trophoblastic tumor	1	Choriocarcinoma
MONDO:0006545	erythema multiforme	1	Hand Foot and Mouth Disease
MONDO:0850231	erythema nodosum	1	Sweet Syndrome
MONDO:0020920	Escherichia coli infection	1	Shigellosis
MONDO:0001648	esophageal candidiasis	1	Chronic Mucocutaneous Candidiasis
MONDO:0001221	esophageal varices	1	Dieulafoy Lesion
MONDO:0007349	Familial cold autoinflammatory syndrome 1	1	CINCA Syndrome
MONDO:0000700	familial hemiplegic migraine	1	Alternating Hemiplegia of Childhood
MONDO:0011576	familial hyperaldosteronism type II	1	CLCN2-Related Leukoencephalopathy
MONDO:0014252	familial hypobetalipoproteinemia 1	1	Abetalipoproteinemia
MONDO:0016342	familial isolated arrhythmogenic right ventricular dysplasia	1	arrhythmogenic right ventricular cardiomyopathy
MONDO:0017824	familial isolated pituitary adenoma	1	AIP-related pituitary adenoma predisposition
MONDO:0017895	familial papillary or follicular thyroid carcinoma	1	Familial Nonmedullary Thyroid Carcinoma
MONDO:0100230	fatty acyl-CoA reductase 1 upregulation	1	Rhizomelic Chondrodysplasia Punctata, Plasmalogen-Synthesis Defect
MONDO:0859163	Faundes-Banka syndrome	1	Bachmann-Bupp Syndrome
MONDO:0009046	Fraser syndrome	1	Isolated Anophthalmia-Microphthalmia Syndrome
MONDO:0007635	Frasier syndrome	1	Meacham syndrome
MONDO:0009253	Fryns syndrome	1	Meacham syndrome
MONDO:0018109	fulminant viral hepatitis	1	Acetaminophen Hepatotoxicity
MONDO:0006767	gastric antral vascular ectasia	1	Dieulafoy Lesion
MONDO:0003111	gastric neuroendocrine neoplasm	1	Gastric Adenocarcinoma
MONDO:0003219	gastroesophageal junction adenocarcinoma	1	Gastric Adenocarcinoma
MONDO:0006769	gastroparesis	1	Rumination Disorder
MONDO:0009271	geroderma osteodysplastica	1	Larsen-like Syndrome B3GAT3 Type
MONDO:0007672	glomuvenous malformation	1	Glomus Tumor
MONDO:0006554	granuloma annulare	1	Porokeratosis
MONDO:1060142	GRIN2A-related self-limited epilepsy with centrotemporal spikes	1	GRIN2A-Related Epileptic Encephalopathy and Intellectual Disability
MONDO:0700350	GRIN2B-related complex neurodevelopmental disorder	1	GRIN2A-Related Epileptic Encephalopathy and Intellectual Disability
MONDO:0007052	growth hormone secreting pituitary adenoma 1	1	AIP-related pituitary adenoma predisposition
MONDO:0023297	guttate psoriasis	1	Acute Lichenoid Pityriasis
MONDO:0017600	hairy cell leukemia variant	1	Hairy Cell Leukemia
MONDO:0100125	hallucinogen-persisting perception disorder	1	Visual Snow Syndrome
MONDO:0007797	HDR syndrome	1	deafness-lymphedema-leukemia syndrome
MONDO:0019728	heavy chain deposition disease	1	Heavy Chain Disease
MONDO:0021542	hemangioma of choroid	1	Ocular Melanoma
MONDO:0859172	hemolytic disease of fetus and newborn, RH-induced	1	Hemolytic Disease of the Fetus and Newborn
MONDO:0015540	hemophagocytic lymphohistiocytosis	1	Rosai-Dorfman Disease
MONDO:0032564	Hennekam lymphangiectasia-lymphedema syndrome 3	1	Hennekam lymphangiectasia-lymphedema syndrome 1
MONDO:0019514	hepatic veno-occlusive disease	1	Hepatic veno-occlusive disease-immunodeficiency syndrome
MONDO:0014224	HERC2-related Angelman-like neurodevelopmental disorder	1	Angelman Syndrome
MONDO:0009431	hereditary hypophosphatemic rickets with hypercalciuria	1	X-Linked Hypophosphatemia
MONDO:0005791	herpangina	1	Hand Foot and Mouth Disease
MONDO:0012521	herpes simplex encephalitis	1	Febrile Infection-Related Epilepsy Syndrome
MONDO:0005792	herpes simplex gingivostomatitis	1	Hand Foot and Mouth Disease
MONDO:0004609	herpes simplex infectious disease	1	Chickenpox
MONDO:0005109	HIV infectious disease	1	Whipple Disease
MONDO:0016296	Holoprosencephaly	1	Agnathia-Otocephaly Complex
MONDO:0011759	Hurler-Scheie syndrome	1	Hurler syndrome
MONDO:0003947	hyper-IgM syndrome	1	Autosomal Agammaglobulinemia
MONDO:0004319	hypercalcemic type ovarian small cell carcinoma	1	Malignant Germ Cell Tumor of Ovary
MONDO:0008224	hyperkalemic periodic paralysis	1	Thomsen and Becker disease
MONDO:0009388	hyperlysinemia	1	PUS7-Related Neurodevelopmental Disorder
MONDO:0001741	hyperparathyroidism	1	Idiopathic Phalangeal Acro-osteolysis
MONDO:0004425	hyperthyroidism	1	Panic Disorder
MONDO:0010946	hypertrophic cardiomyopathy 6	1	PRKAG2 Cardiac Syndrome
MONDO:0013458	hyperuricemia-pulmonary hypertension-renal failure-alkalosis syndrome	1	SARS1-Related Neurodevelopmental Disorder
MONDO:0018555	hypogonadotropic hypogonadism	1	46,XX Gonadal Dysgenesis
MONDO:0007093	hypomaturation-hypoplastic amelogenesis imperfecta with taurodontism	1	Taurodontism
MONDO:0009843	hypomyelinating leukodystrophy 3	1	SARS1-Related Neurodevelopmental Disorder
MONDO:0001220	hypoparathyroidism	1	Paroxysmal Dyskinesia
MONDO:0000313	hypophosphatemia	1	Refeeding Syndrome
MONDO:0005152	hypopituitarism	1	Hyperinsulinemic Hypoglycemia
MONDO:0011895	idiopathic hypereosinophilic syndrome	1	Eosinophilic granulomatosis with polyangiitis
MONDO:0600023	idiopathic inflammatory myopathy	1	Nemaline Myopathy
MONDO:0006810	idiopathic intracranial hypertension	1	Visual Snow Syndrome
MONDO:0100212	IFAP syndrome	1	Keratosis follicularis spinulosa decalvans
MONDO:0009853	Imerslund-Gräsbeck syndrome	1	Hereditary intrinsic factor deficiency
MONDO:0002048	immune thrombocytopenia	1	Platelet-Type von Willebrand Disease
MONDO:0016098	Immune-Mediated Necrotizing Myopathy	1	Polymyositis
MONDO:0004592	impetigo	1	Chickenpox
MONDO:0010027	Infantile free sialic acid storage disease	1	Salla Disease
