cosine	status	entry	node	suggested_conforms_to	existing_conforms_to
0.922	ACTIONABLE	Metatropic_Dysplasia	SOX9-Mediated Blocked Terminal Chondrocyte Differentiation	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	
0.922	ACTIONABLE	Seborrheic_Dermatitis	NLRP3 inflammasome activation	gout_urate_crystal_inflammation#NLRP3 Inflammasome Activation	
0.922	ALREADY_CONFORMS	Glioblastoma_IDH_Wildtype	EGFR/MET Pathway Activation	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	sustaining_proliferative_signaling#Constitutive Mitogenic Pathway Activation
0.921	ACTIONABLE	Hepatitis_B	Immune Evasion and T Cell Exhaustion	immune_checkpoint_blockade#Adaptive Immune Resistance	
0.920	ACTIONABLE	Testicular_Germ_Cell_Tumor	KIT/RAS Signaling Activation	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	
0.919	ALREADY_CONFORMS	Anaplastic_Large_Cell_Lymphoma	PD-L1-Mediated Immune Evasion	immune_checkpoint_blockade#Adaptive Immune Resistance	immune_checkpoint_blockade#Adaptive Immune Resistance
0.919	ACTIONABLE	Geleophysic_Dysplasia	TGF-beta and SMAD signaling dysregulation	aortopathy_tgfbeta_dysregulation#TGF-beta Signaling Dysregulation	
0.915	ACTIONABLE	Central_Congenital_Hypothyroidism	Reduced Thyroid Hormone Generation	hypothyroidism_thyroid_hormone_deficiency#Thyroid Hormone Insufficiency	
0.915	ACTIONABLE	Alpha_Thalassemia	Chronic Hemolytic Anemia	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	
0.914	ACTIONABLE	Graves_Disease	Thyroid Overactivity	hypothyroidism_thyroid_hormone_deficiency#Thyroid Hormone Insufficiency	
0.913	ACTIONABLE	Drug_or_Toxin-Induced_Pulmonary_Arterial_Hypertension	Pulmonary vascular remodeling and increased resistance	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	
0.913	ACTIONABLE	Omodysplasia	Impaired chondrocyte proliferation and long bone growth	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	
0.912	ACTIONABLE	RET_Rearranged_NSCLC	Constitutive RET Signaling	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	
0.912	ACTIONABLE	Jeavons_Syndrome	Neuronal Hyperexcitability	epilepsy_excitation_inhibition_imbalance#Excitation-Inhibition Imbalance	
0.912	ACTIONABLE	Sinoatrial_Block	Sinoatrial Exit Block	cardiac_ion_channel_repolarization#Sinoatrial Node Pacemaker Dysfunction	
0.911	ALREADY_CONFORMS	Osteoglophonic_Dysplasia	FGFR1 Constitutive Activation	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation
0.911	ACTIONABLE	Myhre_Syndrome	SMAD4 Gain-of-Function Variants Dysregulating TGF-beta/BMP Signaling	aortopathy_tgfbeta_dysregulation#TGF-beta Signaling Dysregulation	
0.911	ACTIONABLE	Uveal_Melanoma	PKC-MAPK Pathway Activation	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	
0.911	ACTIONABLE	KRAS_G12C_Mutant_NSCLC	Constitutive RAS Signaling	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	
0.910	ACTIONABLE	Hypersensitivity_Pneumonitis	Fibrotic remodeling of interstitial lung architecture	fibrotic_response#Mesenchymal Cell Activation	
0.909	ACTIONABLE	Esophageal_Adenocarcinoma	Copy-Number Driven Oncogenic Signaling	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	
0.909	NODE_GONE	Arsenic_Poisoning	Hepatic Stellate Cell Activation	fibrotic_response#Mesenchymal Cell Activation	
0.909	ACTIONABLE	FGFR_Altered_Cholangiocarcinoma	MAPK Pathway Activation	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	
0.909	ACTIONABLE	HER2_Positive_Colorectal_Cancer	MAPK Pathway Activation	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	
0.909	ACTIONABLE	HER2_Positive_Gastric_Cancer	MAPK Pathway Activation	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	
0.909	ACTIONABLE	KIT_Mutant_Melanoma	MAPK Pathway Activation	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	
0.909	ACTIONABLE	Spondylometaphyseal_Dysplasia_Kozlowski_Type	Dysregulated Calcium Homeostasis Disrupts Chondrocyte Differentiation	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	
0.907	ACTIONABLE	Hypertrophic_Cardiomyopathy	Myocardial Fibrosis	cardiomyopathy_maladaptive_remodeling#Ventricular Remodeling	
0.907	ACTIONABLE	Focal_Segmental_Glomerulosclerosis	Tubulointerstitial Fibrosis	fibrotic_response#Mesenchymal Cell Activation	
0.907	ACTIONABLE	Kabuki_Syndrome	Chondrocyte differentiation defect	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	
0.907	ACTIONABLE	Sialidosis_Type_1	Retinal ganglion cell layer storage	glaucoma_optic_neuropathy#Retinal Ganglion Cell Apoptosis	
0.903	ALREADY_CONFORMS	Autosomal_Recessive_Ataxia_Beauce_Type	Cerebellar Neurodegeneration and Atrophy	cerebellar_purkinje_degeneration#Purkinje Neuron Degeneration	cerebellar_purkinje_degeneration#Purkinje Neuron Degeneration
0.901	ACTIONABLE	AIP-related_pituitary_adenoma_predisposition	Altered ligand-dependent growth hormone secretion	somatotroph_camp_pka_overactivation#Increased growth hormone secretion	
0.901	ACTIONABLE	Chronic_Myelomonocytic_Leukemia	Immune Tolerance and T-Cell Exhaustion	immune_checkpoint_blockade#Adaptive Immune Resistance	
0.900	ACTIONABLE	Sinoatrial_Block	Intrinsic Sinus Node Remodeling	cardiac_ion_channel_repolarization#Sinoatrial Node Pacemaker Dysfunction	
