maxo_id	action	ncit_id	ncit_label
MAXO:0000127	REMAP	NCIT:C15709	Genetic Testing
MAXO:0000130	REMAP	NCIT:C16546	Endoscopic Procedure
MAXO:0000137	REMAP	NCIT:C17007	Positron Emission Tomography
MAXO:0000139	REMAP	NCIT:C25153	Autopsy
MAXO:0000140	REMAP	NCIT:C16490	Cytological Procedure
MAXO:0000165	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000167	REMAP	NCIT:C64172	Anticonvulsant Therapy
MAXO:0000168	REMAP	NCIT:C16119	Antiviral Therapy
MAXO:0000169	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000178	REMAP	NCIT:C63341	Anticoagulation Therapy
MAXO:0000180	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000181	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000184	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000186	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000187	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000194	REMAP	NCIT:C15180	Pain Therapy
MAXO:0000198	REMAP	NCIT:C15620	Antibiotic Therapy
MAXO:0000214	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000217	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000221	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000234	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000237	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000259	REMAP	NCIT:C179441	Injected Insulin Diabetes Therapy
MAXO:0000264	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000267	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000272	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000282	REMAP	NCIT:C15445	Hormone Therapy
MAXO:0000283	REMAP	NCIT:C15445	Hormone Therapy
MAXO:0000288	REMAP	NCIT:C15484	Progestin Therapy
MAXO:0000297	REMAP	NCIT:C15261	Immunosuppressive Therapy
MAXO:0000307	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000312	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000313	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000314	REMAP	NCIT:C121367	Localized Corticosteroid Therapy
MAXO:0000315	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000316	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000324	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000326	REMAP	NCIT:C217130	Head and Neck Biopsy Procedure
MAXO:0000336	REMAP	NCIT:C15193	Bone Marrow Biopsy
MAXO:0000365	REMAP	NCIT:C15189	Biopsy Procedure
MAXO:0000376	REMAP	NCIT:C51677	Liver Biopsy
MAXO:0000380	REMAP	NCIT:C51748	Lung Biopsy
MAXO:0000387	REMAP	NCIT:C51895	Muscle Biopsy
MAXO:0000398	REMAP	NCIT:C51693	Rectal Biopsy
MAXO:0000423	REMAP	NCIT:C51692	Skin Biopsy
MAXO:0000424	REMAP	NCIT:C16809	Magnetic Resonance Imaging
MAXO:0000427	REMAP	NCIT:C16809	Magnetic Resonance Imaging
MAXO:0000434	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000439	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000447	REMAP	NCIT:C15232	Excision
MAXO:0000448	REMAP	NCIT:C158758	Resection
MAXO:0000451	REMAP	NCIT:C15329	Surgical Procedure
MAXO:0000452	REMAP	NCIT:C20985	Ablation Therapy
MAXO:0000453	REMAP	NCIT:C111241	Laser Ablation
MAXO:0000457	REMAP	NCIT:C15747	Supportive Care
MAXO:0000458	REMAP	NCIT:C15302	Physical Therapy
MAXO:0000460	REMAP	NCIT:C49236	Therapeutic Procedure
MAXO:0000474	REMAP	NCIT:C80435	Implantable Cardioverter-Defibrillator Placement
MAXO:0000476	REMAP	NCIT:C15329	Surgical Procedure
MAXO:0000477	REMAP	NCIT:C16186	Orthopedic Surgical Procedure
MAXO:0000479	REMAP	NCIT:C16186	Orthopedic Surgical Procedure
MAXO:0000482	BLANK		
MAXO:0000486	REMAP	NCIT:C16186	Orthopedic Surgical Procedure
MAXO:0000487	REMAP	NCIT:C124351	Clinical Evaluation
MAXO:0000500	BLANK		
MAXO:0000503	REMAP	NCIT:C70909	Mechanical Ventilation
MAXO:0000504	REMAP	NCIT:C15341	Tracheotomy
MAXO:0000506	REMAP	NCIT:C171457	Non-Invasive Mechanical Ventilation
MAXO:0000508	REMAP	NCIT:C70909	Mechanical Ventilation
MAXO:0000512	REMAP	NCIT:C124040	Continuous Positive Airway Pressure
MAXO:0000515	REMAP	NCIT:C171507	Extracorporeal Membrane Oxygenation
MAXO:0000520	REMAP	NCIT:C222238	Fetal Ultrasound Imaging
MAXO:0000526	REMAP	NCIT:C20989	Physical Examination
MAXO:0000527	REMAP	NCIT:C20989	Physical Examination
MAXO:0000528	REMAP	NCIT:C92920	Assessment of Fetal Condition
MAXO:0000529	REMAP	NCIT:C15709	Genetic Testing
MAXO:0000533	REMAP	NCIT:C19770	Molecular Analysis
MAXO:0000536	REMAP	NCIT:C18020	Diagnostic Procedure
MAXO:0000566	REMAP	NCIT:C47868	Blood Chemistry Measurement
MAXO:0000567	REMAP	NCIT:C92744	Blood Glucose Measurement
MAXO:0000571	REMAP	NCIT:C17204	Computed Tomography
MAXO:0000573	REMAP	NCIT:C94631	Antiretroviral Therapy
MAXO:0000586	REMAP	NCIT:C191573	Invasive Mechanical Ventilation
MAXO:0000589	REMAP	NCIT:C20055	Nucleic Acid Amplification Test
MAXO:0000595	REMAP	NCIT:C38101	X-Ray Imaging
MAXO:0000600	REMAP	NCIT:C126400	Renal Replacement Therapy
MAXO:0000601	REMAP	NCIT:C15221	Dialysis
MAXO:0000602	REMAP	NCIT:C15248	Hemodialysis
MAXO:0000603	REMAP	NCIT:C15221	Dialysis
MAXO:0000604	REMAP	NCIT:C74971	Endocrine Test
MAXO:0000605	REMAP	NCIT:C64430	Protein or Enzyme Type Measurement
MAXO:0000609	REMAP	NCIT:C25294	Laboratory Procedure
MAXO:0000611	REMAP	NCIT:C81869	Immunoglobulin Measurement
MAXO:0000618	REMAP	NCIT:C66896	Hydration Therapy
MAXO:0000623	REMAP	NCIT:C171216	Dietary Counseling and Surveillance
MAXO:0000624	REMAP	NCIT:C124351	Clinical Evaluation
MAXO:0000640	REMAP	NCIT:C15370	Steroid Therapy
MAXO:0000645	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000646	REMAP	NCIT:C15632	Chemotherapy
MAXO:0000647	REMAP	NCIT:C15632	Chemotherapy
MAXO:0000648	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000652	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000653	REMAP	NCIT:C172184	Antihypertensive Therapy
MAXO:0000672	REMAP	NCIT:C124351	Clinical Evaluation
MAXO:0000683	REMAP	NCIT:C80414	Cardiac Electrophysiology Study
MAXO:0000703	REMAP	NCIT:C38060	Eye Examination
MAXO:0000714	REMAP	NCIT:C124351	Clinical Evaluation
MAXO:0000734	REMAP	NCIT:C38036	Audiometric Test
MAXO:0000739	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000745	REMAP	NCIT:C18280	Cytogenetic Analysis
MAXO:0000746	REMAP	NCIT:C18280	Cytogenetic Analysis
MAXO:0000747	REMAP	NCIT:C15431	Hematopoietic Cell Transplantation
MAXO:0000748	REMAP	NCIT:C118643	Fecal Microbiota Transplantation
MAXO:0000753	REMAP	NCIT:C92958	Bone Marrow Aspiration and Biopsy
MAXO:0000756	REMAP	NCIT:C15192	Blood Transfusion
MAXO:0000757	REMAP	NCIT:C15388	Infusion Procedure
MAXO:0000761	REMAP	NCIT:C15425	Nutritional Supplementation
MAXO:0000780	REMAP	NCIT:C15599	Hormone Replacement Therapy
MAXO:0000787	REMAP	NCIT:C47868	Blood Chemistry Measurement
MAXO:0000789	REMAP	NCIT:C61044	Urine Chemistry Measurement
MAXO:0000802	REMAP	NCIT:C15900	Lifestyle Therapy
MAXO:0000804	REMAP	NCIT:C15900	Lifestyle Therapy
MAXO:0000831	REMAP	NCIT:C25294	Laboratory Procedure
MAXO:0000851	REMAP	NCIT:C74760	Urine Protein Measurement
MAXO:0000855	REMAP	NCIT:C25294	Laboratory Procedure
MAXO:0000861	REMAP	NCIT:C92814	Induction of Labor
MAXO:0000873	REMAP	NCIT:C38036	Audiometric Test
MAXO:0000883	REMAP	NCIT:C64345	Cognitive Behavior Therapy
MAXO:0000886	REMAP	NCIT:C74972	Renal Function Test
MAXO:0000890	REMAP	NCIT:C157838	Endourologic Procedure
MAXO:0000900	REMAP	NCIT:C38053	Electrocardiography
MAXO:0000903	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000908	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0000914	REMAP	NCIT:C180883	Actigraphy
MAXO:0000915	REMAP	NCIT:C114185	Polysomnography
MAXO:0000917	REMAP	NCIT:C71316	Stenting
MAXO:0000930	REMAP	NCIT:C159273	Speech Language Therapy
MAXO:0000931	REMAP	NCIT:C124351	Clinical Evaluation
MAXO:0000932	REMAP	NCIT:C38054	Electroencephalography
MAXO:0000933	REMAP	NCIT:C16221	Protein Replacement Therapy
MAXO:0000942	REMAP	NCIT:C21025	Peripheral Nerve Stimulation
MAXO:0000943	REMAP	NCIT:C21024	Deep Brain Stimulation
MAXO:0000944	REMAP	NCIT:C116561	Cranial Electrical Stimulation
MAXO:0000945	REMAP	NCIT:C21023	Spinal Cord Stimulation
MAXO:0000946	REMAP	NCIT:C15656	Neurosurgical Procedure
MAXO:0000950	REMAP	NCIT:C15747	Supportive Care
MAXO:0000954	REMAP	NCIT:C198585	Bisphosphonate Therapy
MAXO:0000955	REMAP	NCIT:C124039	Biphasic Positive Airway Pressure
MAXO:0000967	REMAP	NCIT:C38060	Eye Examination
MAXO:0000969	REMAP	NCIT:C20828	Optical Coherence Tomography
MAXO:0000970	REMAP	NCIT:C93195	Gonioscopy
MAXO:0000971	REMAP	NCIT:C156778	Vision Assessment
MAXO:0000974	REMAP	NCIT:C120543	Tonometry
MAXO:0000996	BLANK		
MAXO:0001001	REMAP	NCIT:C15238	Gene Therapy
MAXO:0001002	REMAP	NCIT:C15262	Immunotherapy
MAXO:0001004	REMAP	NCIT:C15372	Smoking Cessation Intervention
MAXO:0001014	REMAP	NCIT:C15900	Lifestyle Therapy
MAXO:0001017	REMAP	NCIT:C15346	Vaccination
MAXO:0001021	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0001030	REMAP	NCIT:C15177	Adrenalectomy
MAXO:0001032	REMAP	NCIT:C51687	Appendectomy
MAXO:0001052	REMAP	NCIT:C15357	Esophagectomy
MAXO:0001055	REMAP	NCIT:C15329	Surgical Procedure
MAXO:0001058	REMAP	NCIT:C15256	Hysterectomy
MAXO:0001063	REMAP	NCIT:C15275	Lymphadenectomy
MAXO:0001065	REMAP	NCIT:C15284	Nephrectomy
MAXO:0001067	REMAP	NCIT:C15291	Oophorectomy
MAXO:0001070	REMAP	NCIT:C15294	Pancreatectomy
MAXO:0001072	REMAP	NCIT:C51593	Parathyroidectomy
MAXO:0001075	REMAP	NCIT:C87068	Male Circumcision
MAXO:0001077	REMAP	NCIT:C15328	Splenectomy
MAXO:0001079	REMAP	NCIT:C29894	Thymectomy
MAXO:0001081	REMAP	NCIT:C51679	Tonsillectomy
MAXO:0001082	REMAP	NCIT:C220170	Surgical Construction of Filtration Bleb
MAXO:0001106	REMAP	NCIT:C51645	Myomectomy
MAXO:0001121	REMAP	NCIT:C51699	Kidney Biopsy
MAXO:0001123	REMAP	NCIT:C15433	Nutritional Support
MAXO:0001129	REMAP	NCIT:C15425	Nutritional Supplementation
MAXO:0001131	REMAP	NCIT:C15433	Nutritional Support
MAXO:0001139	REMAP	NCIT:C15433	Nutritional Support
MAXO:0001141	REMAP	NCIT:C15433	Nutritional Support
MAXO:0001149	REMAP	NCIT:C15433	Nutritional Support
MAXO:0001155	REMAP	NCIT:C38060	Eye Examination
MAXO:0001175	REMAP	NCIT:C15271	Liver Transplantation
MAXO:0001183	REMAP	NCIT:C16366	Bronchoscopy
MAXO:0001184	REMAP	NCIT:C16450	Colonoscopy
MAXO:0001188	REMAP	NCIT:C16969	Laparoscopy
MAXO:0001189	REMAP	NCIT:C16781	Laryngoscopy
MAXO:0001193	REMAP	NCIT:C78144	Esophagogastroduodenoscopy
MAXO:0001198	REMAP	NCIT:C20989	Physical Examination
MAXO:0001223	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0001224	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0001259	REMAP	NCIT:C190556	Angiography
MAXO:0001262	REMAP	NCIT:C15433	Nutritional Support
MAXO:0001291	REMAP	NCIT:C15656	Neurosurgical Procedure
MAXO:0001303	REMAP	NCIT:C137915	Magnetic Resonance Imaging of the Heart
MAXO:0001315	REMAP	NCIT:C38101	X-Ray Imaging
MAXO:0001319	REMAP	NCIT:C100085	Coronary Angiography
MAXO:0001321	REMAP	NCIT:C62667	Radionuclide Imaging
MAXO:0001346	REMAP	NCIT:C52006	Gastrostomy
MAXO:0001351	REMAP	NCIT:C121351	Occupational Therapy
MAXO:0001359	REMAP	NCIT:C15184	Behavioral Intervention
MAXO:0001388	REMAP	NCIT:C156237	Swallowing Therapy
MAXO:0001389	REMAP	NCIT:C49236	Therapeutic Procedure
MAXO:0001391	REMAP	NCIT:C15599	Hormone Replacement Therapy
MAXO:0001395	REMAP	NCIT:C15666	Radiofrequency Ablation
MAXO:0001404	REMAP	NCIT:C18020	Diagnostic Procedure
MAXO:0001406	REMAP	NCIT:C18020	Diagnostic Procedure
MAXO:0001408	REMAP	NCIT:C18020	Diagnostic Procedure
MAXO:0001420	REMAP	NCIT:C49236	Therapeutic Procedure
MAXO:0001421	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0001425	REMAP	NCIT:C49236	Therapeutic Procedure
MAXO:0001445	REMAP	NCIT:C38036	Audiometric Test
MAXO:0001475	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0001477	REMAP	NCIT:C111066	Orchiopexy
MAXO:0001478	REMAP	NCIT:C16809	Magnetic Resonance Imaging
MAXO:0001479	REMAP	NCIT:C46089	Allogeneic Hematopoietic Stem Cell Transplantation
MAXO:0001480	REMAP	NCIT:C62710	Immunoglobulin Therapy
MAXO:0001483	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0001490	REMAP	NCIT:C15366	Platelet Transfusion
MAXO:0001492	REMAP	NCIT:C15406	Cancer Screening
MAXO:0001509	REMAP	NCIT:C28133	Blood Cell Count
MAXO:0001513	REMAP	NCIT:C51559	Dermatologic Surgery
MAXO:0001515	REMAP	NCIT:C157725	Vascular Surgical Procedure
MAXO:0001533	REMAP	NCIT:C38052	Dental Procedure
MAXO:0001534	REMAP	NCIT:C38052	Dental Procedure
MAXO:0001535	REMAP	NCIT:C38052	Dental Procedure
MAXO:0001540	REMAP	NCIT:C111241	Laser Ablation
MAXO:0001553	REMAP	NCIT:C122078	Topical Corticosteroid Therapy
MAXO:0001573	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0001574	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0001578	REMAP	NCIT:C15466	Laser Therapy
MAXO:0001592	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0001593	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0001610	REMAP	NCIT:C116655	Transcranial Magnetic Stimulation
MAXO:0001611	REMAP	NCIT:C16768	Karyotyping
MAXO:0001612	REMAP	NCIT:C18477	Microarray Analysis
MAXO:0001615	REMAP	NCIT:C15709	Genetic Testing
MAXO:0002001	REMAP	NCIT:C15372	Smoking Cessation Intervention
MAXO:0009003	REMAP	NCIT:C15709	Genetic Testing
MAXO:0009004	REMAP	NCIT:C101295	Whole Exome Sequencing
MAXO:0009006	REMAP	NCIT:C101294	Whole Genome Sequencing
MAXO:0009009	REMAP	NCIT:C222238	Fetal Ultrasound Imaging
MAXO:0009012	REMAP	NCIT:C15192	Blood Transfusion
MAXO:0009016	REMAP	NCIT:C157775	Botulinum Toxin Therapy
MAXO:0009017	REMAP	NCIT:C165543	Neuropsychological Assessment
MAXO:0009018	REMAP	NCIT:C165543	Neuropsychological Assessment
MAXO:0009025	REMAP	NCIT:C15329	Surgical Procedure
MAXO:0009030	BLANK		
MAXO:0009034	REMAP	NCIT:C80434	Pacemaker Placement
MAXO:0009038	REMAP	NCIT:C99521	Percutaneous Coronary Intervention
MAXO:0009043	REMAP	NCIT:C157809	Cataract Surgery
MAXO:0009047	REMAP	NCIT:C157876	Hip Replacement
MAXO:0009072	REMAP	NCIT:C15329	Surgical Procedure
MAXO:0009088	REMAP	NCIT:C15358	Stereotactic Radiosurgery
MAXO:0009101	REMAP	NCIT:C159524	Early Intervention
MAXO:0010006	REMAP	NCIT:C15433	Nutritional Support
MAXO:0010012	REMAP	NCIT:C15425	Nutritional Supplementation
MAXO:0010016	REMAP	NCIT:C15433	Nutritional Support
MAXO:0010019	REMAP	NCIT:C15433	Nutritional Support
MAXO:0010020	REMAP	NCIT:C15425	Nutritional Supplementation
MAXO:0010030	REMAP	NCIT:C15194	Bone Marrow Transplantation
MAXO:0010032	REMAP	NCIT:C15246	Heart Transplantation
MAXO:0010034	REMAP	NCIT:C210959	Corneal Transplantation
MAXO:0010038	REMAP	NCIT:C15274	Lung Transplantation
MAXO:0010039	REMAP	NCIT:C15289	Organ Transplantation
MAXO:0010043	REMAP	NCIT:C15265	Kidney Transplantation
MAXO:0010052	REMAP	NCIT:C15447	Dietary Intervention
MAXO:0010092	REMAP	NCIT:C15447	Dietary Intervention
MAXO:0010096	REMAP	NCIT:C15447	Dietary Intervention
MAXO:0010130	REMAP	NCIT:C92808	Hormonal Contraception
MAXO:0010203	REMAP	NCIT:C16525	Echocardiography Test
MAXO:0010217	REMAP	NCIT:C159885	Renal Ultrasound
MAXO:0010219	REMAP	NCIT:C19337	Diagnostic Ultrasound
MAXO:0010356	REMAP	NCIT:C38103	Chest Radiography
MAXO:0020000	REMAP	NCIT:C15986	Pharmacotherapy
MAXO:0020004	REMAP	NCIT:C48789	Dual X-ray Absorptiometry
MAXO:0020005	REMAP	NCIT:C62667	Radionuclide Imaging
MAXO:0020006	BLANK		
MAXO:0020010	REMAP	NCIT:C81313	Neurologic Examination
MAXO:0020022	REMAP	NCIT:C15300	Photodynamic Therapy
MAXO:0020023	REMAP	NCIT:C49803	Cardiovascular Surgical Procedure
MAXO:0020024	REMAP	NCIT:C15917	Arterial Embolization
MAXO:0020025	REMAP	NCIT:C85876	Substrate Deprivation Therapy
MAXO:0020029	REMAP	NCIT:C25294	Laboratory Procedure
MAXO:0020033	REMAP	NCIT:C16810	Magnetic Resonance Spectroscopy
MAXO:0025001	REMAP	NCIT:C157806	Cardiac Surgery
MAXO:0025004	BLANK		
MAXO:0025005	REMAP	NCIT:C15331	Ophthalmologic Surgical Procedure
MAXO:0025006	REMAP	NCIT:C15331	Ophthalmologic Surgical Procedure
MAXO:0030010	REMAP	NCIT:C173168	Ketogenic Diet
MAXO:0035003	REMAP	NCIT:C190541	Fluorescein Angiography
MAXO:0035005	REMAP	NCIT:C74742	Hormone Measurement
MAXO:0035007	REMAP	NCIT:C173272	CSF Analysis
MAXO:0035011	REMAP	NCIT:C25294	Laboratory Procedure
MAXO:0035019	REMAP	NCIT:C25294	Laboratory Procedure
MAXO:0035034	REMAP	NCIT:C16809	Magnetic Resonance Imaging
MAXO:0035038	REMAP	NCIT:C20080	X-ray Angiography
MAXO:0035041	REMAP	NCIT:C95403	Developmental Neuropsychological Assessment
MAXO:0035049	REMAP	NCIT:C16430	Endoscopic Retrograde Cholangiopancreatography
MAXO:0035055	REMAP	NCIT:C16585	Flow Cytometry
MAXO:0035058	REMAP	NCIT:C74742	Hormone Measurement
MAXO:0035059	REMAP	NCIT:C88502	Nerve Conduction Velocity Test
MAXO:0035065	REMAP	NCIT:C158323	Dental Examination
MAXO:0035078	REMAP	NCIT:C38081	Pulmonary Function Test
MAXO:0035080	BLANK		
MAXO:0035082	REMAP	NCIT:C38112	Esophagography
MAXO:0035085	REMAP	NCIT:C38101	X-Ray Imaging
MAXO:0035088	REMAP	NCIT:C190557	Magnetic Resonance Angiography
MAXO:0035089	REMAP	NCIT:C16546	Endoscopic Procedure
MAXO:0035091	REMAP	NCIT:C38056	Electromyography
MAXO:0035096	REMAP	NCIT:C116515	Breath Test
MAXO:0035097	REMAP	NCIT:C18020	Diagnostic Procedure
MAXO:0035099	REMAP	NCIT:C101217	Retinal Examination
MAXO:0035108	REMAP	NCIT:C18020	Diagnostic Procedure
MAXO:0035118	REMAP	NCIT:C38044	Cardiac Catheterization
