postcomposition_id	descriptor_id	assertion_id	disorder_id	disorder_name	source_file	section	section_index	section_name	section_description	descriptor_path	descriptor_preferred_term	descriptor_term_id	descriptor_term_label	relation_type	relation_index	relation_path	predicate_preferred_term	predicate_term_id	predicate_term_label	value_preferred_term	value_term_id	value_term_label	value_literal	raw_json
23	217	192	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	6	Oral isotretinoin	"Systemic retinoid reserved for severe, recalcitrant acne. Addresses all four pathogenic factors but requires careful monitoring due to teratogenicity and other adverse effects.
"	treatment_term	retinoid agent therapy	MAXO:0000237	retinoid agent therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	isotretinoin	NCIT:C603	Isotretinoin		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""isotretinoin"", ""term"": {""id"": ""NCIT:C603"", ""label"": ""Isotretinoin""}}}"
24	220	193	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	7	Hormonal therapy	"Combined oral contraceptives and spironolactone reduce androgen effects on sebaceous glands. Used in female patients with hormonal acne patterns.
"	treatment_term	hormone modifying therapy	MAXO:0000283	hormone modifying therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	oral contraceptive	NCIT:C389	Oral Contraceptive		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""oral contraceptive"", ""term"": {""id"": ""NCIT:C389"", ""label"": ""Oral Contraceptive""}}}"
25	220	193	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	7	Hormonal therapy	"Combined oral contraceptives and spironolactone reduce androgen effects on sebaceous glands. Used in female patients with hormonal acne patterns.
"	treatment_term	hormone modifying therapy	MAXO:0000283	hormone modifying therapy	qualifier	1	treatment_term.qualifiers[1]	therapeutic agent	NCIT:C2259	Therapeutic Agent	spironolactone	NCIT:C840	Spironolactone		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""spironolactone"", ""term"": {""id"": ""NCIT:C840"", ""label"": ""Spironolactone""}}}"
26	225	194	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	8	Chemical peels	"Organic acid-based peels are used to exfoliate acne-prone skin and reduce lesion counts, with agent selection tailored to patient tolerability.
"	treatment_term	therapeutic procedure of skin of body	MAXO:0001417	therapeutic procedure of skin of body	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	chemical peel	NCIT:C93203	Chemical Peel		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""chemical peel"", ""term"": {""id"": ""NCIT:C93203"", ""label"": ""Chemical Peel""}}}"
27	228	195	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	9	Azelaic acid peel	"Azelaic acid peels reduce sebum and lesion burden as a nonpharmacologic option for facial acne.
"	treatment_term	therapeutic procedure of skin of body	MAXO:0001417	therapeutic procedure of skin of body	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	chemical peel	NCIT:C93203	Chemical Peel		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""chemical peel"", ""term"": {""id"": ""NCIT:C93203"", ""label"": ""Chemical Peel""}}}"
28	228	195	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	9	Azelaic acid peel	"Azelaic acid peels reduce sebum and lesion burden as a nonpharmacologic option for facial acne.
"	treatment_term	therapeutic procedure of skin of body	MAXO:0001417	therapeutic procedure of skin of body	qualifier	1	treatment_term.qualifiers[1]	therapeutic agent	NCIT:C2259	Therapeutic Agent	azelaic acid	NCIT:C47407	Azelaic Acid		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""azelaic acid"", ""term"": {""id"": ""NCIT:C47407"", ""label"": ""Azelaic Acid""}}}"
29	233	196	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	10	Chemical peels for acne scarring	"Medium-depth peels such as glycolic acid and trichloroacetic acid are used to improve atrophic acne scars.
"	treatment_term	therapeutic procedure of skin of body	MAXO:0001417	therapeutic procedure of skin of body	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	chemical peel	NCIT:C93203	Chemical Peel		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""chemical peel"", ""term"": {""id"": ""NCIT:C93203"", ""label"": ""Chemical Peel""}}}"
30	233	196	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	10	Chemical peels for acne scarring	"Medium-depth peels such as glycolic acid and trichloroacetic acid are used to improve atrophic acne scars.
"	treatment_term	therapeutic procedure of skin of body	MAXO:0001417	therapeutic procedure of skin of body	qualifier	1	treatment_term.qualifiers[1]	therapeutic agent	NCIT:C2259	Therapeutic Agent	glycolic acid	NCIT:C83737	Glycolic Acid		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""glycolic acid"", ""term"": {""id"": ""NCIT:C83737"", ""label"": ""Glycolic Acid""}}}"
31	233	196	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	10	Chemical peels for acne scarring	"Medium-depth peels such as glycolic acid and trichloroacetic acid are used to improve atrophic acne scars.
"	treatment_term	therapeutic procedure of skin of body	MAXO:0001417	therapeutic procedure of skin of body	qualifier	2	treatment_term.qualifiers[2]	therapeutic agent	NCIT:C2259	Therapeutic Agent	topical trichloroacetic acid	NCIT:C125002	Topical Trichloroacetic Acid		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""topical trichloroacetic acid"", ""term"": {""id"": ""NCIT:C125002"", ""label"": ""Topical Trichloroacetic Acid""}}}"
32	240	197	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	11	Ablative fractional CO2 laser	"Ablative fractional CO2 laser is used for atrophic acne scars but can cause erythema, dyspigmentation, and prolonged recovery.
"	treatment_term	laser surgical procedure	MAXO:0001578	laser surgical procedure	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	laser therapy	NCIT:C15466	Laser Therapy		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""laser therapy"", ""term"": {""id"": ""NCIT:C15466"", ""label"": ""Laser Therapy""}}}"
33	243	198	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	12	Post-laser antioxidant serum	"Topical antioxidant serum with vitamins C and E (with ferulic acid) is used after ablative laser procedures to support skin recovery.
"	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	vitamin C	NCIT:C68507	Vitamin C		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""vitamin C"", ""term"": {""id"": ""NCIT:C68507"", ""label"": ""Vitamin C""}}}"
34	243	198	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	12	Post-laser antioxidant serum	"Topical antioxidant serum with vitamins C and E (with ferulic acid) is used after ablative laser procedures to support skin recovery.
"	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	qualifier	1	treatment_term.qualifiers[1]	therapeutic agent	NCIT:C2259	Therapeutic Agent	topical vitamin E	NCIT:C67081	Topical Vitamin E		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""topical vitamin E"", ""term"": {""id"": ""NCIT:C67081"", ""label"": ""Topical Vitamin E""}}}"
35	248	199	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	13	Blue light therapy	"Blue light phototherapy is used as an alternative for inflammatory acne, with evidence of clinical improvement.
"	treatment_term	radiation therapy	MAXO:0000014	radiation therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	phototherapy	NCIT:C15301	Phototherapy		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""phototherapy"", ""term"": {""id"": ""NCIT:C15301"", ""label"": ""Phototherapy""}}}"
36	251	200	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	14	Visible light therapy	"Visible light devices, including blue light, can reduce acne lesion counts in patients seeking nonpharmacologic treatments.
"	treatment_term	radiation therapy	MAXO:0000014	radiation therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	phototherapy	NCIT:C15301	Phototherapy		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""phototherapy"", ""term"": {""id"": ""NCIT:C15301"", ""label"": ""Phototherapy""}}}"
37	254	201	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	15	Photodynamic therapy	"Photodynamic therapy is used off-label for inflammatory acne with evidence supporting efficacy in dermatologic indications.
"	treatment_term	radiation therapy	MAXO:0000014	radiation therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	photodynamic therapy	NCIT:C15300	Photodynamic Therapy		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""photodynamic therapy"", ""term"": {""id"": ""NCIT:C15300"", ""label"": ""Photodynamic Therapy""}}}"
38	257	202	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	16	Nd:YAG laser and intralesional PRP	"Nd:YAG laser and intralesional platelet-rich plasma injections are used for inflammatory acne in split-face comparative protocols.
"	treatment_term	therapeutic procedure of skin of body	MAXO:0001417	therapeutic procedure of skin of body	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	laser therapy	NCIT:C15466	Laser Therapy		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""laser therapy"", ""term"": {""id"": ""NCIT:C15466"", ""label"": ""Laser Therapy""}}}"
39	257	202	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	16	Nd:YAG laser and intralesional PRP	"Nd:YAG laser and intralesional platelet-rich plasma injections are used for inflammatory acne in split-face comparative protocols.
"	treatment_term	therapeutic procedure of skin of body	MAXO:0001417	therapeutic procedure of skin of body	qualifier	1	treatment_term.qualifiers[1]	therapeutic agent	NCIT:C2259	Therapeutic Agent	platelet-rich plasma	NCIT:C106557	Platelet-rich Plasma		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""platelet-rich plasma"", ""term"": {""id"": ""NCIT:C106557"", ""label"": ""Platelet-rich Plasma""}}}"
40	262	203	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	17	1726 nm laser therapy	"Targeted laser therapy that selectively affects sebaceous glands and is being evaluated for moderate to severe acne.
"	treatment_term	laser surgical procedure	MAXO:0001578	laser surgical procedure	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	laser therapy	NCIT:C15466	Laser Therapy		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""laser therapy"", ""term"": {""id"": ""NCIT:C15466"", ""label"": ""Laser Therapy""}}}"
41	262	203	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	17	1726 nm laser therapy	"Targeted laser therapy that selectively affects sebaceous glands and is being evaluated for moderate to severe acne.
"	treatment_term	laser surgical procedure	MAXO:0001578	laser surgical procedure	qualifier	1	treatment_term.qualifiers[1]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	infrared laser therapy	NCIT:C66918	Infrared Laser Therapy		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""infrared laser therapy"", ""term"": {""id"": ""NCIT:C66918"", ""label"": ""Infrared Laser Therapy""}}}"
61	387	330	12	Aflatoxin-Related Hepatocellular Carcinoma	Aflatoxin_Related_HCC.yaml	treatments	3	Systemic Therapy	Sorafenib, lenvatinib, or atezolizumab-bevacizumab for advanced HCC. Checkpoint inhibitors (nivolumab, pembrolizumab) show activity as second-line therapy.	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	therapeutic_agent	0	treatment_term.therapeutic_agent[0]	therapeutic_agent			sorafenib	CHEBI:50924	sorafenib		"{""preferred_term"": ""sorafenib"", ""term"": {""id"": ""CHEBI:50924"", ""label"": ""sorafenib""}}"
63	409	376	14	Ainhum	Ainhum.yaml	treatments	0	Surgical excision of constriction band with disarticulation	Surgical management includes excision of the constricting band with disarticulation at the metatarsophalangeal joint and skin closure.	treatment_term	surgical procedure	MAXO:0000004	surgical procedure	qualifier	0	treatment_term.qualifiers[0]	surgical procedure	NCIT:C15329	Surgical Procedure	excision	NCIT:C15232	Excision		"{""predicate"": {""preferred_term"": ""surgical procedure"", ""term"": {""id"": ""NCIT:C15329"", ""label"": ""Surgical Procedure""}}, ""value"": {""preferred_term"": ""excision"", ""term"": {""id"": ""NCIT:C15232"", ""label"": ""Excision""}}}"
64	438	400	15	Akinetopsia	Akinetopsia.yaml	treatments	1	Carbamazepine for seizure-related akinetopsia	Antiepileptic therapy can suppress akinetopsia when episodes are driven by epileptic hyperexcitability.	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	therapeutic_agent	0	treatment_term.therapeutic_agent[0]	therapeutic_agent			carbamazepine	CHEBI:3387	carbamazepine		"{""preferred_term"": ""carbamazepine"", ""term"": {""id"": ""CHEBI:3387"", ""label"": ""carbamazepine""}}"
81	565	493	20	Alveolar Rhabdomyosarcoma	Alveolar_Rhabdomyosarcoma.yaml	treatments	0	Multi-Agent Chemotherapy	Intensive chemotherapy with vincristine, actinomycin D, and cyclophosphamide (VAC) forms the backbone of treatment. Ifosfamide and etoposide are added for high-risk disease.	treatment_term	chemotherapy	MAXO:0000647	chemotherapy	therapeutic_agent	0	treatment_term.therapeutic_agent[0]	therapeutic_agent			vincristine	CHEBI:28445	vincristine		"{""preferred_term"": ""vincristine"", ""term"": {""id"": ""CHEBI:28445"", ""label"": ""vincristine""}}"
82	565	493	20	Alveolar Rhabdomyosarcoma	Alveolar_Rhabdomyosarcoma.yaml	treatments	0	Multi-Agent Chemotherapy	Intensive chemotherapy with vincristine, actinomycin D, and cyclophosphamide (VAC) forms the backbone of treatment. Ifosfamide and etoposide are added for high-risk disease.	treatment_term	chemotherapy	MAXO:0000647	chemotherapy	therapeutic_agent	1	treatment_term.therapeutic_agent[1]	therapeutic_agent			actinomycin D	CHEBI:27666	actinomycin D		"{""preferred_term"": ""actinomycin D"", ""term"": {""id"": ""CHEBI:27666"", ""label"": ""actinomycin D""}}"
83	565	493	20	Alveolar Rhabdomyosarcoma	Alveolar_Rhabdomyosarcoma.yaml	treatments	0	Multi-Agent Chemotherapy	Intensive chemotherapy with vincristine, actinomycin D, and cyclophosphamide (VAC) forms the backbone of treatment. Ifosfamide and etoposide are added for high-risk disease.	treatment_term	chemotherapy	MAXO:0000647	chemotherapy	therapeutic_agent	2	treatment_term.therapeutic_agent[2]	therapeutic_agent			cyclophosphamide	CHEBI:4026	cyclophosphamide		"{""preferred_term"": ""cyclophosphamide"", ""term"": {""id"": ""CHEBI:4026"", ""label"": ""cyclophosphamide""}}"
94	868	843	34	BRAF-Mutant Papillary Thyroid Cancer	BRAF_Mutant_Thyroid_Cancer.yaml	treatments	2	Dabrafenib Plus Trametinib	Combined BRAF inhibitor (dabrafenib) and MEK inhibitor (trametinib) is approved for BRAF V600E-mutant anaplastic thyroid cancer and shows activity in radioiodine-refractory differentiated thyroid cancer.	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	therapeutic_agent	0	treatment_term.therapeutic_agent[0]	therapeutic_agent			dabrafenib	CHEBI:75045	dabrafenib		"{""preferred_term"": ""dabrafenib"", ""term"": {""id"": ""CHEBI:75045"", ""label"": ""dabrafenib""}}"
95	868	843	34	BRAF-Mutant Papillary Thyroid Cancer	BRAF_Mutant_Thyroid_Cancer.yaml	treatments	2	Dabrafenib Plus Trametinib	Combined BRAF inhibitor (dabrafenib) and MEK inhibitor (trametinib) is approved for BRAF V600E-mutant anaplastic thyroid cancer and shows activity in radioiodine-refractory differentiated thyroid cancer.	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	therapeutic_agent	1	treatment_term.therapeutic_agent[1]	therapeutic_agent			trametinib	CHEBI:75998	trametinib		"{""preferred_term"": ""trametinib"", ""term"": {""id"": ""CHEBI:75998"", ""label"": ""trametinib""}}"
96	871	844	34	BRAF-Mutant Papillary Thyroid Cancer	BRAF_Mutant_Thyroid_Cancer.yaml	treatments	3	Lenvatinib or Sorafenib	Multi-kinase inhibitors approved for radioiodine-refractory differentiated thyroid cancer regardless of BRAF status. May be used when BRAF-targeted therapy is not available or has failed.	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	therapeutic_agent	0	treatment_term.therapeutic_agent[0]	therapeutic_agent			lenvatinib	CHEBI:85994	lenvatinib		"{""preferred_term"": ""lenvatinib"", ""term"": {""id"": ""CHEBI:85994"", ""label"": ""lenvatinib""}}"
113	928	909	38	BRCA-Mutant Prostate Cancer	BRCA_Mutant_Prostate_Cancer.yaml	treatments	0	Olaparib	PARP inhibitor approved for mCRPC with BRCA1/2 mutations (or other HRR gene alterations) after progression on enzalutamide or abiraterone. Exploits synthetic lethality in HRR-deficient tumors.	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	therapeutic_agent	0	treatment_term.therapeutic_agent[0]	therapeutic_agent			olaparib	CHEBI:83766	olaparib		"{""preferred_term"": ""olaparib"", ""term"": {""id"": ""CHEBI:83766"", ""label"": ""olaparib""}}"
114	930	910	38	BRCA-Mutant Prostate Cancer	BRCA_Mutant_Prostate_Cancer.yaml	treatments	1	Rucaparib	PARP inhibitor approved for BRCA1/2-mutated mCRPC after progression on androgen receptor-directed therapy and taxane-based chemotherapy.	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	therapeutic_agent	0	treatment_term.therapeutic_agent[0]	therapeutic_agent			rucaparib	CHEBI:134689	rucaparib		"{""preferred_term"": ""rucaparib"", ""term"": {""id"": ""CHEBI:134689"", ""label"": ""rucaparib""}}"
