cluster,disease,gene_set,odds_ratio,ci_low,ci_high,p_value,p_adj_fdr,cluster_size,in_cluster_in_disease,in_cluster_not_disease,not_cluster_in_disease,not_cluster_not_disease,intersecting_genes,negative_control_disease
46,inflammatory bowel disease,downstream_Stim8hr,2.893395395630753,1.6048339721217686,4.967888273956992,0.00028248804242107616,0.004802296721158295,100,18.0,82.0,224.0,2954.0,"['GALC', 'MBD2', 'KCTD20', 'SEH1L', 'UBL3', 'FOXO1', 'TRABD2A', 'SP140L', 'FOSL2', 'ATP2A2', 'JAK2', 'F5', 'WDR36', 'RNASET2', 'C8orf33', 'ARPC2', 'HECW2', 'INPP5A']",False
38,autoimmune disease,downstream_Stim8hr,2.22189572669999,1.4100521987094288,3.446412930647298,0.0002970335360045125,0.005049570112076713,100,34.0,66.0,598.0,2580.0,"['PHLDA1', 'IL21R', 'AGPAT2', 'NCK2', 'GSE1', 'PDE4A', 'SELL', 'CD69', 'AHI1', 'MUC1', 'MBIP', 'ANXA11', 'NR3C1', 'ACTN1', 'RNF145', 'RASSF3', 'SLC43A3', 'LEF1', 'TNFAIP8', 'NEK6', 'APBB1IP', 'FKBP5', 'ZBTB21', 'FYN', 'STMN3', 'STAT5B', 'GNG2', 'PKIA', 'ITGAL', 'PRDM1', 'CCR5', 'GRAP2', 'TMEM131L', 'IL7R']",False
31,age-related macular degeneration,downstream_Stim48hr,7.986287428540741,2.5982230938028485,20.800199898723143,0.00029756314285289226,0.005058573428499169,100,6.0,94.0,23.0,2883.0,"['OAS3', 'NUDC', 'OAS1', 'CD55', 'IFNAR2', 'VEGFA']",True
64,type 1 diabetes mellitus,downstream_Stim8hr,4.007848221049551,1.8689423495787891,7.846476594261559,0.000305313774841564,0.005190334172306588,100,11.0,89.0,95.0,3083.0,"['IL10', 'PTGER4', 'CD44', 'PTPN22', 'TNFAIP3', 'CD69', 'CDK1', 'DNAJB9', 'NUDT1', 'ZFAND3', 'CCR2']",False
83,rheumatoid arthritis,downstream_Stim8hr,2.636467303744057,1.4409990378251671,4.573792709761712,0.0010018963334821535,0.005677412556398869,100,17.0,83.0,229.0,2949.0,"['CBLB', 'IRF8', 'PTPN22', 'TNFAIP3', 'IL21R', 'ANK3', 'RNF19A', 'HCFC1', 'IL7R', 'EGR2', 'CDC42EP3', 'FADS2', 'NDFIP1', 'ADAT2', 'IL13', 'ZMAT3', 'STAT3']",False
89,atopic eczema,downstream_Stim48hr,4.003455736315174,1.7042199472990744,8.377279944940959,0.0010328235746525623,0.005852666923031186,100,9.0,91.0,70.0,2836.0,"['LRRC32', 'CHD7', 'DDX6', 'CSF2', 'BCL2L11', 'NFKBIA', 'IL7R', 'DOK2', 'SATB1']",False
59,ulcerative colitis,downstream_Stim8hr,3.147809161646805,1.4774017368492571,6.110902315605422,0.0018447130550445908,0.006112791665889817,100,11.0,89.0,120.0,3058.0,"['IL10', 'IRF8', 'FAS', 'RASGRP1', 'FOSL2', 'REL', 'PRDM1', 'REXO2', 'NPEPPS', 'CD28', 'BACH2']",False
59,psoriasis,downstream_Stim8hr,3.1207943205379407,1.465021357072016,6.056849067044821,0.001961874171415792,0.006112791665889817,100,11.0,89.0,121.0,3057.0,"['IL10', 'IRF8', 'FAS', 'RASGRP1', 'FOSL2', 'REL', 'PRDM1', 'CWF19L1', 'NPEPPS', 'CD28', 'BACH2']",False
59,multiple sclerosis,downstream_Stim8hr,3.2821722598167073,1.4788885967792382,6.561455346943984,0.002157455882078759,0.006112791665889817,100,10.0,90.0,104.0,3074.0,"['RRAS2', 'IRF8', 'CXCR4', 'REL', 'TIAM1', 'IFI30', 'NPEPPS', 'CD28', 'MICOS10', 'BACH2']",False
59,Crohn's disease,downstream_Stim8hr,3.2899252628535565,1.5424483303030025,6.395722143710133,0.0013415271107491366,0.006112791665889817,100,11.0,89.0,115.0,3063.0,"['IL10', 'IRF8', 'FAS', 'RASGRP1', 'FOSL2', 'PRDM1', 'NPEPPS', 'CD28', 'DUSP5', 'BACH2', 'SPATS2L']",False
83,autoimmune disease,downstream_Stim8hr,2.0214391077531677,1.2722587570405932,3.1533110147230072,0.0014515764111136095,0.006169199747232841,100,32.0,68.0,600.0,2578.0,"['CBLB', 'IRF8', 'TNFAIP3', 'IL21R', 'ADGRE5', 'ADAT2', 'FEN1', 'ZMAT3', 'DUSP5', 'STAT3', 'ANK3', 'RNF19A', 'CD69', 'EGR2', 'CSK', 'TMSB4X', 'CD109', 'ACTB', 'CD44', 'NR4A3', 'C12orf75', 'HCFC1', 'IL13', 'CDC42EP3', 'FADS2', 'PTPN22', 'KLF6', 'JARID2', 'F5', 'NDFIP1', 'IL7R', 'ZEB2']",False
83,ulcerative colitis,downstream_Stim8hr,3.147809161646805,1.4774017368492571,6.110902315605422,0.0018447130550445908,0.006272024387151609,100,11.0,89.0,120.0,3058.0,"['ACTB', 'IRF8', 'PTPN22', 'TNFAIP3', 'NR4A3', 'ANK3', 'RNF19A', 'EGR2', 'NDFIP1', 'FADS2', 'STAT3']",False
100,inflammatory bowel disease,downstream_Stim8hr,2.4869999046440796,1.3364320702730448,4.36731885457793,0.0022821003061367215,0.006465950867387377,100,16.0,84.0,226.0,2952.0,"['PIM3', 'IRF8', 'ZEB2', 'PTPN22', 'IL21R', 'RNF19A', 'VSIR', 'GNB2', 'IL18RAP', 'REL', 'EGR2', 'ETS1', 'CD200', 'CD226', 'ADO', 'BACH2']",False
77,ankylosing spondylitis,downstream_Stim8hr,3.6295085732847583,1.7561937371616334,6.907994163216228,0.0003890196481564218,0.006613334018659171,100,12.0,88.0,115.0,3063.0,"['SMAD2', 'PRKCB', 'BHLHE40', 'PATJ', 'FOSL2', 'ERN1', 'ETS1', 'NDFIP1', 'ABTB3', 'FRMD4B', 'CA11', 'SATB1']",False
79,systemic lupus erythematosus,downstream_Stim8hr,3.042362249441938,1.4290490061064625,5.9000759272599,0.0023503779687185982,0.006659404244702695,100,11.0,89.0,124.0,3054.0,"['SH2B3', 'TRIB2', 'IRF8', 'RYBP', 'IKBKE', 'TNIP2', 'STAT4', 'TCF7', 'CTLA4', 'JADE2', 'CD83']",False
38,autoimmune disease,downstream_Rest,2.097504273428922,1.3241498636732252,3.2667359900389874,0.0008039001847554134,0.006833151570421014,100,33.0,67.0,531.0,2262.0,"['CTSH', 'IL21R', 'GSE1', 'PIK3R1', 'CD6', 'TRAT1', 'SATB1', 'PTGER4', 'FYB1', 'SELL', 'ITM2A', 'PREX1', 'RASSF3', 'CHD3', 'PLD3', 'LEF1', 'ETS2', 'TMEM71', 'IL12RB2', 'FKBP5', 'PRR5L', 'STMN3', 'DARS1', 'VMP1', 'GNG2', 'ATP5MG', 'KLF6', 'ETS1', 'PDE7A', 'LMAN1', 'CD28', 'TPP2', 'IGSF9B']",False
8,multiple sclerosis,downstream_Stim48hr,3.8202403115229195,1.7788797478036162,7.493342956798889,0.000454600247411994,0.007728204206003898,100,11.0,89.0,91.0,2815.0,"['IL2RA', 'CXCR4', 'PSMG1', 'TET2', 'BATF3', 'PHGDH', 'CLEC2D', 'CD28', 'PGD', 'SATB1', 'STAT3']",False
86,Crohn's disease,downstream_Stim48hr,3.294677429569048,1.6418615120725149,6.137647449012007,0.00055763525511435,0.00947979933694395,100,13.0,87.0,126.0,2780.0,"['ACTA2', 'RBM17', 'IL2RA', 'TNFAIP3', 'IL21R', 'FAS', 'SLC39A8', 'ETS1', 'TRIM22', 'FADS2', 'CREM', 'TAGAP', 'FADS1']",False
88,asthma,downstream_Stim48hr,2.562212641518753,1.3740171559484748,4.510652362342404,0.0017766862159998259,0.009538163110748565,100,16.0,84.0,201.0,2705.0,"['IL4', 'CD226', 'IL2', 'TNFSF11', 'RYBP', 'CXCR4', 'MYO3B', 'IL13', 'SESN1', 'FADS2', 'SYPL1', 'MAP4K4', 'IL5', 'PSMA4', 'SATB1', 'MYB']",False
88,ulcerative colitis,downstream_Stim48hr,2.9102617602563035,1.4123816888176375,5.517837467886937,0.0022442736731173095,0.009538163110748565,100,12.0,88.0,130.0,2776.0,"['STAT3', 'RYBP', 'PSMG1', 'PSAT1', 'CDKN1A', 'MYO3B', 'CD6', 'FADS2', 'IL2', 'SATB1', 'LITAF', 'APEH']",False
100,Crohn's disease,downstream_Stim8hr,2.9314081636407847,1.3245690282065412,5.838394783033171,0.00450487373364326,0.009626328138838517,100,10.0,90.0,116.0,3062.0,"['IRF8', 'PTPN22', 'IL21R', 'IL18RAP', 'EGR2', 'ETS1', 'CD200', 'CD226', 'ADO', 'BACH2']",False
100,celiac disease,downstream_Stim8hr,4.342095048069686,1.478780530596523,10.543144190126828,0.004530036771218125,0.009626328138838517,100,6.0,94.0,46.0,3132.0,"['PTPN22', 'IL18RAP', 'EGR2', 'ETS1', 'ADO', 'BACH2']",False
77,Crohn's disease,downstream_Stim8hr,3.2899252628535565,1.5424483303030025,6.395722143710133,0.0013415271107491366,0.011402980441367661,100,11.0,89.0,115.0,3063.0,"['PRKCB', 'SLC43A3', 'FOSL2', 'ATP2A2', 'TNFSF8', 'ERN1', 'ETS1', 'NDFIP1', 'CISD1', 'HDGF', 'SATB1']",False
26,ankylosing spondylitis,downstream_Stim48hr,3.3994424835474826,1.6435362405246468,6.476836071504819,0.0006775769737087379,0.011518808553048545,100,12.0,88.0,112.0,2794.0,"['SMURF1', 'IL2RA', 'HBS1L', 'PHLDA1', 'FUT8', 'SOCS3', 'SELL', 'GSE1', 'CD6', 'PSMB9', 'UBE2E3', 'FKBP5']",False
59,ankylosing spondylitis,downstream_Stim8hr,2.9054233770485274,1.3131025126803093,5.78504027891665,0.004767525241281926,0.011578275585970391,100,10.0,90.0,117.0,3061.0,"['IL10', 'IRF8', 'KIF7', 'FAS', 'RASGRP1', 'FOSL2', 'PRDM1', 'NPEPPS', 'CD28', 'BACH2']",False
35,ulcerative colitis,downstream_Stim48hr,3.214651941542658,1.6029225501895041,5.984111379062428,0.0006857382451517976,0.01165755016758056,100,13.0,87.0,129.0,2777.0,"['ATP10A', 'FKBP5', 'UST', 'RORC', 'TRABD2A', 'RIPK2', 'FADS2', 'DNMT3A', 'FADS1', 'PTPRK', 'IL23R', 'USP12', 'INPP5A']",False
111,atopic eczema,downstream_Stim8hr,3.8544843727859632,1.7288251038975933,7.752677928820928,0.0007214977017705673,0.012265460930099644,101,10.0,91.0,88.0,3089.0,"['TESPA1', 'IL2RA', 'IRF4', 'BATF3', 'REL', 'EGR2', 'NFKBIA', 'PRR5L', 'CCR7', 'CARD11']",False
93,autoimmune disease,downstream_Stim48hr,2.017976402211339,1.2748006409211594,3.1405901553040794,0.0013631278396304142,0.012405762862389246,100,33.0,67.0,570.0,2336.0,"['IL2RA', 'STK17B', 'TIAM1', 'CTH', 'LAG3', 'OAS1', 'STAT1', 'FYB1', 'SMAD3', 'IRF1', 'OAS3', 'ALOX5AP', 'CTLA4', 'STING1', 'ODC1', 'IL18R1', 'NCALD', 'NDUFV2', 'LTA', 'MX1', 'ARL4C', 'KIF2A', 'C12orf75', 'PSAT1', 'IFITM2', 'LMNA', 'FADS2', 'SYNE2', 'GRAP2', 'MAF', 'IL7R', 'ADA2', 'TYMP']",False
93,systemic lupus erythematosus,downstream_Stim48hr,3.2626425106501853,1.5261827634462,6.361487548664952,0.0014595015132222642,0.012405762862389246,100,11.0,89.0,106.0,2800.0,"['IL2RA', 'ARL4C', 'IRF1', 'SMAD3', 'OAS3', 'CTLA4', 'MAF', 'OAS1', 'IL7R', 'IL18R1', 'STAT1']",False
