gene_symbol	g2p_id	g2p_disease_name	g2p_disease_mondo	g2p_confidence	g2p_mechanism	g2p_reviewed_pmid_count	dismech_candidate_count	dismech_direct_candidate_count	best_dismech_match_class	best_dismech_file	best_dismech_disease_name	best_dismech_disease_mondo	best_match_reasons	best_shared_hpo_count	best_shared_section_reviewed_pmid_count	best_shared_disease_reviewed_pmid_count	related_direct_disorders	related_direct_match_count	row_status	curation_priority	curation_action	curation_note
ACTB	G2P00126	ACTB-related Baraitser-Winter syndrome	MONDO:0009470	definitive	gain of function	5	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACTB	G2P01977	ACTB-related haploinsufficiency syndrome		strong	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACTG1	G2P01638	ACTG1-related Baraitser-Winter syndrome	MONDO:0013812	definitive	gain of function	5	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACTG1	G2P02076	ACTG1-related isolated ocular coloboma		limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACTL6B	G2P02779	ACTL6B-related epileptic encephalopathy, early infantile	MONDO:0032768	definitive	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACTL6B	G2P02780	ACTL6B-related intellectual developmental disorder with severe speech and ambulation defects	MONDO:0032770	limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACTN2	G2P03717	ACTN2-related cardiac and skeletal myopathy	MONDO:0000591	definitive	undetermined	17	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACVR2B	G2P00465	ACVR2B-related heterotaxy syndrome	MONDO:0013403	limited	undetermined	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ACY1	G2P00909	ACY1-related aminoacylase 1 deficiency	MONDO:0012368	definitive	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADA	G2P00698	ADA-related adenosine deaminase deficiency	MONDO:0007064	definitive	loss of function	17	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADAM17	G2P03601	ADAM17-related inflammatory skin and bowel disease, neonatal	MONDO:0017411	definitive	undetermined	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADAM22	G2P03333	ADAM22-related developmental and epileptic encephalopathy	MONDO:0033370	strong	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADAM9	G2P01921	ADAM9-related cone-rod dystrophy	MONDO:0013002	definitive	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADAMTS10	G2P01947	ADAMTS10-related Weill-Marchesani syndrome	MONDO:0010194	definitive	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADAMTS15	G2P03420	ADAMTS15-related distal arthrogryposis	MONDO:0957819	moderate	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADAMTS17	G2P01948	ADAMTS17-related Weill-Marchesani-like syndrome	MONDO:0013176	strong	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADAMTS18	G2P02048	ADAMTS18-related microcornea, myopic chorioretinal atrophy, and telecanthus	MONDO:0014195	definitive	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADAMTS19	G2P03739	ADAMTS19-related cardiac valvular dysplasia	MONDO:0859572	strong	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADAMTS9	G2P02635	ADAMTS9-related nephronophthisis related ciliopathy	MONDO:0009728	strong	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADAMTSL1	G2P02347	ADAMTSL1-related syndromic congenital glaucoma		limited	dominant negative	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADAMTSL2	G2P02828	ADAMTSL2-related geleophysic dysplasia	MONDO:0009269	definitive	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADAMTSL4	G2P01949	ADAMTSL4-related ectopia lentis, isolated	MONDO:0009152	definitive	loss of function	6	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADAR	G2P01438	ADAR-related Aicardi-Goutieres syndrome associated with a type I interferon signature	MONDO:0014007	definitive	loss of function	4	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADAR	G2P02845	ADAR-related Aicardi-Goutieres syndrome associated with a type I interferon signature	MONDO:0014007	definitive	undetermined	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADAR	G2P00013	ADAR-related dyschromatosis symmetrica hereditaria	MONDO:0007483	definitive	loss of function	10	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADARB1	G2P02943	ADARB1-related microcephaly, intellectual disability, and seizures	MONDO:0030025	limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADCY5	G2P02885	ADCY5-related developmental disorder	MONDO:0700092	strong	undetermined	0	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADGRA3	G2P02123	ADGRA3-related non-syndromic retinitis pigmentosa	MONDO:0019200	limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADGRE2	G2P03629	ADGRE2-related vibratory urticaria	MONDO:0007447	limited	undetermined	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADGRG1	G2P00195	ADGRG1-related polymicrogyria		definitive	loss of function	8	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADGRG6	G2P01671	ADGRG6-related lethal congenital contracture syndrome	MONDO:0014670	definitive	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADGRV1	G2P01950	ADGRV1-related Usher syndrome	MONDO:0011558	strong	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADIPOR1	G2P01952	ADIPOR1-related syndromic retinitis pigmentosa		limited	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADK	G2P00813	ADK-related intellectual developmental disorder	MONDO:0100255	limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADNP	G2P01021	ADNP-related neurodevelopmental disorder (Helsmoortel-Van der Aa Syndrome)		definitive	loss of function	20	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADPRS	G2P02627	ADPRS-related neurodegeneration with developmental delay ataxia and axonal neuropathy	MONDO:0100095	strong	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADRA2B	G2P00688	ADRA2B-related intellectual developmental disorder	MONDO:0700092	limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
ADSL	G2P00673	ADSL-related adenylosuccinase deficiency		definitive	undetermined	5	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AEBP1	G2P03630	AEBP1-related Ehlers-Danlos syndrome, classic-like	MONDO:0054813	moderate	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AFF2	G2P00121	AFF2-related fragile X-E intellectual developmental disorder	MONDO:0010659	definitive	undetermined	16	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AFF3	G2P03581	AFF3-related intellectual disability	MONDO:0001071	moderate	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AFF3	G2P01978	AFF3-related KINSSHIP syndrome	MONDO:0851095	strong	undetermined	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AFF4	G2P01447	AFF4-related Cornelia de Lange-like syndrome		definitive	gain of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AFG2A	G2P01678	AFG2A-related epilepsy, hearing loss, and intellectual developmental disorder syndrome		definitive	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AFG2B	G2P03210	AFG2B-related sensorineural hearing loss and intellectual disability	MONDO:0859206	moderate	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AFG3L2	G2P03166	AFG3L2-related ataxia and seizures	MONDO:0013776	definitive	loss of function	5	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AGA	G2P00114	AGA-related aspartylglucosaminuria	MONDO:0008830	definitive	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AGBL1	G2P01984	AGBL1-related late-onset Fuchs corneal dystrophy	MONDO:0014228	limited	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AGBL5	G2P01953	AGBL5-related retinitis pigmentosa	MONDO:0014871	strong	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AGO1	G2P02852	AGO1-related developmental disorder	MONDO:0859531	strong	undetermined	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AGPAT2	G2P02670	AGPAT2-related lipodystrophy, congenital generalised	MONDO:0012071	definitive	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AGPAT3	G2P03533	AGPAT3-related intellectual disability and retinitis pigmentosa		limited	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AGPS	G2P00018	AGPS-related rhizomelic chondrodysplasia punctata	MONDO:0010823	definitive	loss of function	5	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AGTPBP1	G2P02989	AGTPBP1-related neurodegeneration, childhood-onset, with cerebellar atrophy	MONDO:0032650	definitive	loss of function	4	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AGXT	G2P01307	AGXT-related hyperoxaluria, primary	MONDO:0009823	definitive	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AHDC1	G2P01588	AHDC1-related Xia-Gibbs syndrome	MONDO:0014358	definitive	loss of function	19	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AHR	G2P02427	AHR-related retinitis pigmentosa	MONDO:0032689	limited	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AIFM1	G2P01641	AIFM1-related combined oxidative phosphorylation deficiency		strong	undetermined	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AIMP1	G2P01336	AIMP1-related leukodystrophy, hypomyelinating	MONDO:0009843	strong	loss of function	1	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AIP	G2P03367	AIP-related pituitary adenoma predisposition	MONDO:0007052	definitive	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AIPL1	G2P00956	AIPL1-related Leber congenital amaurosis	MONDO:0011458	definitive	loss of function	3	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
AK2	G2P00982	AK2-related reticular dysgenesis	MONDO:0009973	definitive	loss of function	2	0	0						0	0	0		0	NO_DISMECH_MATCH	CRITICAL	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.
