cosine	suggested_conforms_to	node	nearest_labelled_node
0.946	fibrotic_response#Mesenchymal Cell Activation	Systemic_Sclerosis::Fibroblast Activation and Fibrosis	IgG4-Related_Disease::Storiform Fibrosis
0.945	meiotic_prophase_failure#Homologous Recombination Repair of Meiotic DNA Breaks	Bloom_Syndrome::Excessive homologous recombination	MCM9-related_gametogenic_failure::Impaired homologous recombination
0.942	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	MET_Exon_14_Skipping_NSCLC::Prolonged MET Signaling	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.942	ciliopathy_dysfunction#Basal Body and Transition Zone Dysfunction	Meckel_Syndrome::Defective cilia formation across multiple tissues	Meckel_Syndrome::Basal body localization without proper ciliogenesis
0.940	fgfr_gain_of_function_skeletal_dysplasia#Premature Suture Fusion and Craniosynostosis	Osteoglophonic_Dysplasia::Premature Cranial Suture Fusion	Crouzon_Syndrome::Premature cranial suture fusion
0.938	ciliopathy_dysfunction#Photoreceptor Connecting Cilium Degeneration	Stargardt_Disease::Secondary macular photoreceptor degeneration	Alstrom_Syndrome::Photoreceptor Degeneration
0.934	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Metaphyseal_Chondrodysplasia_Schmid_Type::PERK-Mediated Disruption of Chondrocyte Differentiation	Achondroplasia::MAPK-mediated inhibition of chondrocyte differentiation
0.933	cardiac_ion_channel_repolarization#Arrhythmogenic Substrate and Triggered Activity	Left_Ventricular_Noncompaction::Arrhythmogenic myocardial substrate	Timothy_Syndrome::Early afterdepolarizations and arrhythmogenic substrate
0.932	dna_repair_synthetic_lethality#Restored HRR and Acquired Resistance	BRCA_Mutant_Prostate_Cancer::BRCA Reversion-Mediated PARP Resistance	Ovarian_High-Grade_Serous_Carcinoma::BRCA Reversion and Restored HRR Resistance
0.931	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	SADDAN::Constitutive FGFR3 kinase activity	Thanatophoric_Dysplasia_Type_2::Constitutive FGFR3 kinase activation by K650E
0.931	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Opsismodysplasia::Impaired chondrocyte differentiation and endochondral ossification	Thanatophoric_Dysplasia_Type_1::Impaired chondrocyte hypertrophy and differentiation
0.929	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Beta_Thalassemia::Chronic Hemolysis	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.928	cardiomyopathy_maladaptive_remodeling#Ventricular Remodeling	Hypertensive_Heart_Disease::Cardiac Fibrosis	Dilated_Cardiomyopathy::Myocardial Fibrosis
0.927	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Noonan_Syndrome::Growth Plate Chondrocyte Differentiation Defect	Achondroplasia::MAPK-mediated inhibition of chondrocyte differentiation
0.923	meiotic_prophase_failure#Homologous Recombination Repair of Meiotic DNA Breaks	Fanconi_Anemia::Homologous Recombination Impairment	HROB-related_gametogenic_failure::Impaired homologous recombination
0.922	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	EGFR_Mutant_NSCLC::Constitutive EGFR Signaling	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.922	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Metatropic_Dysplasia::SOX9-Mediated Blocked Terminal Chondrocyte Differentiation	Achondroplasia::MAPK-mediated inhibition of chondrocyte differentiation
0.922	gout_urate_crystal_inflammation#NLRP3 Inflammasome Activation	Seborrheic_Dermatitis::NLRP3 inflammasome activation	Gout::Inflammasome Activation
0.922	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Glioblastoma_IDH_Wildtype::EGFR/MET Pathway Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.921	immune_checkpoint_blockade#Adaptive Immune Resistance	Hepatitis_B::Immune Evasion and T Cell Exhaustion	Plasma_Cell_Neoplasm::Immune Evasion and T-Cell Exhaustion
0.920	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Testicular_Germ_Cell_Tumor::KIT/RAS Signaling Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.919	immune_checkpoint_blockade#Adaptive Immune Resistance	Anaplastic_Large_Cell_Lymphoma::PD-L1-Mediated Immune Evasion	Classic_Hodgkin_Lymphoma::PD-1 Ligand-Mediated Immune Evasion
0.919	aortopathy_tgfbeta_dysregulation#TGF-beta Signaling Dysregulation	Geleophysic_Dysplasia::TGF-beta and SMAD signaling dysregulation	Familial_Thoracic_Aortic_Aneurysm_and_Aortic_Dissection::TGF-beta signaling dysregulation
0.915	hypothyroidism_thyroid_hormone_deficiency#Thyroid Hormone Insufficiency	Central_Congenital_Hypothyroidism::Reduced Thyroid Hormone Generation	Congenital_Hypothyroidism::Defective Thyroid Hormone Biosynthesis
0.915	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Alpha_Thalassemia::Chronic Hemolytic Anemia	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.914	hypothyroidism_thyroid_hormone_deficiency#Thyroid Hormone Insufficiency	Graves_Disease::Thyroid Overactivity	Congenital_Hypothyroidism::Defective Thyroid Hormone Biosynthesis
0.913	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Drug_or_Toxin-Induced_Pulmonary_Arterial_Hypertension::Pulmonary vascular remodeling and increased resistance	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.913	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Omodysplasia::Impaired chondrocyte proliferation and long bone growth	SADDAN::Severe disturbances in endochondral bone growth
0.912	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	RET_Rearranged_NSCLC::Constitutive RET Signaling	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.912	epilepsy_excitation_inhibition_imbalance#Excitation-Inhibition Imbalance	Jeavons_Syndrome::Neuronal Hyperexcitability	Epilepsy::Neuronal Hyperexcitability
0.912	cardiac_ion_channel_repolarization#Sinoatrial Node Pacemaker Dysfunction	Sinoatrial_Block::Sinoatrial Exit Block	Familial_Sick_Sinus_Syndrome::Heritable Sinoatrial Node Pacemaker Dysfunction
0.911	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Osteoglophonic_Dysplasia::FGFR1 Constitutive Activation	Thanatophoric_Dysplasia_Type_2::Constitutive FGFR3 kinase activation by K650E
0.911	aortopathy_tgfbeta_dysregulation#TGF-beta Signaling Dysregulation	Myhre_Syndrome::SMAD4 Gain-of-Function Variants Dysregulating TGF-beta/BMP Signaling	Loeys-Dietz_Syndrome::Paradoxical TGF-beta Signaling
0.911	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	Uveal_Melanoma::PKC-MAPK Pathway Activation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.911	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	KRAS_G12C_Mutant_NSCLC::Constitutive RAS Signaling	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.910	fibrotic_response#Mesenchymal Cell Activation	Hypersensitivity_Pneumonitis::Fibrotic remodeling of interstitial lung architecture	Sarcoidosis::Fibrotic Tissue Remodeling
0.909	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Esophageal_Adenocarcinoma::Copy-Number Driven Oncogenic Signaling	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.909	fibrotic_response#Mesenchymal Cell Activation	Arsenic_Poisoning::Hepatic Stellate Cell Activation	Hepatic_Veno-occlusive_Disease-Immunodeficiency_Syndrome::Hepatic stellate cell activation and fibrotic remodeling
0.909	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	FGFR_Altered_Cholangiocarcinoma::MAPK Pathway Activation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.909	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	HER2_Positive_Colorectal_Cancer::MAPK Pathway Activation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.909	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	HER2_Positive_Gastric_Cancer::MAPK Pathway Activation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.909	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	KIT_Mutant_Melanoma::MAPK Pathway Activation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.909	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Spondylometaphyseal_Dysplasia_Kozlowski_Type::Dysregulated Calcium Homeostasis Disrupts Chondrocyte Differentiation	Achondroplasia::MAPK-mediated inhibition of chondrocyte differentiation
0.907	cardiomyopathy_maladaptive_remodeling#Ventricular Remodeling	Hypertrophic_Cardiomyopathy::Myocardial Fibrosis	Dilated_Cardiomyopathy::Myocardial Fibrosis
0.907	fibrotic_response#Mesenchymal Cell Activation	Focal_Segmental_Glomerulosclerosis::Tubulointerstitial Fibrosis	IgG4-Related_Disease::Storiform Fibrosis
0.907	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Kabuki_Syndrome::Chondrocyte differentiation defect	Thanatophoric_Dysplasia_Type_1::Impaired chondrocyte hypertrophy and differentiation
0.907	glaucoma_optic_neuropathy#Retinal Ganglion Cell Apoptosis	Sialidosis_Type_1::Retinal ganglion cell layer storage	Glaucoma::Retinal Ganglion Cell Death
0.903	cerebellar_purkinje_degeneration#Purkinje Neuron Degeneration	Autosomal_Recessive_Ataxia_Beauce_Type::Cerebellar Neurodegeneration and Atrophy	Autosomal_Dominant_Cerebellar_Ataxia_Type_III::Purkinje Cell Degeneration and Cerebellar Cortical Atrophy
0.901	somatotroph_camp_pka_overactivation#Increased growth hormone secretion	AIP-related_pituitary_adenoma_predisposition::Altered ligand-dependent growth hormone secretion	GNAS-related_pituitary_adenoma_3::Increased growth hormone secretion
0.901	immune_checkpoint_blockade#Adaptive Immune Resistance	Chronic_Myelomonocytic_Leukemia::Immune Tolerance and T-Cell Exhaustion	Plasma_Cell_Neoplasm::Immune Evasion and T-Cell Exhaustion
0.900	cardiac_ion_channel_repolarization#Sinoatrial Node Pacemaker Dysfunction	Sinoatrial_Block::Intrinsic Sinus Node Remodeling	RYR2_CPVT::Sinoatrial Node Dysfunction
0.899	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Pulmonary_hypertension::Vascular Remodeling	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.899	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Triple_Negative_Breast_Cancer::Alternative Oncogenic Pathways	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.899	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	2q37_Microdeletion_Syndrome::Skeletal development dysregulation	Achondroplasia::MAPK-mediated inhibition of chondrocyte differentiation
0.899	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Spondyloepiphyseal_Dysplasia_Congenita::Impaired Growth Plate Organization	Achondroplasia::Impaired growth plate cartilage development
0.898	fibrotic_response#Mesenchymal Cell Activation	Mycosis_Fungoides::Cancer-Associated Fibroblast Matrix Remodeling	Sarcoidosis::Fibrotic Tissue Remodeling
0.898	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Acromesomelic_Dysplasia_Maroteaux_Type::Reduced Longitudinal Bone Growth	SADDAN::Severe disturbances in endochondral bone growth
0.897	meiotic_prophase_failure#Homologous Recombination Repair of Meiotic DNA Breaks	Hereditary_Breast_and_Ovarian_Cancer_Syndrome::Homologous Recombination Deficiency	MCM9-related_gametogenic_failure::Impaired homologous recombination
0.897	cardiac_ion_channel_repolarization#Cardiac Ion-Channel or Calcium-Handling Variant	Atrial_Standstill::SCN5A Sodium-Channel Loss of Function	Familial_Sick_Sinus_Syndrome::SCN5A Sodium Current Loss of Function
0.897	ciliopathy_dysfunction#Photoreceptor Connecting Cilium Degeneration	Acute_Annular_Outer_Retinopathy::Acute outer retinal photoreceptor injury	Bardet-Biedl_Syndrome::Photoreceptor outer-segment transport defect
0.897	hypothyroidism_thyroid_hormone_deficiency#Thyroid Hormone Insufficiency	Myxedema::Severe Thyroid Hormone Deficiency	Congenital_Hypothyroidism::Defective Thyroid Hormone Biosynthesis
0.896	ciliopathy_dysfunction#Impaired Hedgehog Signal Transduction	Ellis-van_Creveld_Syndrome::Hedgehog Signaling Disruption	Short-Rib_Polydactyly_Syndrome::Hedgehog Signaling Disruption in Skeletal Development
0.895	ciliopathy_dysfunction#Photoreceptor Connecting Cilium Degeneration	PRPH2-Related_Retinopathy::Photoreceptor outer segment morphogenesis and maintenance failure	Alstrom_Syndrome::Photoreceptor Degeneration
0.895	hypothyroidism_thyroid_hormone_deficiency#Thyroid Hormone Insufficiency	Hashimotos_Thyroiditis::Thyroid Hormone Deficiency	Congenital_Hypothyroidism::Defective Thyroid Hormone Biosynthesis
0.894	fibrotic_response#Mesenchymal Cell Activation	Eosinophilic_Esophagitis::Esophageal Fibrosis and Remodeling	Sarcoidosis::Fibrotic Tissue Remodeling
0.894	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Metatropic_Dysplasia::Disrupted Endochondral Ossification and Chondrocyte Differentiation	Hypochondroplasia::Impaired endochondral ossification
0.894	neural_crest_melanocyte_deficiency#Melanoblast Migration and Survival Defect	Transient_Neonatal_Pustular_Melanosis::Melanocyte Activation	SOX10_Neurocristopathy_Spectrum::Melanocyte lineage failure
0.894	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Chordoma::PI3K Pathway Alterations	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.893	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	KBG_Syndrome::Impaired Growth Plate Chondrocyte Differentiation	Achondroplasia::MAPK-mediated inhibition of chondrocyte differentiation
0.893	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Hereditary_Elliptocytosis::Shortened Red Cell Survival and Hemolysis	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.893	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Osteoglophonic_Dysplasia::Impaired Endochondral Ossification	Hypochondroplasia::Impaired endochondral ossification
0.892	neural_crest_melanocyte_deficiency#Cutaneous Hair and Iris Melanocyte Deficiency	MITF_Waardenburg_Tietz_Spectrum::Melanocyte Deficiency	PAX3_Waardenburg_Spectrum::Cutaneous hair and iris melanocyte deficiency
0.892	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	ALK_Rearranged_NSCLC::Constitutive ALK Signaling	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.891	fibrotic_response#Mesenchymal Cell Activation	Ehlers-Danlos_Syndrome_COL5A1-related::Connective Tissue Fragility	Sarcoidosis::Fibrotic Tissue Remodeling
0.890	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Lafora_Disease::Neurodegeneration	Machado_Joseph_Disease::Multifocal neurodegeneration
0.890	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Fragile_X-Associated_Tremor_Ataxia_Syndrome::Mitochondrial dysfunction and oxidative stress	Huntington_Disease::Mitochondrial Dysfunction
0.890	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Fibrodysplasia_Ossificans_Progressiva::Heterotopic Ossification	Hypochondroplasia::Impaired endochondral ossification
0.889	cardiac_ion_channel_repolarization#Altered Action Potential and Calcium Handling	Central_Core_Myopathy::Abnormal RyR1 calcium release channel function	RYR2_CPVT::RYR2 Gain-of-Function Calcium Leak
0.888	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Kufor-Rakeb_syndrome::Progressive Neurodegeneration	Machado_Joseph_Disease::Multifocal neurodegeneration
0.888	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Atelosteogenesis_Type_I::Disrupted Growth Plate Chondrocyte Maturation	Achondroplasia::Impaired growth plate cartilage development
0.886	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Hypochondroplasia::Cranial base synchondrosis dysfunction	Hypochondroplasia::Impaired endochondral ossification
0.885	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Anaplastic_Thyroid_Carcinoma::PI3K-AKT Survival Signaling	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.885	neural_crest_melanocyte_deficiency#Stria Vascularis Melanocyte Deficiency	MITF_Waardenburg_Tietz_Spectrum::Cochlear Melanocyte Absence	PAX3_Waardenburg_Spectrum::Stria vascularis melanocyte deficiency
0.885	cerebellar_purkinje_degeneration#Purkinje Cell Calcium and Proteostasis Dysregulation	Autosomal_Dominant_Cerebellar_Ataxia_Type_III::Purkinje Cell Calcium Dysregulation	Spinocerebellar_Ataxia_Type_17::Cerebellar INPP5A loss drives Purkinje cell vulnerability
0.883	fame_pentanucleotide_repeat_rna_toxicity#Cortical Hyperexcitability and Seizure Susceptibility	UNC13A_Congenital_NDD_with_Epilepsy::Cortical Hyperexcitability	Pentanucleotide_Repeat_Familial_Adult_Myoclonus_Epilepsy::Cortical hyperexcitability and seizure susceptibility
0.882	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Esophageal_Squamous_Cell_Carcinoma::PI3K/AKT Signaling Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.882	cardiomyopathy_maladaptive_remodeling#Ventricular Remodeling	Alstrom_Syndrome::Cardiac Fibroelastotic Remodeling	Dilated_Cardiomyopathy::Myocardial Fibrosis
0.882	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Alveolar_Rhabdomyosarcoma::FGFR-Driven RTK Signaling	Thanatophoric_Dysplasia_Type_2::Constitutive FGFR3 kinase activation by K650E
0.881	cardiac_ion_channel_repolarization#Altered Action Potential and Calcium Handling	Malignant_Hyperthermia_of_Anesthesia::Trigger-dependent RyR1 calcium dysregulation	RYR2_CPVT::RYR2 Gain-of-Function Calcium Leak
0.881	immune_checkpoint_blockade#Adaptive Immune Resistance	Laryngeal_Squamous_Cell_Carcinoma::Immunosuppressive Tumor Microenvironment	Anaplastic_Thyroid_Carcinoma::Adaptive Immune Resistance and Immunosuppressive Microenvironment
0.880	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Diastrophic_Dysplasia::FGFR3 Overactivation in Chondrocytes	Achondroplasia::FGFR3 gain-of-function signaling
0.880	fibrotic_response#Mesenchymal Cell Activation	Liver_Cirrhosis::TGF-beta Signaling in Fibrogenesis	Hepatic_Fibrinogen_Storage_Disease::Hepatic Stellate Cell Activation
0.879	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Prostate_Adenocarcinoma::Signaling Bypass and Castration Resistance	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.878	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	ROS1_Rearranged_NSCLC::Constitutive ROS1 Signaling	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.878	cardiac_ion_channel_repolarization#Sinoatrial Node Pacemaker Dysfunction	Sinoatrial_Block::Sinoatrial Node Signaling Dysregulation	RYR2_CPVT::Sinoatrial Node Dysfunction
0.877	immune_checkpoint_blockade#Adaptive Immune Resistance	Metastatic_Ovarian_Cancer::Immune Evasion	Laryngeal_Squamous_Cell_Carcinoma::Immune Evasion
0.877	immune_checkpoint_blockade#Adaptive Immune Resistance	Metastatic_Renal_Cell_Carcinoma::Immune Evasion	Laryngeal_Squamous_Cell_Carcinoma::Immune Evasion
0.877	er_protein_storage_disease#Hepatic Protein Aggregation	Parkinsons_Disease::Endoplasmic Reticulum Stress	Alpha_1_Antitrypsin_Deficiency::Hepatic Protein Aggregation
0.877	rtk_grb2_signaling_adaptation#Activated RTK Phosphotyrosine Docking	Chordoma::Receptor Tyrosine Kinase Signaling Activation	HER2_Positive_Breast_Cancer::Constitutive Receptor Activation
0.877	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Chronic_Myeloid_Leukemia::PI3K-AKT Pathway Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.877	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	FGFR_Altered_Cholangiocarcinoma::PI3K-AKT Pathway Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.877	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	FGFR_Altered_Urothelial_Carcinoma::PI3K-AKT Pathway Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.877	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Gastrointestinal_Stromal_Tumor::PI3K-AKT Pathway Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.877	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	HER2_Positive_Colorectal_Cancer::PI3K-AKT Pathway Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.877	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	HER2_Positive_Gastric_Cancer::PI3K-AKT Pathway Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.877	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Medullary_Thyroid_Carcinoma::PI3K-AKT Pathway Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.877	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	NTRK_Fusion_Positive_Cancer::PI3K-AKT Pathway Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.877	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	RET_Fusion_Thyroid_Cancer::PI3K-AKT Pathway Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.877	er_protein_storage_disease#Hepatic Protein Aggregation	Hepatic_Fibrinogen_Storage_Disease::ER Stress and Impaired Proteostasis	Alpha_1_Antitrypsin_Deficiency::Hepatic Protein Aggregation
0.876	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Apert_Syndrome::FGF2 autocrine loop and constitutive FGFR2 activation	Thanatophoric_Dysplasia_Type_2::Constitutive FGFR3 kinase activation by K650E
0.876	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	FGFR_Altered_Urothelial_Carcinoma::RAS-MAPK Pathway Activation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.876	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	Gastrointestinal_Stromal_Tumor::RAS-MAPK Pathway Activation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.876	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	Medullary_Thyroid_Carcinoma::RAS-MAPK Pathway Activation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.876	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	NTRK_Fusion_Positive_Cancer::RAS-MAPK Pathway Activation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.876	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	RET_Fusion_Thyroid_Cancer::RAS-MAPK Pathway Activation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
