name	anchor_state	mondo_id	stored_label	oak_flag	mondo_mapping_preds	shared_anchor_n
Adult_Neuronal_Ceroid_Lipofuscinosis	MONDO	MONDO:0019260	adult neuronal ceroid lipofuscinosis			1
Adult_Onset_Dystonia_Parkinsonism	MONDO	MONDO:0013060	autosomal recessive Parkinson disease 14			1
Adult_Onset_Foveomacular_Vitelliform_Dystrophy	MONDO	MONDO:0011979	adult-onset foveomacular vitelliform dystrophy			1
Adult_Polyglucosan_Body_Disease	MONDO	MONDO:0009897	adult polyglucosan body disease			1
Adult_Refsum_Disease	MONDO	MONDO:0009958	adult Refsum disease			1
Adult_T_Cell_Leukemia_Lymphoma	MONDO	MONDO:0019471	adult T-cell leukemia/lymphoma			1
Aflatoxin_Related_HCC	MONDO	MONDO:0007256	hepatocellular carcinoma			3
Age_Related_Macular_Degeneration	MONDO	MONDO:0005150	age-related macular degeneration			1
Agenesis_of_the_Corpus_Callosum_with_Peripheral_Neuropathy	MONDO	MONDO:0000902	agenesis of the corpus callosum with peripheral neuropathy		exactMatch:1	1
Aggressive_NK-cell_Leukemia	MONDO	MONDO:0019470	aggressive NK-cell leukemia			1
Aicardi_Goutieres_Syndrome	MONDO	MONDO:0018866	Aicardi-Goutieres syndrome			1
Aicardi_Syndrome	MONDO	MONDO:0010568	Aicardi syndrome			1
Ainhum	MONDO	MONDO:0007074	ainhum			1
Akinetopsia	MONDO	MONDO:0000660	akinetopsia			1
Alagille_syndrome	MONDO	MONDO:0007318	Alagille syndrome		exactMatch:1	1
Aland_Island_Eye_Disease	MONDO	MONDO:0010371	Aland island eye disease			1
Alcoholic_Liver_Disease	MONDO	MONDO:0043693	alcoholic liver disease			1
Alexander_Disease	MONDO	MONDO:0008752	Alexander disease		exactMatch:1	1
Alkaptonuria	MONDO	MONDO:0008753	alkaptonuria		exactMatch:1	1
Allergic_Cutaneous_Vasculitis	MONDO	MONDO:0001290	allergic cutaneous vasculitis			1
Allopurinol_Induced_SJS_TEN	MONDO	MONDO:0044739	Stevens-Johnson syndrome/toxic epidermal necrolysis overlap syndrome		closeMatch:1	1
Alopecia_Areata	MONDO	MONDO:0005340	alopecia areata			1
Alpha-gal_Syndrome	MONDO	MONDO:0100001	alpha-gal syndrome			1
Alpha_1_Antitrypsin_Deficiency	MONDO	MONDO:0013282	alpha 1-antitrypsin deficiency			1
Alpha_Mannosidosis	MONDO	MONDO:0009561	alpha-mannosidosis		exactMatch:1	1
Alpha_Thalassemia	MONDO	MONDO:0011399	alpha thalassemia spectrum			1
Alport_Syndrome	MONDO	MONDO:0018965	Alport syndrome			1
Alsahan-Harris_Syndrome	MONDO	MONDO:0979871	Alsahan-Harris syndrome		exactMatch:1	1
Alstrom_Syndrome	MONDO	MONDO:0008763	Alstrom syndrome			1
Alternating_Hemiplegia_of_Childhood	MONDO	MONDO:0016241	alternating hemiplegia of childhood			1
Alveolar_Rhabdomyosarcoma	MONDO	MONDO:0009994	alveolar rhabdomyosarcoma			1
Alveolar_Soft_Part_Sarcoma	MONDO	MONDO:0011655	alveolar soft part sarcoma			1
Alzheimer_Disease	MONDO	MONDO:0004975	Alzheimer disease			1
Ameloblastoma	MONDO	MONDO:0017795	ameloblastoma			1
Amelogenesis_Imperfecta	MONDO	MONDO:0019507	amelogenesis imperfecta			1
Aminoacylase_1_Deficiency	MONDO	MONDO:0012368	aminoacylase 1 deficiency			1
Amniotic_Band_Syndrome	MONDO	MONDO:0015167	amniotic band syndrome		exactMatch:1	1
Amyloidosis	MONDO	MONDO:0019065	amyloidosis			1
Amyotrophic_Lateral_Sclerosis-Parkinsonism-Dementia_Complex	MONDO	MONDO:0007104	amyotrophic lateral sclerosis-parkinsonism-dementia complex			1
Amyotrophic_Lateral_Sclerosis	MONDO	MONDO:0004976	amyotrophic lateral sclerosis			1
Anal_Canal_Adenocarcinoma	MONDO	MONDO:0002735	anal canal adenocarcinoma			1
Anal_Canal_Carcinoma	MONDO	MONDO:0007108	anal canal carcinoma			1
Anaplastic_Large_Cell_Lymphoma	MONDO	MONDO:0020325	anaplastic large cell lymphoma		exactMatch:1	1
Anaplastic_Thyroid_Carcinoma	MONDO	MONDO:0006468	thyroid gland undifferentiated (anaplastic) carcinoma		exactMatch:1	1
Aneurysm-Osteoarthritis_Syndrome	MONDO	MONDO:0013426	aneurysm-osteoarthritis syndrome		exactMatch:1	1
Angelman_Syndrome	MONDO	MONDO:0007113	Angelman syndrome		exactMatch:1	1
Angiosarcoma	MONDO	MONDO:0016982	angiosarcoma		exactMatch:1	1
Ankylosing_Spondylitis	MONDO	MONDO:0005306	ankylosing spondylitis			1
Anorexia_Nervosa	MONDO	MONDO:0005351	anorexia nervosa			1
Anterior_Spinal_Artery_Syndrome	MONDO	MONDO:0006650	anterior spinal artery syndrome			1
Anti-GBM_Disease	MONDO	MONDO:0009303	anti-glomerular basement membrane disease			1
Anti-NMDA_Receptor_Encephalitis	MONDO	MONDO:0021081	anti-NMDA receptor encephalitis			1
Antiphospholipid_Syndrome	MONDO	MONDO:8000010	antiphospholipid syndrome			1
Antisynthetase_Syndrome	MONDO	MONDO:0019344	antisynthetase syndrome			1
Aortic_Valve_Disease_2	MONDO	MONDO:0013902	aortic valve disease 2		exactMatch:1	1
Aortitis	MONDO	MONDO:0006656	aortitis			1
Apert_Syndrome	MONDO	MONDO:0007041	Apert syndrome		exactMatch:1	1
Appendiceal_Neuroendocrine_Tumor	MONDO	MONDO:0015066	neuroendocrine tumor of the appendix, well differentiated, low or intermediate grade			1
Arginase_Deficiency	MONDO	MONDO:0008814	arginase deficiency			1
Argininosuccinic_Aciduria	MONDO	MONDO:0008815	argininosuccinic aciduria			1
Aromatase_Deficiency	MONDO	MONDO:0013301	aromatase deficiency			1
Aromatic_L_Amino_Acid_Decarboxylase_Deficiency	MONDO	MONDO:0012084	aromatic L-amino acid decarboxylase deficiency			1
Arrhythmogenic_Right_Ventricular_Cardiomyopathy	MONDO	MONDO:0016587	arrhythmogenic right ventricular cardiomyopathy			1
Arsenic_Poisoning	NO_TERM					
Arsenic_Related_Cancers	MONDO	MONDO:0005096	squamous cell carcinoma			1
Arterial_Calcification_of_Infancy	MONDO	MONDO:0018870	arterial calcification of infancy			1
Arterial_Dissection_Lentiginosis_Syndrome	MONDO	MONDO:0010889	arterial dissection-lentiginosis syndrome		exactMatch:1	1
Arterial_Tortuosity_Syndrome	MONDO	MONDO:0008818	arterial tortuosity syndrome			1
Arteriosclerotic_Retinopathy	MONDO	MONDO:0042495	arteriosclerotic retinopathy			1
Arthrogryposis_Multiplex_Congenita	MONDO	MONDO:0015168	arthrogryposis multiplex congenita			1
Arts_syndrome	MONDO	MONDO:0010533	Arts syndrome			1
Asbestosis	MONDO	MONDO:0016466	asbestosis			1
Asparagine_Synthetase_Deficiency	MONDO	MONDO:0014258	congenital microcephaly - severe encephalopathy - progressive cerebral atrophy syndrome		exactMatch:1	1
Aspartylglucosaminuria	MONDO	MONDO:0008830	aspartylglucosaminuria		exactMatch:1	1
Asthma	MONDO	MONDO:0004979	asthma			1
Ataxia_Telangiectasia	MONDO	MONDO:0008840	ataxia telangiectasia			1
Atelosteogenesis_Type_I	MONDO	MONDO:0007167	atelosteogenesis type I		exactMatch:1	1
Atelosteogenesis_Type_II	MONDO	MONDO:0009727	atelosteogenesis type II		exactMatch:1	1
Atelosteogenesis_Type_III	MONDO	MONDO:0007168	atelosteogenesis type III		exactMatch:1	1
Atopic_Dermatitis	MONDO	MONDO:0004980	atopic eczema			1
Atrial_Fibrillation	MONDO	MONDO:0004981	atrial fibrillation			1
Atrial_Septal_Defect	MONDO	MONDO:0006664	atrial septal defect			1
Atrial_Standstill	MONDO	MONDO:0015281	atrial standstill			1
Attention_Deficit-Hyperactivity_Disorder	MONDO	MONDO:0007743	attention deficit-hyperactivity disorder			1
Atypical_Hemolytic_Uremic_Syndrome	MONDO	MONDO:0016244	atypical hemolytic-uremic syndrome			1
Atypical_Teratoid_Rhabdoid_Tumor	MONDO	MONDO:0020560	atypical teratoid rhabdoid tumor			1
Auditory_Neuropathy	MONDO	MONDO:0021944	auditory neuropathy			1
Auriculocondylar_Syndrome	MONDO	MONDO:0000107	auriculocondylar syndrome			1
Autism_Spectrum_Disorder	MONDO	MONDO:0005258	autism spectrum disorder			1
Auto-Brewery_Syndrome	MONDO	MONDO:0971031	auto-brewery syndrome			1
Autoimmune_Autonomic_Ganglionopathy	MONDO	MONDO:0016499	autoimmune autonomic ganglionopathy		exactMatch:1	1
Autoimmune_Encephalitis	MONDO	MONDO:0020640	autoimmune encephalitis			1
Autoimmune_Enteropathy	MONDO	MONDO:0019787	autoimmune enteropathy			1
Autoimmune_Gastritis	MONDO	MONDO:0031014	autoimmune gastritis			1
Autoimmune_Hemolytic_Anemia	MONDO	MONDO:0020108	autoimmune hemolytic anemia			1
Autoimmune_Hepatitis	MONDO	MONDO:0016264	autoimmune hepatitis			1
Autoimmune_Polyendocrine_Syndrome_Type_1	MONDO	MONDO:0009411	autoimmune polyendocrine syndrome type 1			1
Autoimmune_Polyendocrinopathy	MONDO	MONDO:0017278	autoimmune polyendocrinopathy			1
Autoimmune_Retinopathy	MONDO	MONDO:0100014	autoimmune retinopathy			1
Autoinflammation_Immune_Dysregulation_and_Eosinophilia	MONDO	MONDO:0033558	autoinflammation, immune dysregulation, and eosinophilia			1
Autosomal_Dominant_Cerebellar_Ataxia_Type_I	MONDO	MONDO:0019792	autosomal dominant cerebellar ataxia type I		exactMatch:1	1
Autosomal_Dominant_Cerebellar_Ataxia_Type_III	MONDO	MONDO:0019793	autosomal dominant cerebellar ataxia type III			1
Autosomal_Dominant_Dopa_Responsive_Dystonia	MONDO	MONDO:0971063	autosomal dominant dopa-responsive dystonia			1
Autosomal_Dominant_Hyper-IgE_Syndrome	MONDO	MONDO:0007818	hyper-IgE recurrent infection syndrome 1, autosomal dominant			1
Autosomal_Dominant_Optic_Atrophy_Plus	MONDO	MONDO:0014720	autosomal dominant optic atrophy plus syndrome			1
Autosomal_Dominant_Osteopetrosis_Type_II	MONDO	MONDO:0008156	autosomal dominant osteopetrosis 2			1
Autosomal_Dominant_Polycystic_Kidney_Disease	MONDO	MONDO:0004691	autosomal dominant polycystic kidney disease			1
Autosomal_Dominant_Polycystic_Liver_Disease	MONDO	MONDO:0000447	autosomal dominant polycystic liver disease		exactMatch:1	1
Autosomal_Dominant_Striatal_Neurodegeneration	MONDO	MONDO:0000211	striatal degeneration, autosomal dominant		exactMatch:1	1
Autosomal_Recessive_Ataxia_Beauce_Type	MONDO	MONDO:0012549	autosomal recessive ataxia, Beauce type			1
Autosomal_Recessive_Ataxia_Due_to_Ubiquinone_Deficiency	MONDO	MONDO:0012784	autosomal recessive ataxia due to ubiquinone deficiency		exactMatch:1	1
Autosomal_Recessive_Cerebellar_Ataxia_With_Late_Onset_Spasticity	MONDO	MONDO:0018129	autosomal recessive cerebellar ataxia with late-onset spasticity		exactMatch:1	1
Autosomal_Recessive_Congenital_Ichthyosis	MONDO	MONDO:0017265	autosomal recessive congenital ichthyosis			1
Autosomal_Recessive_Dopa_Responsive_Dystonia	MONDO	MONDO:0011551	TH-deficient dopa-responsive dystonia			1
Autosomal_Recessive_Limb-Girdle_Muscular_Dystrophy	MONDO	MONDO:0015152	autosomal recessive limb-girdle muscular dystrophy			1
Autosomal_Recessive_Multiple_Pterygium_Syndrome	MONDO	MONDO:0009926	autosomal recessive multiple pterygium syndrome			1
Autosomal_Recessive_Osteopetrosis	MONDO	MONDO:0009816	autosomal recessive osteopetrosis 2			1
Autosomal_Recessive_Primary_Microcephaly	MONDO	MONDO:0016660	autosomal recessive primary microcephaly		exactMatch:1	1
Axenfeld-Rieger_syndrome	MONDO	MONDO:0019187	Axenfeld-Rieger syndrome			1
Ayme-Gripp_Syndrome	MONDO	MONDO:0010992	Ayme-Gripp syndrome		exactMatch:1	1
B-Lymphoblastic_Leukemia_Lymphoma_With_Recurrent_Genetic_Abnormality	MONDO	MONDO:0035605	B-lymphoblastic leukemia/lymphoma with recurrent genetic abnormality			1
BBSome-Related_Retinitis_Pigmentosa	MONDO	MONDO:0019200	retinitis pigmentosa		relatedMatch:7	1
BCKDK_Deficiency	MONDO	MONDO:0013970	branched-chain keto acid dehydrogenase kinase deficiency			1
BEST1-Related_Dominant_Retinopathy	MONDO	MONDO:0700238	BEST1-related dominant retinopathy			1
BEST1_Bestrophinopathies	MONDO	MONDO:0000390	vitelliform macular dystrophy			1
BLOC1S1-related_Complex_Neurodevelopmental_Disorder_with_Leukodystrophy	MONDO	MONDO:0100038	complex neurodevelopmental disorder			2
BRAF_Mutant_Thyroid_Cancer	MONDO	MONDO:0005075	thyroid gland papillary carcinoma			3
BRAF_V600E_Mutant_Colorectal_Cancer	MONDO	MONDO:0005575	colorectal cancer			4
BRAF_V600E_Mutant_NSCLC	MONDO	MONDO:0005233	non-small cell lung carcinoma			4
BRAF_V600_Mutant_Melanoma	MONDO	MONDO:0005012	cutaneous melanoma			3
BRCA_Mutant_Prostate_Cancer	MONDO	MONDO:0008315	prostate cancer			2
Babesiosis	MONDO	MONDO:0005661	babesiosis		exactMatch:1	1
Bacterial_meningitis	MONDO	MONDO:0006670	bacterial meningitis			1
Baraitser-Winter_Cerebrofrontofacial_Syndrome	MONDO	MONDO:0017579	Baraitser-Winter cerebrofrontofacial syndrome			1
Bardet-Biedl_Syndrome	MONDO	MONDO:0015229	Bardet-Biedl syndrome			1
Barth_Syndrome	MONDO	MONDO:0010543	Barth syndrome			1
Bartter_Syndrome	MONDO	MONDO:0015231	Bartter syndrome			1
Basal_Cell_Carcinoma	MONDO	MONDO:0005341	skin basal cell carcinoma			1
Bazex_Dupre_Christol_Syndrome	MONDO	MONDO:0010535	Bazex-Dupre-Christol syndrome			1
Beckwith-Wiedemann_Syndrome	MONDO	MONDO:0007534	Beckwith-Wiedemann syndrome			1
Behcets_Disease	MONDO	MONDO:0007191	Behcet disease			1
Bejel	MONDO	MONDO:0001714	bejel			1
Bells_Palsy	MONDO	MONDO:0005665	Bell's palsy		exactMatch:1	1
Benign_Familial_Infantile_Epilepsy	MONDO	MONDO:0017615	benign familial infantile epilepsy			1
Benign_Neonatal_Seizures	MONDO	MONDO:0016027	benign neonatal seizures		exactMatch:1	1
Benign_Prostatic_Hyperplasia	MONDO	MONDO:0010811	benign prostatic hyperplasia			1
Berardinelli_Seip_Congenital_Lipodystrophy	MONDO	MONDO:0018883	Berardinelli-Seip congenital lipodystrophy		exactMatch:1	1
Beta-Ketothiolase_Deficiency	MONDO	MONDO:0008760	beta-ketothiolase deficiency			1
Beta_Mannosidosis	MONDO	MONDO:0009562	beta-mannosidosis			1
Beta_Thalassemia	MONDO	MONDO:0019402	beta thalassemia			1
Bilateral_Striopallidodentate_Calcinosis	MONDO	MONDO:0008947	bilateral striopallidodentate calcinosis			1
Binge_Eating_Disorder	MONDO	MONDO:0005582	binge eating disorder			1
Biotin_Thiamine_Responsive_Basal_Ganglia_Disease	MONDO	MONDO:0011841	biotin-responsive basal ganglia disease		exactMatch:1	1
Biotinidase_Deficiency	MONDO	MONDO:0009665	biotinidase deficiency		exactMatch:1	1
Bipolar_Disorder	MONDO	MONDO:0004985	bipolar disorder			1
Bird_Fanciers_Lung	MONDO	MONDO:0005668	bird fancier's lung		exactMatch:1	1
Bladder_Urothelial_Carcinoma	MONDO	MONDO:0005611	bladder transitional cell carcinoma		exactMatch:1	1
Blau_Syndrome	MONDO	MONDO:0008523	Blau syndrome		exactMatch:1	1
Blepharophimosis_Ptosis_and_Epicanthus_Inversus_Syndrome	MONDO	MONDO:0007201	blepharophimosis, ptosis, and epicanthus inversus syndrome			1
Bloom_Syndrome	MONDO	MONDO:0008876	Bloom syndrome		exactMatch:1	1
Body_Dysmorphic_Disorder	MONDO	MONDO:0000690	body dysmorphic disorder		exactMatch:1	1
Bohring-Opitz_syndrome	MONDO	MONDO:0011510	Bohring-Opitz syndrome		exactMatch:1	1
Borderline_Personality_Disorder	MONDO	MONDO:0001156	borderline personality disorder		exactMatch:1	1
Borjeson-Forssman-Lehmann_syndrome	MONDO	MONDO:0010537	Borjeson-Forssman-Lehmann syndrome		exactMatch:1	1
Bosch-Boonstra-Schaaf_Optic_Atrophy_Syndrome	MONDO	MONDO:0014320	Bosch-Boonstra-Schaaf optic atrophy syndrome		exactMatch:1	1
Bosma_Arhinia_Microphthalmia_Syndrome	MONDO	MONDO:0011323	arhinia, choanal atresia, and microphthalmia		exactMatch:1	1
Botulism	MONDO	MONDO:0005498	botulism			1
Boucher-Neuhauser_Syndrome	MONDO	MONDO:0008980	ataxia-hypogonadism-choroidal dystrophy syndrome			1
Boutonneuse_Fever	MONDO	MONDO:0024472	boutonneuse fever		exactMatch:1	1
Brachydactyly_Type_A1	MONDO	MONDO:0007215	brachydactyly type A1			1
Brachyolmia	MONDO	MONDO:0015262	brachyolmia			1
Brachyphalangy_Polydactyly_Tibial_Aplasia_Syndrome	MONDO	MONDO:0700354	HMGB1-related brachyphalangy, polydactyly and tibial aplasia syndrome			1
Branchiooculofacial_Syndrome	MONDO	MONDO:0007235	branchiooculofacial syndrome			1
Breast_Fibroadenoma	MONDO	MONDO:0002056	breast fibroadenoma			1
Breast_Implant_Associated_Anaplastic_Large_Cell_Lymphoma	MONDO	MONDO:0850112	breast implant-associated anaplastic large cell lymphoma		exactMatch:1	1
Bronchiectasis	MONDO	MONDO:0004822	bronchiectasis			1
Brown-Vialetto-Van_Laere_Syndrome	MONDO	MONDO:0024537	Brown-Vialetto-van Laere syndrome 1			1
Brucellosis	MONDO	MONDO:0005683	brucellosis			1
Brugada_Syndrome	MONDO	MONDO:0015263	Brugada syndrome		exactMatch:1	1
Budd-Chiari_Syndrome	MONDO	MONDO:0010947	Budd-Chiari syndrome			1
Bulimia_Nervosa	MONDO	MONDO:0005452	bulimia nervosa			1
Burkitt_Lymphoma	MONDO	MONDO:0007243	Burkitt lymphoma			1
Buruli_Ulcer	MONDO	MONDO:0000327	Buruli ulcer disease			1
CACNA1A_Related_Disorder	MONDO	MONDO:0100254	CACNA1A-related complex neurodevelopmental disorder			1
CACNA1E-Related_Developmental_and_Epileptic_Encephalopathy	MONDO	MONDO:0032657	developmental and epileptic encephalopathy, 69			1
CADASIL_Type_1	MONDO	MONDO:0007432	cerebral arteriopathy with subcortical infarcts and leukoencephalopathy			1
CALFAN_Syndrome	MONDO	MONDO:0014744	acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome			1
CD27-related_lymphoproliferative_and_immune_disorder	MONDO	MONDO:0014054	lymphoproliferative syndrome 2			1
CDH23-associated_pituitary_adenoma_5	MONDO	MONDO:0054601	pituitary adenoma 5, multiple types		exactMatch:1	1
CDKL5_Deficiency_Disorder	MONDO	MONDO:0100039	CDKL5 disorder		exactMatch:1	1
CFAP418-related_Retinal_Ciliopathy	MONDO	MONDO:0700374	CFAP418-related ciliopathy		relatedMatch:3	1
CHARGE_Syndrome	MONDO	MONDO:0008965	CHARGE syndrome		exactMatch:1	1
CHD2-Related_Developmental_and_Epileptic_Encephalopathy	MONDO	MONDO:0014150	developmental and epileptic encephalopathy 94			1
CHIME_syndrome	MONDO	MONDO:0010221	CHIME syndrome			1
CHRNA1-associated_Fetal_Hypo-akinesia_Disorder_of_Prenatal_Onset	MONDO	MONDO:0009668	lethal multiple pterygium syndrome			1
CINCA_Syndrome	MONDO	MONDO:0011776	CINCA syndrome		exactMatch:1	1
CKD-Mineral_Bone_Disorder	NO_ID				closeMatch:1	
CLOVES_Syndrome	MONDO	MONDO:0013038	CLOVES syndrome			1
CNS_Vasculitis	MONDO	MONDO:0015374	primary central nervous system vasculitis			1
CN_Related_DEE	MONDO	MONDO:0020630	developmental and epileptic encephalopathy 91			1
COA3-Related_COX_Deficiency	MONDO	MONDO:0033649	mitochondrial complex IV deficiency, nuclear type 14			1
COA8-Related_COX_Deficiency	MONDO	MONDO:0033652	mitochondrial complex IV deficiency, nuclear type 17			1
COFS_Syndrome	MONDO	MONDO:0008926	COFS syndrome			1
COG1-congenital_disorder_of_glycosylation	MONDO	MONDO:0012637	COG1-congenital disorder of glycosylation			1
