disease_name,disease_id,claim_type,claim_class,source_path,claim_kind,claim_text,subject_label,subject_id,predicate_label,predicate_id,object_label,object_id,qualifier_name,qualifier_value,qualifier_value_id,qualifiers_json,is_subclaim,qualifier_evidence_missing,evidence_reference,evidence_reference_title,evidence_supports,evidence_source,evidence_snippet,evidence_explanation
Asthma,MONDO:0004979,subtype,Subtype,has_subtypes[3],base,Asthma has subtype Asthma-COPD Overlap,Asthma,MONDO:0004979,has subtype,has_subtypes,Asthma-COPD Overlap,,,,,,False,False,PMID:26398072,The Asthma-COPD Overlap Syndrome.,SUPPORT,,"Although in textbooks asthma and chronic obstructive pulmonary disease (COPD) are viewed as distinct disorders, there is increasing awareness that many patients have features of both. This article reviews the asthma-COPD overlap syndrome.","The article explicitly refers to the Asthma-COPD Overlap Syndrome, which indicates the presence of subtypes sharing features of both asthma and COPD."
Asthma,MONDO:0004979,subtype,Subtype,has_subtypes[3],base,Asthma has subtype Asthma-COPD Overlap,Asthma,MONDO:0004979,has subtype,has_subtypes,Asthma-COPD Overlap,,,,,,False,False,PMID:24507842,Asthma and chronic obstructive pulmonary disease: similarities and differences.,SUPPORT,,"Asthma in childhood and COPD in smokers have their own phenotypic expression with underlying pathophysiological mechanisms that differ importantly. In older adults, asthma and COPD are more difficult to differentiate and there exists a bronchodilator response in most but not all patients with asthma and persistent airway obstruction in most but not all patients with COPD where even up to 50% have been reported to have some bronchodilator response as assessed with FEV1.","The article acknowledges overlapping phenotypes between asthma and COPD, supporting the existence of a subtype with features of both diseases."
Asthma,MONDO:0004979,subtype,Subtype,has_subtypes[3],base,Asthma has subtype Asthma-COPD Overlap,Asthma,MONDO:0004979,has subtype,has_subtypes,Asthma-COPD Overlap,,,,,,False,False,PMID:29713158,Heterogeneity of asthma and COPD overlap.,SUPPORT,,Asthma and COPD are heterogeneous diseases. Patients with both disease features (asthma-COPD overlap ...) are common.,"This article clearly supports that there is an overlap between asthma and COPD, validating the statement about the Asthma-COPD Overlap subtype with shared features."
Asthma,MONDO:0004979,subtype,Subtype,has_subtypes[4],base,Asthma has subtype Exercise-Induced Asthma,Asthma,MONDO:0004979,has subtype,has_subtypes,Exercise-Induced Asthma,,,,,,False,False,PMID:22794682,Chapter 9: Asthma classification.,SUPPORT,,"patients with asthma may be classified as allergic (IgE mediated), nonallergic (often triggered by viral upper respiratory tract infections or no apparent cause), occupational, aspirin-exacerbated respiratory disease, potentially (near) fatal, exercise induced, and cough variant asthma.","This reference explicitly lists exercise-induced asthma as a subtype of asthma, supporting the statement."
Asthma,MONDO:0004979,subtype,Subtype,has_subtypes[4],base,Asthma has subtype Exercise-Induced Asthma,Asthma,MONDO:0004979,has subtype,has_subtypes,Exercise-Induced Asthma,,,,,,False,False,PMID:5002114,Specificity of exercise in exercise-induced asthma.,SUPPORT,,This study indicates that swimming should be recommended in preference to running or cycling as an exercise programme for adults and children with asthma.,This study highlights exercise-induced asthma and provides insights into managing physical activities for those with this subtype.
Asthma,MONDO:0004979,subtype,Subtype,has_subtypes[4],base,Asthma has subtype Exercise-Induced Asthma,Asthma,MONDO:0004979,has subtype,has_subtypes,Exercise-Induced Asthma,,,,,,False,False,PMID:22157157,New insights into pathogenesis of exercise-induced bronchoconstriction.,SUPPORT,,Exercise-induced bronchoconstriction (EIB) refers to acute airflow obstruction that is triggered by a period of physical exertion.,"This study details the pathology of exercise-induced bronchoconstriction, commonly referred to as exercise-induced asthma, supporting the statement."
Asthma,MONDO:0004979,subtype,Subtype,has_subtypes[4],base,Asthma has subtype Exercise-Induced Asthma,Asthma,MONDO:0004979,has subtype,has_subtypes,Exercise-Induced Asthma,,,,,,False,False,PMID:37086818,Exercise and asthma - trigger or treatment?,SUPPORT,,Exercise is one of the most commonly reported symptom triggers for people with asthma.,"This reference recognizes the role of physical exertion as a trigger for asthma symptoms, aligning with the concept of exercise-induced asthma as a subtype."
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[0],base,Asthma has pathophysiology Airway Inflammation,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Airway Inflammation,,,,,,False,False,PMID:18503727,Mechanisms in allergic airway inflammation - lessons from studies in the mouse.,SUPPORT,,"The pathogenesis of allergic airway inflammation is complex, involving multiple cell types such as T helper 2 cells, regulatory T cells, eosinophils, dendritic cells, mast cells, and parenchymal cells of the lung.","This reference indicates the involvement of multiple cell types, including mast cells, eosinophils, and T lymphocytes in allergic airway inflammation, which supports the statement."
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[0],base,Asthma has pathophysiology Airway Inflammation,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Airway Inflammation,,,,,,False,False,PMID:8324396,Late-phase reaction in asthma: basic mechanisms.,SUPPORT,,The numbers of eosinophils and neutrophils are increased 4 h after challenge with allergen in the broncho-alveolar lavage fluid (BAL) of asthmatics who show an LPR.,"This reference mentions eosinophils and neutrophils as part of the chronic inflammatory response in asthma, supporting the statement."
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[0],base,Asthma has pathophysiology Airway Inflammation,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Airway Inflammation,,,,,,False,False,PMID:9753516,Basophils and mast cells in airway inflammation and asthma.,SUPPORT,,"Accumulation of basophils and mast cells in airway tissues during allergic and allergic-type inflammatory responses, including asthma, is one of the hallmarks of these disease processes.","This reference highlights the involvement of basophils and mast cells in airway inflammation in asthma, supporting the statement."
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[0],base,Asthma has pathophysiology Airway Inflammation,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Airway Inflammation,,,,,,False,False,PMID:38395082,Airway hyperresponsiveness in asthma: The role of the epithelium.,PARTIAL,,"Airway hyperresponsiveness (AHR) is a key clinical feature of asthma. The presence of AHR in people with asthma provides the substrate for bronchoconstriction in response to numerous diverse stimuli, contributing to airflow limitation and symptoms including breathlessness, wheeze, and chest tightness.",This reference supports the clinical manifestations of asthma as described in the statement.
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[0],base,Asthma has pathophysiology Airway Inflammation,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Airway Inflammation,,,,,,False,False,PMID:23234454,Cardiac asthma: new insights into an old disease.,PARTIAL,,Pulmonary edema and pulmonary vascular congestion have been thought to be the primary causes of cardiac asthma but most patients have a poor response to diuretics... Evidence suggests that circulating inflammatory factors and tissue growth factors also lead to airway obstruction suggesting the possibility of developing novel therapies.,"While this reference focuses on cardiac asthma, it acknowledges the involvement of inflammatory factors leading to airway obstruction, which partially supports the inflammatory aspect mentioned."
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[0],base,Asthma has pathophysiology Airway Inflammation,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Airway Inflammation,,,,,,False,False,PMID:1571812,"Asthma, inflammation, eosinophils and bronchial hyperresponsiveness.",SUPPORT,,Asthmatics can have a blood eosinophilia which in some studies correlates with the severity of the disease... The eosinophils that contribute to asthma will be those in the lung.,"Specifically talks about the role of eosinophils in asthma, supporting the statement."
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[0],base,Asthma has pathophysiology Airway Inflammation,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Airway Inflammation,,,,,,False,False,PMID:28687463,Non-asthmatic eosinophilic bronchitis and its relationship with asthma.,SUPPORT,,NAEB shares similar eosinophilic inflammation of airway and response to corticosteroids with asthma.,"This supports the role of eosinophils in airway inflammation in asthma, consistent with the statement."
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[0],base,Asthma has pathophysiology Airway Inflammation,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Airway Inflammation,,,,,,False,False,PMID:6101920,Exercise-induced asthma.,NO_EVIDENCE,,Exercise-induced asthma can appear as one of many forms of airway hyperreactivity or as a unique clinical entity.,Does not provide specific information about the role of the cell types mentioned in the statement.
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[1],base,Asthma has pathophysiology Type 2 Immune Response / Th2 Signaling,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Type 2 Immune Response / Th2 Signaling,,,,,,False,False,PMID:32037107,Allergic Endotypes and Phenotypes of Asthma.,SUPPORT,,"It is a TH2-driven process. Biomarkers have been identified to distinguish patients with allergic asthma, particularly serum IgE levels, tests to indicate sensitization to aeroallergens such as specific IgE or skin prick test positivity, blood and sputum eosinophil levels",Directly states allergic asthma is TH2-driven and identifies IgE and eosinophils as key biomarkers of this pathway.
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[1],base,Asthma has pathophysiology Type 2 Immune Response / Th2 Signaling,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Type 2 Immune Response / Th2 Signaling,,,,,,False,False,PMID:18503727,Mechanisms in allergic airway inflammation - lessons from studies in the mouse.,SUPPORT,,"The pathogenesis of allergic airway inflammation is complex, involving multiple cell types such as T helper 2 cells, regulatory T cells, eosinophils, dendritic cells, mast cells, and parenchymal cells of the lung. The cellular response in allergic airway inflammation is controlled by a broad range of bioactive mediators, including IgE, cytokines and chemokines.","Identifies T helper 2 cells as central to allergic airway inflammation pathogenesis, with IgE and cytokines as key mediators."
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[2],base,Asthma has pathophysiology Bronchoconstriction,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Bronchoconstriction,,,,,,False,False,PMID:24914235,The cell biology of asthma.,SUPPORT,,The other main cause of airway obstruction is contraction of airway smooth muscle.,"The reference points out that contraction of airway smooth muscle is a main cause of airway obstruction, thus supporting the statement."
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[2],base,Asthma has pathophysiology Bronchoconstriction,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Bronchoconstriction,,,,,,False,False,PMID:22011234,Mechanical determinants of airways hyperresponsiveness.,SUPPORT,,"Breathing difficulties are caused by excessive narrowing of the pulmonary airways, which is instigated by shortening of the airway smooth muscle (ASM).","This reference explains that the narrowing of the airways, caused by the contraction of airway smooth muscle, leads to breathing difficulties, thus supporting the statement."
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[2],base,Asthma has pathophysiology Bronchoconstriction,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Bronchoconstriction,,,,,,False,False,PMID:27603525,Statins in Asthma: A Closer Look into the Pharmacological Mechanism of Action.,SUPPORT,,"In acute and chronic allergen driven animal models of asthma, statins reduce airway hyper-responsiveness, inflammation and remodeling.","The use of statins to reduce airway hyper-responsiveness implies the involvement of smooth muscle cells, supporting the statement."
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[2],base,Asthma has pathophysiology Bronchoconstriction,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Bronchoconstriction,,,,,,False,False,PMID:16543052,Airway smooth muscle as a regulator of immune responses and bronchomotor tone.,SUPPORT,,"ASM plays an important role in regulating bronchomotor tone, in perpetuating airway inflammation, and in remodeling of the airways.","This reference highlights multiple functions of airway smooth muscle in asthma, which supports the statement regarding the role of smooth muscle cells in bronchoconstriction."
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[2],base,Asthma has pathophysiology Bronchoconstriction,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Bronchoconstriction,,,,,,False,False,PMID:18669785,Treating asthma means treating airway smooth muscle cells.,SUPPORT,,Airway smooth muscle cells are known to be the main effector cells of airway narrowing.,"This reference clearly identifies airway smooth muscle cells as key players in the narrowing of airways (bronchoconstriction), thus supporting the statement."
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[3],base,Asthma has pathophysiology Mucus Overproduction,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Mucus Overproduction,,,,,,False,False,PMID:19689269,The mechanism of mucus production in bronchial asthma.,PARTIAL,,"Goblet cells are major mucus-producing cells, and goblet cell hyperplasia (GCH) is one feature of airway remodeling, defined as structural changes occurring in the airway.",The reference confirms Goblet cell involvement in asthma and mucus production but does not mention Mucosal Epithelial Cell specifically.
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[3],base,Asthma has pathophysiology Mucus Overproduction,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Mucus Overproduction,,,,,,False,False,PMID:24914235,The cell biology of asthma.,PARTIAL,,"Airway epithelial cells, which are the first line of defense against inhaled pathogens and particles, initiate airway inflammation and produce mucus, an important contributor to airway obstruction.",The reference supports that Bronchial Epithelial Cells play a role in mucus production but does not discuss Mucosal Epithelial Cells specifically.
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[3],base,Asthma has pathophysiology Mucus Overproduction,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Mucus Overproduction,,,,,,False,False,PMID:37520564,Mechanisms of airway epithelial injury and abnormal repair in asthma and COPD.,PARTIAL,,"Basal cells... goblet cell hyperplasia and increased epithelial mesenchymal transition, which contribute to impaired mucociliary clearance and airway remodelling.",The reference confirms Goblet cell hyperplasia and the contribution of epithelial cells in asthma but does not detail Mucosal Epithelial Cells.
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[3],base,Asthma has pathophysiology Mucus Overproduction,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Mucus Overproduction,,,,,,False,False,PMID:23638644,Cellular and molecular mechanisms of goblet cell metaplasia in the respiratory airways.,PARTIAL,,Goblet cell differentiation and mucus production are subject to extensive control. An emerging concept is that not all goblet cells are phenotypically identical suggesting that specific molecular pathways orchestrate mucin overproduction.,The reference supports Goblet cells' role in mucus production but lacks information on Mucosal Epithelial Cells.
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[3],base,Asthma has pathophysiology Mucus Overproduction,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Mucus Overproduction,,,,,,False,False,PMID:16101538,Bronchial epithelial cells in allergic reactions.,PARTIAL,,Bronchial epithelial cells (BEC) are known to play an integral role in the airway defense mechanism via mucociliary system as well as mechanical barriers.,The reference confirms the involvement of Bronchial Epithelial Cells but does not mention Mucosal Epithelial Cells.
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[4],base,Asthma has pathophysiology Airway Remodeling,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Airway Remodeling,,,,,,False,False,PMID:20500603,Pathological airway remodelling in inflammation.,SUPPORT,,"In asthma, it includes alterations of the epithelial cell layer with goblet cell hyperplasia, thickening of basement membranes, peri-bronchial and peri-bronchoalveolar fibrosis.","The reference acknowledges that airway remodeling in asthma involves changes to the epithelial cell layer, fibroblasts, and smooth muscle cells."
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[4],base,Asthma has pathophysiology Airway Remodeling,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Airway Remodeling,,,,,,False,False,PMID:10907591,Consequences of long-term inflammation. The natural history of asthma.,SUPPORT,,"In the long-term, asthma may become moderately to fully irreversible. Severe, irreversible airflow obstruction may develop despite apparently appropriate therapy.",The reference supports the idea that long-standing inflammation can result in irreversible structural changes affecting lung function.
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[4],base,Asthma has pathophysiology Airway Remodeling,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Airway Remodeling,,,,,,False,False,PMID:15896192,Structural changes in the airways in asthma: observations and consequences.,SUPPORT,,"Structural changes reported in the airways of asthmatics include epithelial fragility, goblet cell hyperplasia, enlarged submucosal mucus glands, angiogenesis, increased matrix deposition in the airway wall, increased airway smooth muscle mass, wall thickening and abnormalities in elastin.","The reference details structural changes involving various cell types, including epithelial cells, smooth muscle cells, and other airway structures resulting from long-term inflammation in asthma."
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[4],base,Asthma has pathophysiology Airway Remodeling,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Airway Remodeling,,,,,,False,False,PMID:12405265,Airway inflammation and remodeling in asthma: current concepts.,SUPPORT,,Asthma is a chronic inflammatory disorder of the airways interacting with altered structure and function of the formed elements including smooth muscle.,"The reference confirms that chronic inflammation in asthma involves structural alterations involving smooth muscle cells and other components, supporting airway remodeling."
Asthma,MONDO:0004979,pathophysiology,Pathophysiology,pathophysiology[4],base,Asthma has pathophysiology Airway Remodeling,Asthma,MONDO:0004979,has pathophysiology,pathophysiology,Airway Remodeling,,,,,,False,False,PMID:24914235,The cell biology of asthma.,SUPPORT,,Two airway cell types are critical for asthma pathogenesis: epithelial cells and smooth muscle cells.,"The reference highlights the importance of epithelial cells and smooth muscle cells in asthma pathogenesis, supporting the role of these cell types in airway remodeling."
Asthma,MONDO:0004979,phenotype,Phenotype,phenotypes[0],base,Asthma has phenotype Wheezing,Asthma,MONDO:0004979,has phenotype,phenotypes,Wheezing,HP:0030828,,,,,False,False,PMID:20545704,Phenotypes of childhood asthma: are they real?,SUPPORT,,"It has been suggested that there are several distinct phenotypes of childhood asthma or childhood wheezing. Here, we review the research relating to these phenotypes, with a focus on the methods used to define and validate them.","The reference supports the existence and classification of asthma phenotypes, including wheezing as a common characteristic."
Asthma,MONDO:0004979,phenotype,Phenotype,phenotypes[0],base,Asthma has phenotype Wheezing,Asthma,MONDO:0004979,has phenotype,phenotypes,Wheezing,HP:0030828,,,,,False,False,PMID:8620967,Wheezes.,SUPPORT,,Wheezes are usual clinical signs in patients with obstructive airway diseases and particularly during acute episodes of asthma.,"The reference describes wheezing as a common symptom associated with asthma, supporting the statement's claim that wheezing is a common phenotype and respiratory diagnostic of asthma."
Asthma,MONDO:0004979,phenotype,Phenotype,phenotypes[0],base,Asthma has phenotype Wheezing,Asthma,MONDO:0004979,has phenotype,phenotypes,Wheezing,HP:0030828,,,,,False,False,PMID:1788358,"Exercise-induced asthma, anaphylaxis, and urticaria.",SUPPORT,,"Exercise-induced asthma is a common but frequently undiagnosed problem. The patient may not wheeze, but rather have shortness of breath, chest tightening, and coughing.","This reference mentions exercise-induced asthma and details its symptoms, including wheezing, though noting that wheezing may not always be present."
Asthma,MONDO:0004979,phenotype,Phenotype,phenotypes[0],base,Asthma has phenotype Wheezing,Asthma,MONDO:0004979,has phenotype,phenotypes,Wheezing,HP:0030828,,,,,False,False,PMID:26606077,Diagnostic challenges of adult asthma.,SUPPORT,,The syndrome of asthma contains a number of different phenotypes that offer the possibility of personalized medicine based on the respective asthma phenotype.,"Confirms the existence of multiple phenotypes within asthma, including wheezing, supporting the statement's categorization of wheezing as a phenotype of asthma."
Asthma,MONDO:0004979,phenotype,Phenotype,phenotypes[0],base,Asthma has phenotype Wheezing,Asthma,MONDO:0004979,has phenotype,phenotypes,Wheezing,HP:0030828,,,,,False,False,PMID:21722845,Steroid responsiveness and wheezing phenotypes.,SUPPORT,,"Oral corticosteroids are the cornerstone of management of acute moderate or severe asthma whilst preventive inhaled corticosteroids are the mainstay of the preventive management of children with asthma. Yet, variation in the magnitude of response to corticosteroids has been observed.","Supports the statement indirectly by acknowledging variations in asthma phenotypes, which includes wheezing as a common symptom."
Asthma,MONDO:0004979,phenotype,Phenotype,phenotypes[0],base,Asthma has phenotype Wheezing,Asthma,MONDO:0004979,has phenotype,phenotypes,Wheezing,HP:0030828,,,,,False,False,PMID:38716537,Not all that Wheezes is Asthma.,SUPPORT,,We want to highlight the presentation of a 75-year-old female who was initially managed as asthma and subsequently diagnosed with concurrent excessive dynamic airway collapse (EDAC).,"Although the snippet discusses a different case, it implies that wheezing is commonly associated with asthma management."
Asthma,MONDO:0004979,phenotype,Phenotype,phenotypes[0],qualified,Asthma has phenotype Wheezing with category respiratory,Asthma,MONDO:0004979,has phenotype,phenotypes,Wheezing,HP:0030828,category,Respiratory,,"{""category"": {""id"": """", ""value"": ""Respiratory""}}",True,True,PMID:20545704,Phenotypes of childhood asthma: are they real?,SUPPORT,,"It has been suggested that there are several distinct phenotypes of childhood asthma or childhood wheezing. Here, we review the research relating to these phenotypes, with a focus on the methods used to define and validate them.","The reference supports the existence and classification of asthma phenotypes, including wheezing as a common characteristic."
Asthma,MONDO:0004979,phenotype,Phenotype,phenotypes[0],qualified,Asthma has phenotype Wheezing with category respiratory,Asthma,MONDO:0004979,has phenotype,phenotypes,Wheezing,HP:0030828,category,Respiratory,,"{""category"": {""id"": """", ""value"": ""Respiratory""}}",True,True,PMID:8620967,Wheezes.,SUPPORT,,Wheezes are usual clinical signs in patients with obstructive airway diseases and particularly during acute episodes of asthma.,"The reference describes wheezing as a common symptom associated with asthma, supporting the statement's claim that wheezing is a common phenotype and respiratory diagnostic of asthma."
Asthma,MONDO:0004979,phenotype,Phenotype,phenotypes[0],qualified,Asthma has phenotype Wheezing with category respiratory,Asthma,MONDO:0004979,has phenotype,phenotypes,Wheezing,HP:0030828,category,Respiratory,,"{""category"": {""id"": """", ""value"": ""Respiratory""}}",True,True,PMID:1788358,"Exercise-induced asthma, anaphylaxis, and urticaria.",SUPPORT,,"Exercise-induced asthma is a common but frequently undiagnosed problem. The patient may not wheeze, but rather have shortness of breath, chest tightening, and coughing.","This reference mentions exercise-induced asthma and details its symptoms, including wheezing, though noting that wheezing may not always be present."
Asthma,MONDO:0004979,phenotype,Phenotype,phenotypes[0],qualified,Asthma has phenotype Wheezing with category respiratory,Asthma,MONDO:0004979,has phenotype,phenotypes,Wheezing,HP:0030828,category,Respiratory,,"{""category"": {""id"": """", ""value"": ""Respiratory""}}",True,True,PMID:26606077,Diagnostic challenges of adult asthma.,SUPPORT,,The syndrome of asthma contains a number of different phenotypes that offer the possibility of personalized medicine based on the respective asthma phenotype.,"Confirms the existence of multiple phenotypes within asthma, including wheezing, supporting the statement's categorization of wheezing as a phenotype of asthma."
Asthma,MONDO:0004979,phenotype,Phenotype,phenotypes[0],qualified,Asthma has phenotype Wheezing with category respiratory,Asthma,MONDO:0004979,has phenotype,phenotypes,Wheezing,HP:0030828,category,Respiratory,,"{""category"": {""id"": """", ""value"": ""Respiratory""}}",True,True,PMID:21722845,Steroid responsiveness and wheezing phenotypes.,SUPPORT,,"Oral corticosteroids are the cornerstone of management of acute moderate or severe asthma whilst preventive inhaled corticosteroids are the mainstay of the preventive management of children with asthma. Yet, variation in the magnitude of response to corticosteroids has been observed.","Supports the statement indirectly by acknowledging variations in asthma phenotypes, which includes wheezing as a common symptom."
