count	maxo_id	maxo_label	ncit_id	ncit_label	confidence	note
9	MAXO:0000756	blood transfusion	NCIT:C15192	Blood Transfusion	HIGH	
9	MAXO:0000010	cognitive and behavioral intervention	NCIT:C15184	Behavioral Intervention	MED	broader; known-good
9	MAXO:0000506	noninvasive ventilation	NCIT:C171457	Non-Invasive Mechanical Ventilation	HIGH	
8	MAXO:0001388	feeding therapy	NCIT:C156237	Swallowing Therapy	MED	closest; feeding therapy broader
8	MAXO:0000477	orthopedic procedure	NCIT:C16186	Orthopedic Surgical Procedure	HIGH	known-good
8	MAXO:0000873	hearing examination	NCIT:C38036	Audiometric Test	MED	known-good
8	MAXO:0000954	bisphosphonate agent therapy	NCIT:C198585	Bisphosphonate Therapy	HIGH	known-good
8	MAXO:0001077	splenectomy	NCIT:C15328	Splenectomy	HIGH	
8	MAXO:0000130	endoscopic procedure	NCIT:C16546	Endoscopic Procedure	HIGH	
8	MAXO:0000312	respiratory tract agent therapy	NCIT:C15986	Pharmacotherapy	LOW	drug-class agent therapy, not a procedure
7	MAXO:0001534	dental implantation	NCIT:C38052	Dental Procedure	MED	broader; known-good
7	MAXO:0009034	pacemaker implantation	NCIT:C80434	Pacemaker Placement	HIGH	
7	MAXO:0035041	neurodevelopmental assessment	NCIT:C95403	Developmental Neuropsychological Assessment	MED	closest assessment
7	MAXO:0000071	chemical exposure avoidance	NCIT:C54264	Avoidance	LOW	avoidance behavior, may not be procedure
7	MAXO:0000221	NSAID therapy	NCIT:C15986	Pharmacotherapy	LOW	NSAID drug-class; use therapeutic_agent
7	MAXO:0000787	blood chemistry measurement	NCIT:C47868	Blood Chemistry Measurement	HIGH	
7	MAXO:0001611	karyotyping	NCIT:C16768	Karyotyping	HIGH	
7	MAXO:0025001	surgical procedure on cardiovascular system	NCIT:C157806	Cardiac Surgery	MED	broader; known-good
7	MAXO:0000520	fetal ultrasonography	NCIT:C222238	Fetal Ultrasound Imaging	HIGH	
6	MAXO:0035091	electromyography procedure	NCIT:C38056	Electromyography	HIGH	
6	MAXO:0035059	nerve conduction study	NCIT:C88502	Nerve Conduction Velocity Test	MED	closest NCS term
6	MAXO:0000601	renal dialysis	NCIT:C15221	Dialysis	HIGH	known-good
6	MAXO:0001483	complement 5 inhibitor agent therapy	NCIT:C15986	Pharmacotherapy	LOW	C5-inhibitor drug-class; use therapeutic_agent
6	MAXO:0000053	therapeutic avoidance of environmental exposure	NCIT:C54264	Avoidance	LOW	avoidance behavior, may not be procedure
6	MAXO:0035005	circulating hormone measurement	NCIT:C74742	Hormone Measurement	HIGH	
6	MAXO:0001346	gastrostomy	NCIT:C52006	Gastrostomy	HIGH	
6	MAXO:0000453	laser ablation therapy	NCIT:C111241	Laser Ablation	HIGH	
6	MAXO:0001055	gonadectomy	NCIT:C15329	Surgical Procedure	MED	no exact gonadectomy in NCIT; broader
6	MAXO:0001259	angiography	NCIT:C190556	Angiography	HIGH	
6	MAXO:0001014	medical action avoidance	NCIT:C54264	Avoidance	LOW	avoidance behavior, may not be procedure
5	MAXO:0000387	biopsy of muscle tissue	NCIT:C51895	Muscle Biopsy	HIGH	
5	MAXO:0009101	early intervention services	NCIT:C159524	Early Intervention	HIGH	
5	MAXO:0000065	aerobic exercise therapy	NCIT:C39774	Aerobic Exercise	HIGH	
5	MAXO:0000137	positron emission tomography procedure	NCIT:C17007	Positron Emission Tomography	HIGH	
5	MAXO:0000529	prenatal genetic testing	NCIT:C15709	Genetic Testing	MED	broader; not prenatal-specific
5	MAXO:0010020	amino acid supplementation	NCIT:C15425	Nutritional Supplementation	MED	broader
5	MAXO:0000178	anticoagulant agent therapy	NCIT:C63341	Anticoagulation Therapy	HIGH	
5	MAXO:0000376	biopsy of liver	NCIT:C51677	Liver Biopsy	HIGH	
5	MAXO:0009016	botulinum toxin type A therapy	NCIT:C157775	Botulinum Toxin Therapy	HIGH	known-good; type-A broadened to generic
5	MAXO:0000110	vitamin D supplementation	NCIT:C15425	Nutritional Supplementation	MED	broader; vitamin D
5	MAXO:0000021	palliative care	NCIT:C15292	Palliative Therapy	HIGH	
5	MAXO:0010043	whole kidney transplantation	NCIT:C15265	Kidney Transplantation	HIGH	known-good
5	MAXO:0000734	audiologist evaluation	NCIT:C38036	Audiometric Test	MED	known-good
5	MAXO:0000186	beta adrenergic agent therapy	NCIT:C15986	Pharmacotherapy	LOW	beta-agonist drug-class; use therapeutic_agent
5	MAXO:0000903	aspirin therapy	NCIT:C15986	Pharmacotherapy	LOW	aspirin; use therapeutic_agent
5	MAXO:0000187	beta-adrenergic antagonist therapy	NCIT:C15986	Pharmacotherapy	LOW	beta-blocker drug-class; use therapeutic_agent
5	MAXO:0000316	bronchodilator therapy	NCIT:C15986	Pharmacotherapy	LOW	bronchodilator drug-class; use therapeutic_agent
5	MAXO:0000448	surgical resection	NCIT:C158758	Resection	HIGH	
5	MAXO:0000602	hemodialysis	NCIT:C15248	Hemodialysis	HIGH	
5	MAXO:0001389	catheterization	NCIT:C38045	Catheterization	HIGH	
4	MAXO:0001445	diagnostic procedure of auditory system	NCIT:C38036	Audiometric Test	MED	broader; known-good
4	MAXO:0035099	electroretinogram procedure	NCIT:C101217	Retinal Examination	LOW	no ERG term in NCIT; broader retinal diagnostic
4	MAXO:0001515	surgical procedure on vascular system	NCIT:C157725	Vascular Surgical Procedure	HIGH	
4	MAXO:0001030	adrenalectomy	NCIT:C15177	Adrenalectomy	HIGH	
4	MAXO:0000055	sunlight avoidance	NCIT:C54264	Avoidance	LOW	avoidance behavior, may not be procedure
4	MAXO:0000802	avoid excessive exercise	NCIT:C54264	Avoidance	LOW	avoidance behavior, may not be procedure
4	MAXO:0000915	polysomnography	NCIT:C114185	Polysomnography	HIGH	exact
4	MAXO:0000002	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	HIGH	known-good exact
4	MAXO:0000589	nucleic acid amplification testing	NCIT:C20055	Nucleic Acid Amplification Test	HIGH	exact
4	MAXO:0000081	tobacco cessation counseling	NCIT:C101244	Tobacco Cessation Counseling	HIGH	exact; counseling not a procedure
4	MAXO:0000646	cancer chemotherapy	NCIT:C15632	Chemotherapy	HIGH	known-good; broader (not cancer-specific)
4	MAXO:0010030	bone marrow transplantation	NCIT:C15194	Bone Marrow Transplantation	HIGH	exact
4	MAXO:0000282	sex hormone modifying agent therapy	NCIT:C15445	Hormone Therapy	MED	known-good; broader, drug-class flavored
4	MAXO:0000645	acetylcholinesterase inhibitor therapy	NCIT:C47792	Acetylcholinesterase Inhibitor	MED	drug class, not a procedure
4	MAXO:0001184	colonoscopy	NCIT:C16450	Colonoscopy	HIGH	exact
4	MAXO:0000457	pain management	NCIT:C201959	Pain Management	HIGH	exact
4	MAXO:0000652	ACE inhibitor therapy	NCIT:C247	ACE Inhibitor	MED	drug class, not a procedure
4	MAXO:0001578	laser surgical procedure	NCIT:C15466	Laser Therapy	MED	known-good; broader
4	MAXO:0035003	fluorescein angiography	NCIT:C190541	Fluorescein Angiography	HIGH	exact
4	MAXO:0000967	ophthalmic diagnostic procedure	NCIT:C38060	Eye Examination	MED	broader
4	MAXO:0000618	fluid replacement therapy	NCIT:C66896	Hydration Therapy	MED	synonym
4	MAXO:0000474	implantable cardioverter-defibrillator placement	NCIT:C80435	Implantable Cardioverter-Defibrillator Placement	HIGH	known-good exact
4	MAXO:0035058	hormone measurement	NCIT:C74742	Hormone Measurement	HIGH	exact
4	MAXO:0000482	orthotic device usage			NONE	no NCIT orthotic-therapy procedure; only device/person terms
3	MAXO:0001612	chromosomal microarray testing	NCIT:C18477	Microarray Analysis	MED	broader
3	MAXO:0000017	preventative therapy	NCIT:C15843	Preventive Intervention	MED	broader
3	MAXO:0001193	esophagogastroduodenoscopy	NCIT:C78144	Esophagogastroduodenoscopy	HIGH	exact
3	MAXO:0000971	vision assessment	NCIT:C156778	Vision Assessment	HIGH	exact
3	MAXO:0000458	hydrotherapy	NCIT:C15302	Physical Therapy	MED	known-good; broader (no plain NCIT hydrotherapy)
3	MAXO:0000237	retinoid agent therapy	NCIT:C804	Retinoic Acid Agent	MED	drug class, not a procedure
3	MAXO:0000072	ultrasonography procedure	NCIT:C19337	Diagnostic Ultrasound	HIGH	known-good
3	MAXO:0001509	blood cell count	NCIT:C28133	Blood Cell Count	HIGH	known-good exact
3	MAXO:0000753	bone marrow examination	NCIT:C92958	Bone Marrow Aspiration and Biopsy	MED	related procedure
3	MAXO:0020004	Dual-energy X-ray absorptiometry procedure	NCIT:C48789	Dual X-ray Absorptiometry	HIGH	exact
3	MAXO:0001129	vitamin supplementation	NCIT:C15425	Nutritional Supplementation	MED	broader
3	MAXO:0000181	cardiovascular agent therapy	NCIT:C78274	Agent Affecting Cardiovascular System	MED	drug class, not a procedure
3	MAXO:0000125	audiometric testing	NCIT:C38036	Audiometric Test	HIGH	known-good exact
3	MAXO:0000996	application of emollient to skin			NONE	no NCIT emollient/topical-application procedure; only cosmetic-substance terms
3	MAXO:0001319	X-ray coronary angiography procedure	NCIT:C100085	Coronary Angiography	HIGH	exact
3	MAXO:0000061	antibacterial agent therapy	NCIT:C15620	Antibiotic Therapy	HIGH	known-good
3	MAXO:0001593	antisense oligonucleotide inhibitor therapy	NCIT:C1291	Antisense Oligonucleotides	MED	agent, not a procedure
3	MAXO:0009088	stereotactic radiosurgery	NCIT:C15358	Stereotactic Radiosurgery	HIGH	exact
3	MAXO:0020025	substrate reduction therapy	NCIT:C85876	Substrate Deprivation Therapy	MED	synonym
3	MAXO:0000500	airway management			NONE	no NCIT airway-management procedure
3	MAXO:0035007	cerebrospinal fluid analysis	NCIT:C173272	CSF Analysis	HIGH	known-good
3	MAXO:0035078	pulmonary function testing	NCIT:C38081	Pulmonary Function Test	HIGH	exact
3	MAXO:0001082	trabeculectomy	NCIT:C220170	Surgical Construction of Filtration Bleb	MED	trabeculectomy = filtration bleb surgery
3	MAXO:0010034	corneal transplantation	NCIT:C210959	Corneal Transplantation	HIGH	exact
3	MAXO:0000600	renal replacement therapy	NCIT:C126400	Renal Replacement Therapy	HIGH	exact
3	MAXO:0000451	implantation	NCIT:C15329	Surgical Procedure	MED	broader; generic implantation, no plain NCIT term
3	MAXO:0000624	nutrition assessment	NCIT:C15286	Nutritional Assessment	HIGH	exact
3	MAXO:0020029	antibody titer measurement	NCIT:C71683	Antibody Titer	MED	measurement/finding
3	MAXO:0001079	thymectomy	NCIT:C29894	Thymectomy	HIGH	exact
3	MAXO:0000745	cytogenetic analysis	NCIT:C18280	Cytogenetic Analysis	HIGH	exact
3	MAXO:0000504	tracheostomy	NCIT:C15341	Tracheotomy	MED	procedure synonym
3	MAXO:0000217	antidote agent therapy	NCIT:C15986	Pharmacotherapy	MED	broader; antidote drug, no NCIT antidote-agent term
3	MAXO:0000068	transplantation procedure	NCIT:C15342	Transplantation	HIGH	exact
3	MAXO:0020022	photodynamic therapy	NCIT:C15300	Photodynamic Therapy	HIGH	known-good exact
3	MAXO:0035049	endoscopic retrograde cholangiopancreatography	NCIT:C16430	Endoscopic Retrograde Cholangiopancreatography	HIGH	exact
3	MAXO:0001188	laparoscopy	NCIT:C16969	Laparoscopy	HIGH	exact
3	MAXO:0000267	gastrointestinal agent therapy	NCIT:C78276	Agent Affecting Digestive System or Metabolism	MED	drug class, not a procedure
3	MAXO:0000566	clinical chemistry assessment	NCIT:C47868	Blood Chemistry Measurement	MED	closest lab-test concept
3	MAXO:0000605	protein measurement	NCIT:C64430	Protein or Enzyme Type Measurement	MED	generic protein measurement
3	MAXO:0000259	insulin treatment	NCIT:C179441	Injected Insulin Diabetes Therapy	MED	closest insulin-therapy term
3	MAXO:0010012	coenzyme Q10 supplementation	NCIT:C15425	Nutritional Supplementation	MED	broader
3	MAXO:0000761	B vitamin supplementation	NCIT:C15425	Nutritional Supplementation	MED	broader
3	MAXO:0010092	dietary methionine intake avoidance	NCIT:C15447	Dietary Intervention	MED	broader; no methionine-avoidance-specific term
3	MAXO:0035118	cardiac catheterization	NCIT:C38044	Cardiac Catheterization	HIGH	exact
3	MAXO:0001224	copper chelator agent therapy	NCIT:C360	Chelating Agent	MED	drug-class not procedure; no copper-chelation term
2	MAXO:0009018	neuropsychological assessment	NCIT:C165543	Neuropsychological Assessment	HIGH	exact
2	MAXO:0035089	nasal endoscopy	NCIT:C16546	Endoscopic Procedure	MED	broader; no nasal-endoscopy term
2	MAXO:0010130	oral contraceptive agent therapy	NCIT:C92808	Hormonal Contraception	MED	drug therapy for contraception
2	MAXO:0020024	arterial embolization	NCIT:C15917	Arterial Embolization	HIGH	exact
2	MAXO:0000714	psychiatrist evaluation	NCIT:C137855	Psychological Assessment	MED	closest; psychiatrist vs psychologist
2	MAXO:0001058	hysterectomy	NCIT:C15256	Hysterectomy	HIGH	known-good
2	MAXO:0000526	examination by clinical professional	NCIT:C20989	Physical Examination	MED	broader clinical exam
2	MAXO:0000946	surgical procedure on nervous system	NCIT:C15656	Neurosurgical Procedure	HIGH	known-good
2	MAXO:0001425	therapeutic procedure of amniotic fluid	NCIT:C49236	Therapeutic Procedure	MED	broader; generic class, no amniotic-fluid-specific
2	MAXO:0001404	diagnostic procedure of skin	NCIT:C18020	Diagnostic Procedure	MED	broader; no skin-specific
2	MAXO:0000180	platelet aggregation inhibitor therapy	NCIT:C1327	Antiplatelet Agent	MED	drug-class not procedure
2	MAXO:0009003	preimplantation genetic testing	NCIT:C15709	Genetic Testing	MED	broader; no PGT-specific term
2	MAXO:0010219	pelvis ultrasonography	NCIT:C19337	Diagnostic Ultrasound	MED	broader (known-good); no pelvic-specific
2	MAXO:0001553	topical corticosteroid therapy	NCIT:C122078	Topical Corticosteroid Therapy	HIGH	known-good
2	MAXO:0000264	dental and oral agent therapy	NCIT:C15986	Pharmacotherapy	MED	broad; dental/oral drug therapy
2	MAXO:0000683	clinical cardiac electrophysiologist evaluation	NCIT:C80414	Cardiac Electrophysiology Study	MED	procedure ~ EP evaluation
2	MAXO:0001592	RNA interference therapy	NCIT:C20153	RNA Interference	LOW	mechanism/modality, not a procedure
2	MAXO:0000942	vagus nerve stimulation	NCIT:C21025	Peripheral Nerve Stimulation	MED	broader (known-good); no VNS-specific
2	MAXO:0009043	cataract extraction with intraocular lens insertion	NCIT:C157809	Cataract Surgery	MED	broader; no IOL-insertion-specific
2	MAXO:0001121	biopsy of kidney	NCIT:C51699	Kidney Biopsy	HIGH	exact
2	MAXO:0001189	laryngoscopy	NCIT:C16781	Laryngoscopy	HIGH	exact
2	MAXO:0010356	chest radiograph procedure	NCIT:C38103	Chest Radiography	HIGH	exact
2	MAXO:0001490	platelet transfusion	NCIT:C15366	Platelet Transfusion	HIGH	exact
2	MAXO:0000757	infusion procedure	NCIT:C15388	Infusion Procedure	HIGH	exact
2	MAXO:0000009	nutrition intervention	NCIT:C67022	Nutritional Intervention	HIGH	exact
2	MAXO:0001070	pancreatectomy	NCIT:C15294	Pancreatectomy	HIGH	exact
2	MAXO:0000336	biopsy of bone marrow	NCIT:C15193	Bone Marrow Biopsy	HIGH	exact
2	MAXO:0000114	total parenteral nutrition intake	NCIT:C29484	Total Parenteral Nutrition	HIGH	known-good
2	MAXO:0000313	antihistamine agent therapy	NCIT:C29578	Histamine-1 Receptor Antagonist	MED	drug-class not procedure
2	MAXO:0000508	liquid ventilation	NCIT:C70909	Mechanical Ventilation	MED	broader; no liquid-ventilation term
2	MAXO:0000066	supplemental oxygen therapy	NCIT:C94624	Oxygen Therapy	HIGH	known-good
2	MAXO:0001615	gene panel testing	NCIT:C15709	Genetic Testing	MED	broader; no gene-panel-specific
2	MAXO:0010217	renal ultrasonography	NCIT:C159885	Renal Ultrasound	HIGH	exact
2	MAXO:0000452	ablation therapy	NCIT:C20985	Ablation Therapy	HIGH	exact
2	MAXO:0000851	urine protein measurement	NCIT:C74760	Urine Protein Measurement	HIGH	exact
2	MAXO:0000140	clinical cytological testing	NCIT:C16490	Cytological Procedure	HIGH	exact
2	MAXO:0000567	blood glucose assessment	NCIT:C92744	Blood Glucose Measurement	HIGH	exact
2	MAXO:0010032	cardiac transplantation	NCIT:C15246	Heart Transplantation	HIGH	exact
2	MAXO:0001477	orchiopexy	NCIT:C111066	Orchiopexy	HIGH	exact
2	MAXO:0000058	pharmacotherapy	NCIT:C15986	Pharmacotherapy	HIGH	known-good
2	MAXO:0000479	orthopedic surgery	NCIT:C16186	Orthopedic Surgical Procedure	HIGH	known-good
2	MAXO:0020005	scintigraphy imaging procedure	NCIT:C62667	Radionuclide Imaging	MED	near-synonym (scintigraphy)
2	MAXO:0000604	endocrine testing	NCIT:C74971	Endocrine Test	HIGH	exact
2	MAXO:0000746	chromosomal breakage analysis	NCIT:C18280	Cytogenetic Analysis	MED	broader; no breakage-analysis-specific
2	MAXO:0000648	enzyme inhibitor agent therapy	NCIT:C471	Enzyme Inhibitor	MED	drug-class not procedure
1	MAXO:0000890	calculi removal	NCIT:C51994	Lithotripsy	MED	broader; one removal method
1	MAXO:0001063	lymphadenectomy	NCIT:C15275	Lymphadenectomy	HIGH	exact
1	MAXO:0000515	extracorporeal membrane oxygenation	NCIT:C171507	Extracorporeal Membrane Oxygenation	HIGH	exact
1	MAXO:0000121	passive immunization	NCIT:C15259	Passive Immunization	HIGH	exact
1	MAXO:0009047	hip replacement	NCIT:C157876	Hip Replacement	HIGH	exact
1	MAXO:0020023	cardiovascular intervention	NCIT:C49803	Cardiovascular Surgical Procedure	MED	broader/surgical-flavored
1	MAXO:0000931	psychologist evaluation	NCIT:C137855	Psychological Assessment	HIGH	exact
1	MAXO:0001065	nephrectomy	NCIT:C15284	Nephrectomy	HIGH	known-good
1	MAXO:0001106	myomectomy	NCIT:C51645	Myomectomy	HIGH	exact
1	MAXO:0000914	actigraphy	NCIT:C180883	Actigraphy	HIGH	exact
1	MAXO:0035011	enzyme activity assessment	NCIT:C180567	Enzyme Activity	MED	measurand, not a procedure
1	MAXO:0000831	blood smear test	NCIT:C79903	Blood Smear	HIGH	exact
1	MAXO:0001574	emollient therapy	NCIT:C15986	Pharmacotherapy	LOW	broader; topical emollient/skincare, no emollient procedure term
1	MAXO:0000380	biopsy of lung	NCIT:C51748	Lung Biopsy	HIGH	exact
1	MAXO:0001359	applied behavior analysis therapy	NCIT:C15184	Behavioral Intervention	MED	broader; ABA is behavioral intervention
1	MAXO:0001540	laser ablation for twin twin transfusion syndrome	NCIT:C111241	Laser Ablation	MED	broader; drops TTTS context
1	MAXO:0009012	intrauterine fetal transfusion	NCIT:C15192	Blood Transfusion	MED	broader; no fetal/intrauterine-specific term
1	MAXO:0035088	magnetic resonance angiography procedure	NCIT:C190557	Magnetic Resonance Angiography	HIGH	exact
1	MAXO:0035038	contrast angiography procedure	NCIT:C20080	X-ray Angiography	MED	contrast angiography ~ x-ray angiography
1	MAXO:0000917	placement of a stent	NCIT:C71316	Stenting	HIGH	exact
1	MAXO:0001421	keratolytic agent therapy	NCIT:C15986	Pharmacotherapy	LOW	broader; keratolytic drug class, not a procedure
1	MAXO:0001513	skin surgery	NCIT:C51559	Dermatologic Surgery	HIGH	equivalent
1	MAXO:0009006	clinical whole genome sequencing	NCIT:C101294	Whole Genome Sequencing	HIGH	exact
1	MAXO:0000169	anti-inflammatory agent therapy	NCIT:C15986	Pharmacotherapy	LOW	broader; anti-inflammatory drug class, not a procedure
1	MAXO:0000623	nutrition counseling	NCIT:C171216	Dietary Counseling and Surveillance	MED	nutrition counseling ~ dietary counseling
1	MAXO:0000573	antiretroviral therapy	NCIT:C94631	Antiretroviral Therapy	HIGH	exact (known-good)
1	MAXO:0010096	dietary sodium intake avoidance	NCIT:C15447	Dietary Intervention	MED	broader; sodium avoidance is dietary intervention
1	MAXO:0025005	surgical procedure on nasolacrimal duct	NCIT:C15331	Ophthalmologic Surgical Procedure	MED	broader; no nasolacrimal-duct-specific surgery term
1	MAXO:0035034	pelvis MRI	NCIT:C16809	Magnetic Resonance Imaging	MED	broader; pelvis-specific MRI split by contrast in NCIT
1	MAXO:0035065	dentist evaluation	NCIT:C158323	Dental Examination	HIGH	equivalent
1	MAXO:0035019	erythrocyte enzyme activity assessment	NCIT:C25294	Laboratory Procedure	MED	broader; RBC enzyme assay, generic lab procedure
1	MAXO:0001131	pyridoxine supplementation	NCIT:C15433	Nutritional Support	MED	broader; vitamin B6 supplementation
1	MAXO:0000109	vitamin C supplementation	NCIT:C15433	Nutritional Support	MED	broader; vitamin supplementation
1	MAXO:0001408	diagnostic procedure of respiratory system	NCIT:C18020	Diagnostic Procedure	MED	broader; no respiratory-system-specific diagnostic category
1	MAXO:0000326	biopsy of head	NCIT:C217130	Head and Neck Biopsy Procedure	MED	broader; includes neck
1	MAXO:0001291	cranioplasty	NCIT:C15656	Neurosurgical Procedure	MED	broader; no cranioplasty term
1	MAXO:0000974	tonometry	NCIT:C120543	Tonometry	HIGH	exact
1	MAXO:0000970	gonioscopy	NCIT:C93195	Gonioscopy	HIGH	exact
