postcomposition_id	descriptor_id	assertion_id	disorder_id	disorder_name	source_file	section	section_index	section_name	section_description	descriptor_path	descriptor_preferred_term	descriptor_term_id	descriptor_term_label	relation_type	relation_index	relation_path	predicate_preferred_term	predicate_term_id	predicate_term_label	value_preferred_term	value_term_id	value_term_label	value_literal	raw_json
15	195	186	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	0	Topical retinoids	"First-line treatment that normalizes follicular keratinization, reduces comedone formation, and has anti-inflammatory effects. Examples include tretinoin, adapalene, and tazarotene.
"	treatment_term	retinoid agent therapy	MAXO:0000237	retinoid agent therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	retinoid	NCIT:C68299	Retinoid		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""retinoid"", ""term"": {""id"": ""NCIT:C68299"", ""label"": ""Retinoid""}}}"
16	198	187	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	1	Trifarotene	"Topical retinoid selective for retinoic acid receptor gamma with evidence for reducing comedonal and inflammatory lesions, including truncal acne.
"	treatment_term	retinoid agent therapy	MAXO:0000237	retinoid agent therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	trifarotene	NCIT:C118577	Trifarotene		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""trifarotene"", ""term"": {""id"": ""NCIT:C118577"", ""label"": ""Trifarotene""}}}"
17	201	188	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	2	Benzoyl peroxide	"Antimicrobial agent that kills C. acnes through oxidative damage without promoting antibiotic resistance. Also has mild comedolytic activity.
"	treatment_term	antimicrobial agent therapy	MAXO:0001021	antimicrobial agent therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	benzoyl peroxide	NCIT:C47411	Benzoyl Peroxide		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""benzoyl peroxide"", ""term"": {""id"": ""NCIT:C47411"", ""label"": ""Benzoyl Peroxide""}}}"
18	204	189	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	3	Topical antibiotics	"Clindamycin and erythromycin reduce C. acnes populations and have anti-inflammatory effects. Should be combined with benzoyl peroxide to prevent resistance.
"	treatment_term	antibacterial agent therapy	MAXO:0000061	antibacterial agent therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	antibiotic	NCIT:C258	Antibiotic		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""antibiotic"", ""term"": {""id"": ""NCIT:C258"", ""label"": ""Antibiotic""}}}"
19	207	190	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	4	Clindamycin/adapalene/benzoyl peroxide gel	"Triple-combination topical therapy for moderate to severe acne, combining clindamycin phosphate, adapalene, and benzoyl peroxide for long-term use.
"	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	clindamycin phosphate	NCIT:C47978	Clindamycin Phosphate		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""clindamycin phosphate"", ""term"": {""id"": ""NCIT:C47978"", ""label"": ""Clindamycin Phosphate""}}}"
20	207	190	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	4	Clindamycin/adapalene/benzoyl peroxide gel	"Triple-combination topical therapy for moderate to severe acne, combining clindamycin phosphate, adapalene, and benzoyl peroxide for long-term use.
"	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	qualifier	1	treatment_term.qualifiers[1]	therapeutic agent	NCIT:C2259	Therapeutic Agent	adapalene	NCIT:C28989	Adapalene		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""adapalene"", ""term"": {""id"": ""NCIT:C28989"", ""label"": ""Adapalene""}}}"
21	207	190	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	4	Clindamycin/adapalene/benzoyl peroxide gel	"Triple-combination topical therapy for moderate to severe acne, combining clindamycin phosphate, adapalene, and benzoyl peroxide for long-term use.
"	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	qualifier	2	treatment_term.qualifiers[2]	therapeutic agent	NCIT:C2259	Therapeutic Agent	benzoyl peroxide	NCIT:C47411	Benzoyl Peroxide		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""benzoyl peroxide"", ""term"": {""id"": ""NCIT:C47411"", ""label"": ""Benzoyl Peroxide""}}}"
22	214	191	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	5	Oral antibiotics	"Tetracyclines (doxycycline, minocycline) are used for moderate-to-severe inflammatory acne. Have both antimicrobial and anti-inflammatory effects, but prolonged use contributes to antimicrobial resistance and requires stewardship.
"	treatment_term	antibacterial agent therapy	MAXO:0000061	antibacterial agent therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	tetracycline antibiotic	NCIT:C1595	Tetracycline Antibiotic		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""tetracycline antibiotic"", ""term"": {""id"": ""NCIT:C1595"", ""label"": ""Tetracycline Antibiotic""}}}"
23	217	192	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	6	Oral isotretinoin	"Systemic retinoid reserved for severe, recalcitrant acne. Addresses all four pathogenic factors but requires careful monitoring due to teratogenicity and other adverse effects.
"	treatment_term	retinoid agent therapy	MAXO:0000237	retinoid agent therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	isotretinoin	NCIT:C603	Isotretinoin		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""isotretinoin"", ""term"": {""id"": ""NCIT:C603"", ""label"": ""Isotretinoin""}}}"
24	220	193	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	7	Hormonal therapy	"Combined oral contraceptives and spironolactone reduce androgen effects on sebaceous glands. Used in female patients with hormonal acne patterns.
"	treatment_term	hormone modifying therapy	MAXO:0000283	hormone modifying therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	oral contraceptive	NCIT:C389	Oral Contraceptive		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""oral contraceptive"", ""term"": {""id"": ""NCIT:C389"", ""label"": ""Oral Contraceptive""}}}"
25	220	193	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	7	Hormonal therapy	"Combined oral contraceptives and spironolactone reduce androgen effects on sebaceous glands. Used in female patients with hormonal acne patterns.
"	treatment_term	hormone modifying therapy	MAXO:0000283	hormone modifying therapy	qualifier	1	treatment_term.qualifiers[1]	therapeutic agent	NCIT:C2259	Therapeutic Agent	spironolactone	NCIT:C840	Spironolactone		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""spironolactone"", ""term"": {""id"": ""NCIT:C840"", ""label"": ""Spironolactone""}}}"
26	225	194	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	8	Chemical peels	"Organic acid-based peels are used to exfoliate acne-prone skin and reduce lesion counts, with agent selection tailored to patient tolerability.
"	treatment_term	therapeutic procedure of skin of body	MAXO:0001417	therapeutic procedure of skin of body	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	chemical peel	NCIT:C93203	Chemical Peel		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""chemical peel"", ""term"": {""id"": ""NCIT:C93203"", ""label"": ""Chemical Peel""}}}"
27	228	195	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	9	Azelaic acid peel	"Azelaic acid peels reduce sebum and lesion burden as a nonpharmacologic option for facial acne.
"	treatment_term	therapeutic procedure of skin of body	MAXO:0001417	therapeutic procedure of skin of body	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	chemical peel	NCIT:C93203	Chemical Peel		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""chemical peel"", ""term"": {""id"": ""NCIT:C93203"", ""label"": ""Chemical Peel""}}}"
28	228	195	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	9	Azelaic acid peel	"Azelaic acid peels reduce sebum and lesion burden as a nonpharmacologic option for facial acne.
"	treatment_term	therapeutic procedure of skin of body	MAXO:0001417	therapeutic procedure of skin of body	qualifier	1	treatment_term.qualifiers[1]	therapeutic agent	NCIT:C2259	Therapeutic Agent	azelaic acid	NCIT:C47407	Azelaic Acid		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""azelaic acid"", ""term"": {""id"": ""NCIT:C47407"", ""label"": ""Azelaic Acid""}}}"
29	233	196	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	10	Chemical peels for acne scarring	"Medium-depth peels such as glycolic acid and trichloroacetic acid are used to improve atrophic acne scars.
"	treatment_term	therapeutic procedure of skin of body	MAXO:0001417	therapeutic procedure of skin of body	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	chemical peel	NCIT:C93203	Chemical Peel		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""chemical peel"", ""term"": {""id"": ""NCIT:C93203"", ""label"": ""Chemical Peel""}}}"
30	233	196	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	10	Chemical peels for acne scarring	"Medium-depth peels such as glycolic acid and trichloroacetic acid are used to improve atrophic acne scars.
"	treatment_term	therapeutic procedure of skin of body	MAXO:0001417	therapeutic procedure of skin of body	qualifier	1	treatment_term.qualifiers[1]	therapeutic agent	NCIT:C2259	Therapeutic Agent	glycolic acid	NCIT:C83737	Glycolic Acid		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""glycolic acid"", ""term"": {""id"": ""NCIT:C83737"", ""label"": ""Glycolic Acid""}}}"
31	233	196	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	10	Chemical peels for acne scarring	"Medium-depth peels such as glycolic acid and trichloroacetic acid are used to improve atrophic acne scars.
"	treatment_term	therapeutic procedure of skin of body	MAXO:0001417	therapeutic procedure of skin of body	qualifier	2	treatment_term.qualifiers[2]	therapeutic agent	NCIT:C2259	Therapeutic Agent	topical trichloroacetic acid	NCIT:C125002	Topical Trichloroacetic Acid		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""topical trichloroacetic acid"", ""term"": {""id"": ""NCIT:C125002"", ""label"": ""Topical Trichloroacetic Acid""}}}"
32	240	197	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	11	Ablative fractional CO2 laser	"Ablative fractional CO2 laser is used for atrophic acne scars but can cause erythema, dyspigmentation, and prolonged recovery.
"	treatment_term	laser surgical procedure	MAXO:0001578	laser surgical procedure	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	laser therapy	NCIT:C15466	Laser Therapy		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""laser therapy"", ""term"": {""id"": ""NCIT:C15466"", ""label"": ""Laser Therapy""}}}"
33	243	198	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	12	Post-laser antioxidant serum	"Topical antioxidant serum with vitamins C and E (with ferulic acid) is used after ablative laser procedures to support skin recovery.
"	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic agent	NCIT:C2259	Therapeutic Agent	vitamin C	NCIT:C68507	Vitamin C		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""vitamin C"", ""term"": {""id"": ""NCIT:C68507"", ""label"": ""Vitamin C""}}}"
34	243	198	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	12	Post-laser antioxidant serum	"Topical antioxidant serum with vitamins C and E (with ferulic acid) is used after ablative laser procedures to support skin recovery.
"	treatment_term	pharmacotherapy	MAXO:0000058	pharmacotherapy	qualifier	1	treatment_term.qualifiers[1]	therapeutic agent	NCIT:C2259	Therapeutic Agent	topical vitamin E	NCIT:C67081	Topical Vitamin E		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""topical vitamin E"", ""term"": {""id"": ""NCIT:C67081"", ""label"": ""Topical Vitamin E""}}}"
35	248	199	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	13	Blue light therapy	"Blue light phototherapy is used as an alternative for inflammatory acne, with evidence of clinical improvement.
"	treatment_term	radiation therapy	MAXO:0000014	radiation therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	phototherapy	NCIT:C15301	Phototherapy		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""phototherapy"", ""term"": {""id"": ""NCIT:C15301"", ""label"": ""Phototherapy""}}}"
36	251	200	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	14	Visible light therapy	"Visible light devices, including blue light, can reduce acne lesion counts in patients seeking nonpharmacologic treatments.
"	treatment_term	radiation therapy	MAXO:0000014	radiation therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	phototherapy	NCIT:C15301	Phototherapy		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""phototherapy"", ""term"": {""id"": ""NCIT:C15301"", ""label"": ""Phototherapy""}}}"
37	254	201	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	15	Photodynamic therapy	"Photodynamic therapy is used off-label for inflammatory acne with evidence supporting efficacy in dermatologic indications.
"	treatment_term	radiation therapy	MAXO:0000014	radiation therapy	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	photodynamic therapy	NCIT:C15300	Photodynamic Therapy		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""photodynamic therapy"", ""term"": {""id"": ""NCIT:C15300"", ""label"": ""Photodynamic Therapy""}}}"
38	257	202	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	16	Nd:YAG laser and intralesional PRP	"Nd:YAG laser and intralesional platelet-rich plasma injections are used for inflammatory acne in split-face comparative protocols.
"	treatment_term	therapeutic procedure of skin of body	MAXO:0001417	therapeutic procedure of skin of body	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	laser therapy	NCIT:C15466	Laser Therapy		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""laser therapy"", ""term"": {""id"": ""NCIT:C15466"", ""label"": ""Laser Therapy""}}}"
39	257	202	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	16	Nd:YAG laser and intralesional PRP	"Nd:YAG laser and intralesional platelet-rich plasma injections are used for inflammatory acne in split-face comparative protocols.
"	treatment_term	therapeutic procedure of skin of body	MAXO:0001417	therapeutic procedure of skin of body	qualifier	1	treatment_term.qualifiers[1]	therapeutic agent	NCIT:C2259	Therapeutic Agent	platelet-rich plasma	NCIT:C106557	Platelet-rich Plasma		"{""predicate"": {""preferred_term"": ""therapeutic agent"", ""term"": {""id"": ""NCIT:C2259"", ""label"": ""Therapeutic Agent""}}, ""value"": {""preferred_term"": ""platelet-rich plasma"", ""term"": {""id"": ""NCIT:C106557"", ""label"": ""Platelet-rich Plasma""}}}"
40	262	203	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	17	1726 nm laser therapy	"Targeted laser therapy that selectively affects sebaceous glands and is being evaluated for moderate to severe acne.
"	treatment_term	laser surgical procedure	MAXO:0001578	laser surgical procedure	qualifier	0	treatment_term.qualifiers[0]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	laser therapy	NCIT:C15466	Laser Therapy		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""laser therapy"", ""term"": {""id"": ""NCIT:C15466"", ""label"": ""Laser Therapy""}}}"
41	262	203	8	Acne Vulgaris	Acne_Vulgaris.yaml	treatments	17	1726 nm laser therapy	"Targeted laser therapy that selectively affects sebaceous glands and is being evaluated for moderate to severe acne.
"	treatment_term	laser surgical procedure	MAXO:0001578	laser surgical procedure	qualifier	1	treatment_term.qualifiers[1]	therapeutic procedure	NCIT:C49236	Therapeutic Procedure	infrared laser therapy	NCIT:C66918	Infrared Laser Therapy		"{""predicate"": {""preferred_term"": ""therapeutic procedure"", ""term"": {""id"": ""NCIT:C49236"", ""label"": ""Therapeutic Procedure""}}, ""value"": {""preferred_term"": ""infrared laser therapy"", ""term"": {""id"": ""NCIT:C66918"", ""label"": ""Infrared Laser Therapy""}}}"
42	290	223	9	Acquired Immunodeficiency Syndrome	Acquired_Immunodeficiency_Syndrome.yaml	pathophysiology	5	AIDS-related Cancers	Weakened immune surveillance increases risk of certain cancers.	biological_processes[0]	immune response to tumor cell	GO:0002418	immune response to tumor cell	modifier	0	biological_processes[0].modifier	modifier						DECREASED	"""DECREASED"""
43	311	255	10	Addison's Disease	Addisons_Disease.yaml	pathophysiology	1	Reduced Cortisol Production	Lack of cortisol impacts the body's ability to respond to stress and maintain various metabolic functions. Impaired gluconeogenesis, decreased vascular tone, and altered immune responses result from cortisol deficiency.	biological_processes[0]	glucocorticoid biosynthetic process	GO:0006704	glucocorticoid biosynthetic process	modifier	0	biological_processes[0].modifier	modifier						DECREASED	"""DECREASED"""
