sample_id,accession,dataset,organism,tissue,source_metadata,assigned_group,exclusion_reason
M12792,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M12876,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M13078,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M13090,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M13326,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M13640,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M13872,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M14385,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M14434,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M14597,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M14666,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M14812,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M14897,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M14947,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M15272,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M153,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M15395,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M15410,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M15627,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M16204,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M16436,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M16485,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M16717,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M16998,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M1712,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M1746,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M17693,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M17728,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M18153,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M18243,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M18305,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M184,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M18763,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M18768,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M19050,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M19193,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M19281,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M19331,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M1943,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M19543,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M19551,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M19562,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M19844,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M19997,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M201539,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M20337,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M20356,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M20485,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M20588,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M207,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M20701,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M20855,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M20869,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M21046,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M21278,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M21530,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M21614,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M22127,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M22640,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M22767,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M22921,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M23065,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M23152,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M23714,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M23983,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M24227,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M24257,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M24410,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M24420,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M24443,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M24508,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M24905,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M2491,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M25144,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M252323,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M25234,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M25557,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M26229,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M2646,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M26792,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M26968,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M26976,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
M26992,synapse:syn60084804,Supplementary_Data_6:Avg. PAC scores AD progression,Homo sapiens,DLPFC,"PsychAD snRNA-seq derived donor x 27-subclass average PAC score (AD progression); controlled cohort not accessed; donor ID only, no diagnosis/Braak/resilience label",unlabeled,
